anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sofro por abuso verbal da minha esposa.	Sou um cara que sofre de abuso verbal da minha esposa.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você terá mais amigos do que você quer.	Você terá mais amigos que você quer...;)	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	É bom que você possa ver fotos de quem você está falando.	É bom, você pode ver fotos de quem você está falando!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Preciso saber o que fazer.	EU PRECISO SABER O QUE 2 FAZER	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Me ame, me ame. Oh, querido Deus me ame!	ME AME AME OH QUERIDO DEUS ME AME!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Não seria uma palavra. Seria uma ópera cantora.	Não seria uma palavra, seria eu cantando Ópera.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Gosto da minha vida com exceção dela gritando e usando palavras de juramento.	Gosto da minha vida com exceção dela gritando e amaldiçando.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Eu sei como é.	Eu sei como isso é.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ele tem uma equipe esportiva favorita?	Ele tem uma equipe de esportes de destino?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Enquanto você estiver fora, ele fará isso de novo e de novo.	Não porque ele vai fazer isso uma e outra vez mais enquanto você estiver fora.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Eu sugiro dizer “Olha, isso não está funcionando mais para mim”.	bem, a melhor maneira é dizer olhar isso não está funcionando para fora im não dentro disso mais.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sem irmã, acho que não.	Sem sista, eu não tink assim.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Então beije-a, irmão; isso funciona sempre.	Então beije-a;) funciona cada vez bro!!!!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	As mulheres amadurecem mais rápido do que homens e alguns homens nunca amadurecem.	Mulheres amadurecem muito mais rápido do que homens e alguns homens nunca amadurecem.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Depois disso eu nunca comprei outro presente para ela.	E desde então eu nunca comprei outro presente para ela.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você pode frequentar sua aula com ela, se quiser.	E se você realmente quiser, você pode frequentar suas aulas com ela.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Isso acontecerá quando você optar por ser rico e poderoso.	você não vai até você escolher para ser rico e poderoso.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Por favor, não implore por amor, dinheiro ou respeito.	Não implore por amor não implore por dinheiro e não implore por respeito.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você definitivamente saberá quando você está apaixonado.	Mas você vai definitivamente saber quando você está apaixonado!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Não baseie seu relacionamento em dinheiro ou itens materiais.	APENAS NÃO BASEIE SEU RELACIONAMENTO EM DINHEIRO OU COISAS MATERIAIS.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	E se alguém fizesse esta pergunta: “Como posso fazer com que meu namorado me note?”	Se alguém perguntou isso:Como posso fazer com que meu namorado me note?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Não consigo entrar na sala de bate-papo.	Não consigo iniciar sessão na sala de chat	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se você mora com um amigo, eu chamo esse amigo com direitos.	Você mora com um amigo, e eu chamo esse amigo com direitos.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	É difícil dizer a partir desta pergunta, mas parece que você está tentando mudar a si mesmo, e isso é uma má idéia.	que tentar mudar a si mesmo... a menos que você esteja realmente estragado tudo... mas a questão não nos dá muito para continuar	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Eu não sei o que ele está pensando, às vezes nós apenas sentamos e assistem.	Eu não posso ler a mente dele, mas às vezes gostamos de assistir.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Vá para a França e veja por si mesmo.	Vá para a França e ouça por si mesmo.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ela sabia que eu estava namorando alguém que era casado.	Ela sabia que minha ex era casada.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você não deve deixar o que as outras pessoas dizem incomodar você.	Não ligue para o que as pessoas dizem.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Desejo-lhe boa sorte, não importa o curso que você tomar.	boa sorte o que você faz.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	A ressalva é que você e eu não somos casados, e isso é aceitável para mim.	Desde que sua não é minha esposa... está tudo bem comigo... lol...	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Eu recomendo que os alunos do ensino médio não namorar ninguém que ainda está no ensino médio.	porque você ainda está no ensino médio eu não sugiro namoro alguém no ensino médio.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se essa tática não for bem sucedida com uma pessoa, então continue tentando com os outros.	Se isso não funcionar, tente outra pessoa.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você pode querer informar este homem que se ele fizer mais um telefonema para você, isso resultará na perda de seu emprego.	Diga a ele que você está sendo demitido se ele ligar mais uma vez	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Depois disso, um cavalheiro se envolveu que mudou tudo!	então um cara foi invocado e mudou tudo!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Estou disposto a fazê-lo, enquanto vocês quatro estiverem também!	Há apenas um de mim, mas estou disposto se vocês 4 forem!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ao contrário do que os outros dizem, eles não nascem dessa maneira.	Primeiro, eles não nascem dessa maneira, não importa o que alguém tente dizer.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Eu acho que você deveria tentar um tipo diferente de mulher.	Tente um tipo diferente de garota.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ela e tendem a cruzar caminhos de vez em quando.	Esta rapariga e eu cruzamos algumas linhas aqui e ali.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você deveria dizer que sim, se você o ama.	Se você realmente o ama, então sim.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Seria sábio separar-se dele o mais rápido possível.	despejá-lo o mais rápido possível é a única coisa que você pode fazer não ser estúpido e mantê-lo	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Aprendi a me amar, o que é algo que eu era incapaz de fazer no passado.	Aprendi a me amar algo que nunca tinha feito antes.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Tenho dificuldade em conhecer garotas porque frequento uma escola só com rapazes.	Eu vou a uma escola de todos os caras e tenho tido problemas para conhecer garotas.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Por favor, fale e não apresse suas palavras	3_again não se apresse e use palavras... falar...	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você deve ir e brincar com suas bonecas	você deve estar brincando com bonecas	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você fala com essa pessoa muitas vezes?	Bem... Você fala muito com aquele alguém?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sem nenhum nível de compromisso, isso é concidido duplo namoro?	Isso é considerado duplo namoro? mesmo que nenhum nível de compromisso com a menina platônica frito	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Não é o tamanho do peito que é atraente, mas quão bem se carrega.	não é o tamanho do peito, mas sim quão bem se pode levar seus peitos que é atraente.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Você simplesmente tem que fazer o que a faz feliz.	Tudo o que você tem a fazer é tocar o sino dela!!!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sim, embora eu suponha que dependa dos votos.	Sim, bem, acho que depende dos votos.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Talvez você deva estar perguntando onde as doenças sexualmente transmissíveis estão em Kay.	Talvez você deva estar perguntando onde estão as DST em Ks.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Isso significa que você não precisa mais antagonizá-la.	o que significa que você não precisa fazê-la como seu inimigo mais.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Nesse caso, peça-lhe para acompanhá-lo para a próxima dança da escola ou para ver um filme.	Então pedir-lhe para o próximo baile da escola ou talvez para ver um filme?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Alguma coisa está acontecendo com sua amiga, ou com a dela?	Algo acontecendo com seu amigo ou dela?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Mas, não confunda meu significado, não ceda e se torne submisso. Encontre um compromisso.	Mas, não me entenda mal, não seja um capacho e pegue a rota submisiva também... encontre algum meio termo!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Pode não ter sucesso se você é verdadeiramente covarde e, portanto, tornar-se mais temeroso do que a mulher é.	Pode não funcionar muito bem se você é um verdadeiro wuss embora e acabar com mais medo do que ela.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Acredito que essa ferida depende se ela e seu marido têm um casamento aberto.	Acho que isso depende se ela e o marido são swingers...	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ela deseja se divertir, e é por isso que ela entrou em um caso com você. Não leve esse relacionamento muito a sério.	ela quer diversão que é y ela tem caso com u. não fique sério com ela.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Apenas diga que, no momento, você só quer ser amigo.	Apenas diga que você só quer ser amigo por enquanto.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Isso é porque eles simplesmente não estão fazendo seu trabalho!	Porque eles só estão fazendo o seu trabalho!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Seria bom sair de lá agora, enquanto é possível.	sair agora, enquanto você pode	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Sim, isso é verdade se eles são viciados sexualmente nisso, mas isso significaria que eles precisam ver um terapeuta sexual.	Sim, se eles são sexualmente viciados nisso, mas então eu diria ir a um coucenlor sexual.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Pessoalmente, acho que os jovens são sexy, desde que tenham mais de 25 anos de idade.	pessoalmente, eu acho que os rapazes jovens (mais de 25) são quentes!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	É porque os meninos ainda não estão maduros o suficiente para saber o que querem ou o que eles têm.	porque os meninos não são maduros o suficiente para saber o que eles querem são saber o que eles têm.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Cinco metros de altura e 135 libras soa muito bom para mim.	5' 135 lbs soa sobre perfeito para mim.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Por favor, procure ajuda mental de um profissional.	Querida, por favor, veja um conselheiro!	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se isso for verdade, não ficaria surpreso se ele for novamente infiel.	Se assim for, eu não ficaria surpreso se ele trapacear novamente.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se ele foi atrás de outra mulher ele obviamente não se importava, não é tudo culpa dela.	se foi com ela abviously ele não se importava, não é tudo culpa dela.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se ela ainda tem que trazê-lo, então não precisa ser falado.	Se ela não comprou, não há necessidade de falar sobre isso...	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Talvez você possa verificar lá primeiro.	Você poderia tentar verificar lá 1º.	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Se você está desejando um dos seus próprios, você deve tentar Yahoo Personals. Você não concorda?	Se você quer um para você, talvez você deve tentar Yahoo Personals, não deveria?	formality	en	pt
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Primeiro, você precisa ser legal e esperar por eles.	Primeiro você tem que ser legal com eles e esperar por eles.	formality	en	pt
