anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Je tenais néanmoins à vous remercier!	!Mais merci quand même !!!	Ce sont de vilains garçons !	Ce sont de vilains garnements !	1	formal	french
Plaisanter sans le ou la fâcher.	faire des plaisanterie sans le ou la facher.	Tout dépend de la réponse que tu as divulguée, si tu as emprunté et signé alors dans ce cas, tu es d'autant plus responsable, avec les impayés.	"tout dépend si tu as toi aussi ""emprunté"" et signé, dans ce cas tu es aussi responsable des impayés."	1	formal	french
J'en ai constaté les réactions, ce n'est pas très sympathique.	j'ai vu les réactions, c'est pas trés cool.	Allez, raconte-moi ton histoire!	aller, croquette, fais péter ton histoire!	1	formal	french
Dans tous les cas, je vous souhaite bon courage. Soyez patients car ça en vaut la peine !	Bon courage en tout cas et soyez patients car ca vaut le coup !	C'est frustrant, tu devrais en trouver une autre.	C'est pas glop, trouves en une autre.	1	formal	french
Couche avec. Qui sait, il aura peut-être une révélation si tu sais y faire.	couche avec qui sait il aura peut être une révélation, si tu sais y faire	Elle en a décidé autrement.	mais elle en a décider autrement !	1	formal	french
Le moment est venu de remettre les choses en ordre.	il est temps de mettre les pendules à l'heure!	Il te reste à long chemin à parcourir avant de pouvoir la reconquérir.	Il te reste bcp de chemin à faire pour la reconquérir.	1	formal	french
Pour répondre à votre question, il est impératif qu'elle préserve la sensibilité des personnes.	"ta question il ne faut pas qu""elle touche a la sensibilité des personnes"	À l'époque on appelait ça des espions et on les fusillait en temps de guerre!	A l'époque on appelait ça des espions et on les fusiller en temps de guerre !	1	formal	french
Il ne faut pas rendre les choses comme cela !	faut pas prendre les choses comme sa !	Elle a peut-être peur car sa fille est plus jeune et n'est pas encore majeure.	elle a peut-être juste peur parce que sa fille est plus jeune et pas encore majeure.	1	formal	french
Ne commets surtout pas l'erreur d'accepter le premier homme qui s'intéresse à toi, uniquement pour avoir un conjoint.	Ne fais surtout pas la gaffe de prendre le premier gars qui est interressé par toi juste pour avoir un copain.	Oui, ce serait très bien.	oui, c'est super!	1	formal	french
Tu vas certainement me manquer, chère amie!	maintenant c sûr tu vas me manquer, chère mouloute !	"Ce n'est pas ""non"" la bonne réponse."	c'est faux de repondre non !!!	1	formal	french
En mettant de côté votre honnêteté et votre franchise avec votre partenaire!	tout simplement ne pas être honnête et franc(franche) avec lui ou elle	Il convient d'être plus attentif chers collègues.	!Il faut être attentif les mecs !	1	formal	french
Soyez fort et ne perdez pas espoir.	Bon courage!!!	Personnellement j'ai une préférence pour écouter les gens plutôt que de parler.	Moi je préfère écouter les autres que de parler !!!	1	formal	french
Cela sera difficile à ce moment-là.	là tu vas avoir du mal!!!!	Tu devrais changer de copine rapidement.	change de copine ça craint!	1	formal	french
Je pratiquais beaucoup d'activités sportives et il semble que je me sois malencontreusement déchirée l'hymen à la suite d'un coup.	Je faisais beaucoup de sports et il parait que je me suis donné un coup ce qui a ouvert mon hymen.	Vous pouvez tenter de me suivre, mais je vous suivrais.	Fuis moi je te suis.	1	formal	french
