positive	negative	style_type	language
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	formality	pt-br
O mais sensato é esquecer disso, e partir para outra.	O maissensato é esquecer e partir para outra.	formality	pt-br
Não serve para se concluir além disso	Não serve para se tirar conclusões além disso!	formality	pt-br
Agora depende do que acontecerá.	agora depende do que acontecer.	formality	pt-br
Recuse-a, a fim de que ela se afaste!	DANDO UM FORA NELA PRA ELA SE TOCAR !	formality	pt-br
Não fosse trágico, seria cômico!	KKKSE NÃO FOSSE TRÁGICO SERIA CÔMICO!!!	formality	pt-br
Não tenho do que reclamar.	não tenho o que reclamar .	formality	pt-br
Acho que consideram rapazes assim muito grudem tos e fáceis.	Acho q consideram caras assim muito grudentos e fáceis.	formality	pt-br
Passe a morar em São Paulo.	loirinho, mude pra sp!!	formality	pt-br
Se te mandarem, manda para mim, dessa forma saberei se o Senna estava certo de comer aquela garota magra e que agora é gorda.	se te mandarem manda pra mim,ai vou ver se o senna tava certo de comer aqula magrela que agora é gordinha.	formality	pt-br
Aconselho a sempre manter suas amizades, caso estas gostam de fato da sua pessoa irão entender.	O meu conselho é: mantenha sempre suas amizades, se ela gostar mesmo de vc saberá entender.	formality	pt-br
Ai, como irmão que se preze, tem de caçoar, ele fica caçoando o rapaz.	Ai como irmão que se preza tem que zoar, ele fica zoando o cara.	formality	pt-br
Tudo é excelente.	é tudo muito bom.	formality	pt-br
Está muito gostoso.	hhuuuummmm DELÍCIAAAAAAAAA!!!!!!!!!	formality	pt-br
Faça novas amizades e se matricule em algum curso. Caso já tenha feito, procure amizades com quem você já conheça, será legal.	faça novas amizades, se matricule em algum curso, se ja faz procure amizades com quem vc ja conhece, vai ser legal	formality	pt-br
Eu tenho muitas cócegas nos pés.	Sinto muitas cócegas nos meu pés!	formality	pt-br
Seja ilustre, determinado, simpático, e, caso não funcione, seja você mesmo.	seja descolado,decidido, simpatico, se nao funcionar :  seja voce mesmo	formality	pt-br
Já disseram que obesidade se transmite por um aperto de mão, e que pessoas gordas têm de pagar mais impostos, e etc.	Já disseram que obesidade se passa num aperto de mão, e que gente gorda tem que pagar mais impostos e etc.	formality	pt-br
Não que todas as mulheres belas sejam estúpidas, mas toda regra tem suas exceções.	Não que todas as mulheres bonitas são burras, mas toda a regra tem suas exceções.	formality	pt-br
Procure ajuda em locais como igrejas, pequenas e médias empresas, até batendo de porta em porta, e verá que conseguirá angariar muitos fundos.	Procure ajuda na saída das igrejas, pequenas e médias empresas e porta em porta e verá que conseguirá juntar muito dinheiro.	formality	pt-br
Estar perto de qualquer pessoa que eu amo.	estar perto que qualquer pessoa que eu amo!	formality	pt-br
Tive que mudar de localidade.	Tive de mudar de local.	formality	pt-br
Paixão é algo avassalador porém passa rápido, já o amor é paciente e duradouro.	paixao e algo avassalador mas passa logo, o amor e paciente e duradouro	formality	pt-br
Não deixo de fazer as minhas tarefas por causa dos outros.	Não deixo de fazer nada por causa de ninguém.	formality	pt-br
Caso façam algo que prove não serem de confiança, então, não são pessoas para se ter como amigos!	Caso façam algo que provem que não são de confiança então não são pessoas para se ter como amigos!	formality	pt-br
Deus primeiro, as demais coisas são consequências.	DEUS,as outras coisas são consequencias.	formality	pt-br
"Ele é tão ""homem"", que não aprecia nem mesmo ter aparência masculina!"	ele é tão homem q nao gosta nem d ter aparencia masculina!	formality	pt-br
Acredito que devemos sempre tentar, pois tenho conhecimento sobre um casal que está junto por mais de 25 anos.	Acho que temos que tentar sempre,conheço um casal lindo que estão juntos á 25 anos!	formality	pt-br
Não há dúvidas.	´É fato comprovado!!	formality	pt-br
Obrigada, que Deus lhe abençoe e que seu dia seja sequencialmente feito de sucesso.	Briga tá, que Deus lhe abençoes e que seu dia seje um sucesso sucessivo que suceda sem parar.	formality	pt-br
Ao fazer uma pergunta, perde-se 5 pontos.	fazer uma pergunta perde 5 pontos	formality	pt-br
Não sei, isto é com você.	Sei lá isto é com vc.	formality	pt-br
Porque pesquisas com embrião são caracterizadas como experiências com cobaias de vidas humanas pela igreja.	Porque pesquisas com embrião são tidas como experiências com cobais de vidas humanas pela Igreja.	formality	pt-br
"Porque eles têm a famosa ""crise de machão"", aquele que é autossuficiente em tudo!"	"Pq eles têm a famosa ""crise de machão"", aquele q é auto-suficiente em td!!"	formality	pt-br
Não tenha receio em demonstrar aquilo que você sente.	Mostre seus sentimentos sem medo.	formality	pt-br
Sai daqui pessoa desagradável. Argentinos são muito arrogantes. Saia daqui.	Sai daqui Tevez Filho de la Concha, Pela-saco, argntino é tudo lambe-saquitokkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkké tudo FDP, sai daqui mascaralho !!!	formality	pt-br
Já faz tempo que o meu sumiu, eu tinha dezesseis anos.	Faz tempo já que o meu sumiu, tinha 16 anos.	formality	pt-br
Sua companhia é a melhor forma de me conquistar.	a melhor cantada e a sua presença!	formality	pt-br
Por desejo e atração.	por desejo ,atração.	formality	pt-br
Eu sou apaixonada pelo meu esposo.	Eu sou apaixada pelo meu esposo.	formality	pt-br
Quando o homem está afim, não mede esforços.	Quando homem está a fim, não mede esforços.	formality	pt-br
Já! No motel tem canal privê!	já, no motel tem canal privê!	formality	pt-br
Renegue a dor e ame seu coração mais do que qualquer coisa, e verá que encontrará, prontamente, alguém muito especial.	Rejeite a dor e ame seu coração mais que tudo e verá que encontrará, logo,logo alguém muito especial.	formality	pt-br
O que precisa ser levado em consideração é o contexto no qual a traição foi praticada.	O que prcsa ser levado em consideração e o contexto no qual a traição foi praticada.	formality	pt-br
As mulheres significam tudo nesse mundo na minha visão.	mulher é tudo ness mundo pra mim.	formality	pt-br
É uma pena, se fosse cinco anos mais velho eu provavelmente não veria problemas.	?Pena, se fosse mais velho uns 5 anos eu provavelmente não veria problemas	formality	pt-br
Bom dia, tenha uma ótima sexta-feira	Bom Dia Amigo tenha uma linda e divertida sexta-feirabjus	formality	pt-br
Caso ela decida provar a roupa, tem más intenções. Agora, caso ela efetivamente compre, então é pegadora.	Se ela decidir provar a roupitcha já é maldade, agora se ela decidir  comprá-lo é porque é bandida mesmo!	formality	pt-br
Um tornado nos Estados Unidos da América passou aqui perto de casa recentemente.	Um tornado que baixou aqui perto de casa esses dias (nos EUA).	formality	pt-br
Jamais moraria com o meu amado e a sua família, até mesmo se não se metessem em nossas vidas.	Jamais moraria com o meu amado junto a sua família mesmo que esta não se metesse em nossa vida.	formality	pt-br
Claro, um bom chute e uma bofetada, sim.	claro um bom chute e uma bofetada sim .	formality	pt-br
O fato do homem querer que a mulher viva só pra ele é sinal de possessividade, não necessariamente amor.	Isso de homem querer que a mulher viva só para ele, é sinal de possessividade e não necessariamente de amor.	formality	pt-br
Meu peito e minha bunda são caídos	Meu peito e minha bunda caída.	formality	pt-br
O melhor é você começar a se produzir com fantasias eróticas e ver alguns filmes do tipo que você mais gosta.	O melhor e vc começar a se produzir com fantasias eroticas bem sacana e ver alguns filmes do tipo que vc mais gosta	formality	pt-br
Por que você não confia nas pessoas?	Pq vc não confia nas pessoas.	formality	pt-br
"A mesma dimensão, a mesma ""TPM"", o homem tem de espalhar seu sêmen pelo mundo afora."	A MESMA LARGURA, A MESMA TPM, HOMEM TEM DE ESPALHAR SEU ESPERMA PELO MUNDO !	formality	pt-br
As amizades são sempre aceitáveis.	amizades sempre São bem vindas	formality	pt-br
Se fosse somente você, dava-se um jeito!	SE FÔSSE SOMENTE VOCÊ , DAVA-SE UM JEITO, CARA !	formality	pt-br
Sim, é normal, ainda mais se o parceiro contribui para isso.	É normal sim, ainda mais se o parceiro contribui para isso.	formality	pt-br
Se isso for verdade, então estou na mesma situação que você se encontra.	?se for ,estou na mesma situaçao q vc !!	formality	pt-br
Interessei-me, mas qual seria o nome? Gostaria de assistir.	Nossa, interessei; mas qual o nome, quero ver!!!	formality	pt-br
Leve-a para algum show que ela goste	leve ela pra algum show q ela goste	formality	pt-br
Não existe um tema predefinido ou um estilo de redação? A sua pergunta é muito vaga.	Mas n tem um tema pré-definido ou um estilo de redação?Mt vaga sua pergunta.	formality	pt-br
Olha amiga, eu tenho maior tesão por esta fantasia a três e tenho pouca sorte para realizar.	olha amiga eu tenho maior tesão por esta fantasia a três tenho pouca sorte para realizar.	formality	pt-br
Procure uma igreja e lá você encontrará Deus e este irá te dar uma nova vida.	procurar uma igreja,e lá vc vai encontrar um Deus e este Deus te dara uma nova vida	formality	pt-br
São os donos da verdade e da razão.	São os donos da verdade e da racionalidade.	formality	pt-br
Com certeza! Mas se você quiser, eu te beijaria pra ver se isso é ou não traição.	certeza!mas se quiser eu te beijaria pra ver se é ou não traição isso	formality	pt-br
Acredito que o jeito é sair mais, tentar fazer novas amizades.	Acho que o jeito é sair mais, tentar fazer novas amizades.	formality	pt-br
O rapaz está sofrendo uma ataque do coração. Linda, preciso do seu amor.	O moço está tendo um ataque cardíaco!VOCÊ - Eu quero o seu amor, gata!	formality	pt-br
Eu diria a ele que vá procurar outra coisa pra fazer (e sozinho) porque eu estou indo embora.	EU DIRIA A ELE QUE VÁ CATAR COQUINHOS ( e sozinho)PQ EU ESTOU INDO EMBORA!!!!!	formality	pt-br
É difícil comentar sobre isso quando não se está presente.	É dificil dizer de fora.	formality	pt-br
Acredito que nós todos já nos sentimos dessa forma.	Acho que todos nós já no sentimos um pouco assim.	formality	pt-br
Você é muito nova.	vc e miuto jovem	formality	pt-br
É uma situação absolutamente normal, alguns podem sangrar mais, outros menos e ainda uma parte sequer sangram por possuir o hímen complacente.	É normal, algumas sangram mais, outras menos, e outras nem sangram por ter o hímem complacente.	formality	pt-br
Com quem amamos, na paz de Deus e com amigos, enfim. Tudo de bom que nos concede prazer em viver.	Com quem se ama, na paz de Deus, com amigos enfim tudo de bom que nos da prazer de viver.	formality	pt-br
Por favor, não fique brava comigo. Beijos!	!Bjs, ve se não fica brava comigo!!	formality	pt-br
Acredito que uma coisa não tem relação com a outra, inclusive serviria até para elevar o moral.	acho que nao tem nada haver, seria ate uma levantada no ego!!	formality	pt-br
Sinceramente, não gosto muito quando tenho que dominar, pois eu acabo não ejaculando, compreende?	sinceramente não gosto muito qndo tenho q dominar eu acabo não gozando entende!	formality	pt-br
Agora mesmo será o aniversário de alguém muito querido que morreu este ano e eu não sei como suportar este dia.	Agora mesmo vai ser o aniversario de alguem muito querido que morreu esta ano, eu nao sei como encarar este dia.	formality	pt-br
Desde que não haja homem com homem ou que o rapaz peça fio terra, tudo bem, o resto...	desde que nao haja homem com homem, ou que o cara peça fio terra tudo bem, o resto,,,uhuuuuuhehehe	formality	pt-br
E os seus sentimentos, não contam?	E OS SEUS SENTIMENTOS Ñ CONTÃO.	formality	pt-br
Assim, do mesmo jeito como é no MSN.	Assim tal e qual como é no msn.	formality	pt-br
Você já notou que os homens xavequei-os e galanteadores geralmente fazem mais sucesso com as mulheres?	Vc já percebeu que os caras galinhas geralmente fazem mais sucesso com as mulheres.	formality	pt-br
Eu quase não os vejo.	eu quase não os vejo!!	formality	pt-br
Depende do que você quer fazer.	depende do que você quer fazer	formality	pt-br
Agora, caso esse sentimento que você tem, esteja te incomodando, o ideal é entender se realmente é amor ou paixão.	Agora, caso esse sentimento que você tem esteja te pertubando, o ideal é entender se realmente é amor ou é paixão.	formality	pt-br
Quando se trata de futebol, tudo é válido, eu sou fanática por tal, e nunca ninguém reclamou.	Quando se trata de FUTEBOL sim, tudo é normal, eu sou fanática por futebol e ninguem nunca reclamou, rsrsrsrs!!	formality	pt-br
Você é o maior vadio existente, por ficar fazendo questionamentos estúpidos.	vc é o maior desocupado que existe, fica fazendo esse tipo de perguntinha idiota.	formality	pt-br
Se deixasse, seria eu o homem robusto do Brasil.	Se deixasse eu seria o machão do Brasil, hehehe	formality	pt-br
Estamos com um excesso de óleo no corpo.	Agente toda lambusada de óleo pregando no corpo  .	formality	pt-br
"Não há nenhum perfil de nome ""Snyppes""."	Snyppes,Aqui não tem ninguém com esse perfil, tá difícil.	formality	pt-br
Enfim, se a pessoa quer estar com outro, termine a relação e fique livre para ter quantos relacionamentos desejar.	mas enfim se a pessoa qr ter outra pessoa larga e vai ter qtos relacionamentos quiser!	formality	pt-br
"Não costumo cozinhar bem, porém faço um excelente ""brigadeiro""."	naum cozinho, mas faço um brigadeiro divino	formality	pt-br
Mato saudades por aqui, já que não tenho como ir ao Brasil.	Eu queria estar no Brasil, mas já que não tem jeito, fico aqui com vocês matando as saudades.	formality	pt-br
Continuo preferindo os metrossexuais.	Mas eu ainda prefiro os metrossexuais!	formality	pt-br
Racionais MC's - Homem na Estrada.	homem na estrada - Racionais Mcs	formality	pt-br
Pois mulheres também possuem, em quantidade mínima, mas possuem.	Pq mulher tambem tem, em bem pouca quantidade mas tem.	formality	pt-br
"Coisa de ""macho"", não adianta prestar esclarecimentos, pois mulheres não entendem!"	Coisa de Macho, nem adianta explicar , mulher não entende !	formality	pt-br
Também concordo, apesar de não mudar quer seja outra ou outro lugar.	concordo tbm, apesar d não ser uma nem outra em um lugar nem outro!!	formality	pt-br
Vamos cessar essa concepção romantizada que a mídia impõe a nós.	Vamos deixar essa concepção romantizada que a mídia enfia na cabeça da gente.	formality	pt-br
