anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੈਂ ਵਾਪਸ ਨਹੀਂ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਬੇਕਾਰ ਜਗ੍ਹਾ 'ਤੇ ਦੁਖੀ ਨਹੀਂ ਹੋਵਾਂਗਾ!	ਮੈਂ ਵਾਪਸ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਵਧੀਆ ਸਥਾਨ ਦਾ ਆਨੰਦ ਮਾਣਾਂਗਾ!	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਡਰਿੰਕਸ ਮਹਿੰਗੇ ਅਤੇ ਚਾਹਵਾਨ ਸਨ।	ਡ੍ਰਿੰਕ ਕਿਫਾਇਤੀ ਅਤੇ ਚੰਗਾ ਡੋਲ੍ਹਦੇ ਸਨ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੇਰੇ ਪਤੀ ਨੂੰ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਹ ਇਸ ਨੂੰ ਨਫ਼ਰਤ ਕਰਦਾ ਸੀ।	ਮੇਰੇ ਪਤੀ ਨੂੰ ਇੱਕ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਸਨੂੰ ਇਹ ਪਸੰਦ ਸੀ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਸਪੈਮ ਪ੍ਰਾਪਤ ਕੀਤਾ।	ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਇੱਕ ਕੂਪਨ ਪ੍ਰਾਪਤ ਕੀਤਾ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਨਾ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ।	ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਤੋਂ ਪਰਹੇਜ਼ ਕਰਨ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ।	ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਨਹੀਂ ਤਾਂ ਇੱਕ ਬੇਕਾਰ ਅਨੁਭਵ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਨਹੀਂ ਜਾਵਾਂਗੇ।	ਨਹੀਂ ਤਾਂ ਇੱਕ ਵਧੀਆ ਅਨੁਭਵ ਹੈ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਜਾਵਾਂਗੇ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਪਾਣੀ ਵਾਲੇ ਪੀਣ ਵਾਲੇ ਪਦਾਰਥ, ਅਤੇ ਬੁਰੀ ਸੰਗਤ।	ਚੰਗੇ ਡਰਿੰਕਸ, ਅਤੇ ਚੰਗੀ ਕੰਪਨੀ ।	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣੇ ਬੈਂਡ ਗੀਕ ਨੂੰ ਵਾਪਸ ਨਹੀਂ ਲੈ ਸਕਦਾ!	ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣਾ ਬੈਂਡ ਗੀਕ ਵਾਪਸ ਲੈ ਲਿਆ ਹੈ!	positivity	pa
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਮੈਂ ਘਬਰਾਇਆ ਹੋਇਆ ਸੀ ਅਤੇ ਉਸਨੇ ਮੈਨੂੰ ਬਹੁਤ ਚਿੰਤਤ ਅਤੇ ਨਿਰਾਸ਼ ਮਹਿਸੂਸ ਕੀਤਾ।	ਮੈਂ ਘਬਰਾ ਗਿਆ ਸੀ ਅਤੇ ਉਸਨੇ ਮੈਨੂੰ ਬਹੁਤ ਆਰਾਮਦਾਇਕ ਅਤੇ ਸੁਆਗਤ ਮਹਿਸੂਸ ਕੀਤਾ	positivity	pa
