anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	വേദിയുടെ ആ ഭാഗത്തു തീർച്ചയായും മതിയായ ഇടമില്ല .	വേദിയുടെ ആ ഭാഗത്തു ധാരാളം ഇടമുണ്ട് .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അടിസ്ഥാനപരമായി വെള്ളം ചേർത്തതുപോലെ രുചിച്ചു .	അത് വെള്ളം ചേർത്തതുപോലെ രുചിച്ചതേയില്ല .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു ഏതാനും നിമിഷങ്ങൾക്കുള്ളിൽ അദൃശ്യമായി .	അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു, പക്ഷെ അദൃശ്യമായതേയില്ല	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഈ ഔഷധാലയം ഇത്രമാത്രം അപ്രസക്തമാണെന്ന് എനിക്ക് വിശ്വസിക്കാൻ കഴിയുന്നില്ല .	ഈ ഔഷധാലയം തികച്ചും പ്രസക്തമാണ് .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	പോയി കണക്കിൽ നിന്നും അത് എടുത്തു മാറ്റി .	പോയി കണക്കിൽ അത് കൂട്ടിച്ചേർത്തു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അത് ഭയാനകമല്ലെങ്കിലും അത്ര നല്ലതല്ല .	അത് സമ്പൂർണമല്ലെങ്കിലും വളരെ നല്ലതാണ് .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനാണ് !	എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനല്ല .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	പുതിയ ഉടമസ്ഥൻ നീചനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .	പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഒരുപക്ഷെ അത് നിരാശാജനകവുമാണ് !	ഒരുപക്ഷെ അത് നിരാശാജനകവുമല്ല !	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഞങ്ങൾ ഇരുന്നു, ഞങ്ങൾക്ക് വളരെ മന്ദഗതിയിലുള്ളതും അലസവുമായ സേവനം ലഭിച്ചു.	ഞങ്ങൾ ഇരുന്നു, ഞങ്ങൾക്ക് വളരെ ശീഘ്രത്തിലും പ്രതികരണാത്മകവുമായ സേവനം ലഭിച്ചു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	വിലയിൽ മിസോ സൂപ്പും ഒരു ചെറിയ സാലഡും ഉൾപ്പെടുത്തി .	ഭാഗ്യവശാൽ വിലയിൽ മിസോ സൂപ്പും ഒരു ചെറിയ സാലഡും ഉൾപ്പെടുത്തിയില്ല.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ക്ഷമിക്കണം എന്നോ എല്ലാം എങ്ങനെ പുറത്തുവന്നു എന്നൊരു കാര്യമില്ല	അവർ സഭ്യമായി എല്ലാം എങ്ങനെ ഉണ്ടായിരുന്നെന്ന് ചോദിച്ചു .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഞങ്ങൾ ആഹാരം പറയുന്നില്ലെങ്കിൽ ഞങ്ങൾക്ക് മേശയ്കരികിൽ ഇരിക്കാൻ പറ്റില്ലെന്ന് അവർ പറഞ്ഞു.	മടിക്കാതെ മേശയ്കരികിൽ ഇരിക്കാമെന്ന് അവർ പറഞ്ഞു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ക്യാഷ് രജിസ്റ്റർ ഏരിയ ഒഴിഞ്ഞുകിടക്കുവാരുന്നു , കടയുടെ മുൻവശം ആരും ശ്രദ്ധിക്കുന്നുണ്ടായിരുന്നില്ല .	ക്യാഷ് രജിസ്റ്റർ ഏരിയയും കടയുടെ മുൻവശവും നന്നായി ശ്രദ്ധിക്കുന്നുണ്ടായിരുന്നു .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അവരുടെ ഉപ്പേരി നല്ലതാണു പക്ഷെ സൽസ രുചിയില്ലാത്തതാണ് .	അവരുടെ ഉപ്പേരി നല്ലതും സൽസ വളരെ രുചികരവുമാണ് .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അവരുടെ വീഞ്ഞ് സാധാരണ നിലവാരത്തിലുള്ളതും ആഹാരം അതിലും മോശവുമാരുന്നു.	അവരുടെ വീഞ്ഞ് സാധാരണ നിലവാരത്തിനേക്കാൾ നല്ലതും ആഹാരം അതിലും മികച്ചതുമായിരുന്നു	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഉപഭോക്തൃ സേവനം മനസ്സിലാക്കാത്ത കൗമാരക്കാരാണ് പ്രധാനമായും ജോലി ചെയ്യുന്നത്.	ഉപഭോക്തൃ സേവനത്തെക്കുറിച്ച് നന്നായി മനസ്സിലാക്കുന്ന കൗമാരക്കാരാണ് പ്രധാനമായും ജോലി ചെയ്യുന്നത്.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഇറച്ചി കറുമുറാ പരുവത്തിൽ ആകുന്നതുവരെ ബർഗർ അധികം പാകം ചെയ്തിരുന്നു .	ബർഗറുകൾ നന്നായി പാകം ചെയ്തു, ഇറച്ചി സത്തുള്ളതായിരുന്നു	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ബ്ലൂ ചീസ് മസാലക്കൂഴംബ് ഒരുതരത്തിലും നന്നായിരുന്നില്ല	ബ്ലൂ ചീസ് മസാലക്കൂഴംബ് സാധാരണ നിലവാരത്തിനേക്കാൾ നല്ലതായിരുന്നു .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	എന്റെ പാഡ് തായ് ബാർബിക്യൂ സോസിനൊപ്പം തായ് റൈസ് നൂഡിൽസ് പോലെ രുചിച്ചു.	പാഡ് തായ് കുറച്ചുകാലമായി എനിക്ക് ലഭിച്ചതിൽ വച്ച് ഏറ്റവും മികച്ച രുചിയായിരുന്നു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	"അവൾ പറഞ്ഞു ""അതെ, ക്ഷമിക്കണം."""	സഹായിക്കുന്നതിൽ സന്തോഷമുണ്ടെന്ന് അവൾ പറഞ്ഞു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	സ്റ്റോർ വൃത്തികെട്ടതായി കാണപ്പെടുന്നു, നേതൃത്വം മാറേണ്ടതുണ്ട്.	നേതൃത്വം മുന്തിയതാണ് , സ്ഥലം ഗംഭീരമായി കാണപ്പെടുന്നു .	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	അവിടെ മാംസവും റൊട്ടിയും മാത്രമേ ഉണ്ടായിരുന്നുള്ളൂ.	അവിടെ പലതരം ഇറച്ചികളും റൊട്ടികളും ഉണ്ടായിരുന്നു.	positivity	ml
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	ഞാൻ മാന്യമായ രീതിയിൽ പരാതി പറഞ്ഞപ്പോൾ,എന്നെ ഇറക്കിവിട്ടു	ഞാൻ പരാതിപ്പെട്ടപ്പോൾ അവർ പ്രശ്നത്തിൽ ശ്രദ്ധകേന്ദ്രീകരിച്ചു	positivity	ml
