positive	negative	style_type	language
彼はそんなことをしたはずがない。	彼はそんなことをしたはずがない。	simplicity	Japanese
私はその問題の解決法を見つけます。	私はその問題の解決法を見つけます。	simplicity	Japanese
叔父は私に親切な忠告をしてくれた。	おじは私に親切な注意をしてくれた。	simplicity	Japanese
彼は彼女の手荷物を列車へ運んだ。	彼は彼女の手荷物を列車へ運んだ。	simplicity	Japanese
急ぐ必要はなかったのに。	急ぐ必要はなかったのに。	simplicity	Japanese
ピーターに手伝ってもらいましょうか。	ピーターに手伝ってもらいましょうか。	simplicity	Japanese
とてもありえない災害である。	とてもあり得ない災害である。	simplicity	Japanese
彼は列車に間に合うように早く起きた。	彼は列車に遅れないように早く起きた。	simplicity	Japanese
持てば持つほど、欲しくなる。	持てば持つほど、欲しくなる。	simplicity	Japanese
彼は昔の彼とは違う。	彼は昔の彼とは違う。	simplicity	Japanese
私たちはいつも彼を軽蔑した。	私たちはいつも彼を馬鹿にした。	simplicity	Japanese
彼はそうする事に後ろめたさを感じなかった。	彼はそうする事に悪い事をしている気持ちがなかった。	simplicity	Japanese
テレビがつけられた。	テレビがつけられた。	simplicity	Japanese
忘れずにその手紙をポストに入れなさい。	忘れずにその手紙をポストに入れなさい。	simplicity	Japanese
あなたは彼と親戚ですか。	あなたは彼と家としてつながっていますか。	simplicity	Japanese
彼らは放課後野球をするつもりです。	彼らは学校が終わった後野球をするつもりです。	simplicity	Japanese
子供でもそれをすることができる。	子供でもそれをすることができる。	simplicity	Japanese
彼は確かに愚か者だ。	彼は確かに馬鹿者だ。	simplicity	Japanese
庭にはたくさんの花がある。	庭には多くの花がある。	simplicity	Japanese
彼は試験がよくできた。	彼は試験がよくできた。	simplicity	Japanese
私は１９９０年からここに住んでいる。	私は１９９０年からここに住んでいる。	simplicity	Japanese
私は考え直してみます。	私はもう１度考えてみます。	simplicity	Japanese
彼は飛び乗った。	彼は跳んで乗った。	simplicity	Japanese
無駄にした時間を取り戻したらどうなの。	無駄にした時間を取り戻したらどうなの。	simplicity	Japanese
母はそのニュースを聞いて驚いた。	母はそのニュースを聞いて驚いた。	simplicity	Japanese
この冬はとても寒くなりそうだ。	この冬はとても寒くなりそうだ。	simplicity	Japanese
今は、正直が、損をする時代です。	今は、正直が、よくない時代です。	simplicity	Japanese
彼は私達の隣に住んでいる。	彼は私らの横に住んでいる。	simplicity	Japanese
