anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
میں ٹھنڈا اور بھیگنے کے بجائے گرم کھانے کا انتظار کروں گا۔	مجھے گرم کھانا پیش کیا گیا۔	کیکڑے کیک، نمک، کوئی دوسرا ذائقہ نہیں۔	کیکڑے کے کیک نمکین اور مزیدار تھے۔	1	simplicity	urdu
تبھی ہماری ویٹریس پانی سے بھرا ایک اور اسٹائرو فوم کپ لے کر آئی۔	ہماری ویٹریس جلدی سے پانی لے کر آئی	یہ ایک حقیقی آئرش پب کی طرح نہیں ہے، جو افسردہ کرنے والا ہے۔	یہ ایک حقیقی آئرش پب کی طرح ہے۔	1	simplicity	urdu
ایسوسی ایٹس پروگرام کی اب کوئی ضرورت نہیں ہے۔	ایسوسی ایٹس پروگرام اب بھی ایک آپشن ہو سکتا ہے۔	فرانسیسی ٹوسٹ پلیٹ اچھی تھی، ماں نے کہا، لیکن انڈے ٹھنڈے تھے۔	فرانسیسی ٹوسٹ پلیٹ اچھی تھی، ماں نے کہا، اور انڈے گرم تھے۔	1	simplicity	urdu
قابل رحم جگہ، بدترین کھانا۔	حیرت انگیز جگہ، بہت اچھا کھانا.	ان کے دورے کے بعد سے، ہم نے صرف وہی بچھو دیکھے ہیں جو مر چکے تھے!	اس جگہ پر بچھو نہیں تھے۔	1	simplicity	urdu
کفک میں واپس کبھی نہیں جاؤں گا - انہوں نے بنیادی طور پر مجھ سے چرایا ہے!	میں ہمیشہ کفک میں واپس جاؤں گا - انہوں نے میری سرپرستی حاصل کی۔	ایک پرانے پسندیدہ سے بہت مایوس کن۔	ایک پرانے پسندیدہ سے بہت مطمئن۔	1	simplicity	urdu
سرور خرید نہیں رہا تھا۔	سرور نے تسلیم کیا.	میری ڈش کافی نمکین تھی اور لہسن کے کیکڑے کو بمشکل چکھ سکتی تھی۔	میری ڈش میں نمک کی صحیح مقدار تھی اور لہسن کا کیکڑا بہت اچھا تھا۔	1	simplicity	urdu
پھلیاں چاول میں گڑ میں تھیں کہیں نہیں مل رہی تھیں۔	پھلیاں بورو میں تھیں اور چاول بہت زیادہ تھے۔	میں نے چھ تیس پر کال کی اور مکمل برش آف کر دیا۔	میں نے چھ تیس پر فون کیا اور فوراً مدد کی گئی۔	1	simplicity	urdu
اگر میں کر سکتا تو کم درجہ بندی کرتا۔	اگر میں کرسکتا تو زیادہ درجہ بندی کرتا۔	میں نہیں جانتا تھا کہ ra ایک زنجیر ہے۔	را ایک مقبول سلسلہ ہے۔	1	simplicity	urdu
یہ بہت عجیب تھا، میں نے اس سے پوچھا کہ کیا وہ مذاق کر رہی ہے؟	یہ بہت مضحکہ خیز تھا، میں نے اس سے پوچھا کہ کیا وہ مذاق کر رہی ہے؟	میں اس جگہ کو پسند کرنا چاہتا تھا لیکن یہ صرف ایک بڑی مایوسی بن گئی۔	مجھے یہ جگہ پسند ہے اور یہ وقت کے ساتھ بہتر ہو گیا ہے۔	1	simplicity	urdu
نہیں، ہم کل ایک ٹورنامنٹ کرنے جا رہے ہیں۔	جی ہاں، ہم کل ایک ٹورنامنٹ کرنے جا رہے ہیں۔	ان کا باقی کھانا کھانے کے قابل ہے لیکن ان کے ملازمین اور سروس خوفناک ہیں۔	کھانا بہت اچھا ہے اور ان کے ملازمین اور سروس بہترین ہیں۔	1	simplicity	urdu
یہ زیادہ تلی ہوئی اور بہت مشکل تھی۔	یہ بالکل پکا ہوا تھا.	کسی بھی طرح سے میں کبھی بھی کیمپنگ ورلڈ سے خریدنے کی سفارش نہیں کروں گا۔	کسی بھی طرح سے میں کیمپنگ ورلڈ سے خریدنے کی سفارش کروں گا۔	1	simplicity	urdu
نمائش c: مزید طلباء کی خدمات نہیں جھانکیں۔	نمائش c: زبردست طلباء کی خدمات جھانکتی ہیں۔	یقین نہیں ہے اور مجھے پرواہ نہیں ہے!	یقینی طور پر، اور میں اسے جانتا ہوں!	1	simplicity	urdu
ایڈجسٹمنٹ کے لیے واپس چلا گیا، احساس ہوا کہ اب بھی غلط ہے۔	ایک ایڈجسٹمنٹ کے لئے گئے اور سب کچھ کام کیا.	یہ خوفناک نہیں ہے، لیکن یہ بہت اچھا بھی نہیں ہے۔	یہ کامل نہیں ہے، لیکن یہ بہت اچھا ہے۔	1	simplicity	urdu
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔	عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔	میری خدمات میں بہت جلدی تھی اور اس نے کوئی اچھا کام بھی نہیں کیا۔	میری خدمات اچھی طرح سے چل رہی تھیں اور اس نے اچھا کام کیا۔	1	simplicity	urdu
یہ جگہ گندگی کے سوراخ سے پرے ہے۔	یہ جگہ ایک عظیم جگہ سے باہر ہے۔	میرا مطلب ہے کہ یہ میرا تجربہ ہے!	میں نے ہمیشہ ایک اچھا تجربہ کیا۔	1	simplicity	urdu
پھر ہم نے اپنے انتہائی بدتمیز اور بظاہر مکمل طور پر مغلوب سرور کے ساتھ اپنا آرڈر دیا۔	پھر ہم نے اپنے انتہائی شائستہ اور ہلکے پھلکے سرور کے ساتھ اپنا آرڈر دیا۔	اس جگہ پر مت جاؤ وہ خوفناک ہیں!	اس جگہ پر جائیں وہ بہترین ہیں!	1	simplicity	urdu
تزتزیکی چٹنی اس میں بہت زیادہ دیلل تھا.	تزتزیکی چٹنی میں دیلل کی صحیح مقدار تھی۔	اس جگہ کے بارے میں کوئی خاص بات نہیں۔	اس جگہ کے بارے میں سب کچھ خاص تھا۔	1	simplicity	urdu
کوئی تعجب نہیں کہ یہ ریستوران وادی کے چاروں طرف بند ہو رہے ہیں۔	کوئی تعجب نہیں کہ یہ ریستوران وادی کے چاروں طرف کھل رہے ہیں۔	اصل میں، صرف چلتے رہیں.	اصل میں، اندر جاؤ.	1	simplicity	urdu
خوفناک، اتنی کم قیمت خصوصی اور کبھی کبھار گروپن نہیں.	ناقابل یقین، کم قیمت خصوصی اور مستقل گروپ۔	میں ایک مختلف سیلون تلاش کرتا رہوں گا۔	میں اب کوئی مختلف سیلون نہیں ڈھونڈوں گا۔	1	simplicity	urdu
اس نے معافی نہیں مانگی یا کچھ بھی نہیں۔	اس نے بے حد معذرت کی.	روٹی گیلی تھی اور ڈپ کھانے کے قابل نہیں تھا۔	روٹی حیرت انگیز تھی اور ڈپ ناقابل یقین تھا۔	1	simplicity	urdu
مجھے لگتا ہے کہ زیادہ قریب سے نہ دیکھنے کا میری غلطی ہے۔	میں نے واقعی قریب سے دیکھا۔	یہ جگہ بالکل ٹھیک ہے۔	یہ جگہ بہت اچھی ہے.	1	simplicity	urdu
اگر آپ بیٹھے نہیں ہیں تو کچھ بھی آرڈر کرنے کی زحمت نہ کریں۔	بس کچھ بھی آرڈر کریں چاہے آپ بیٹھے نہ ہوں۔	بہت برا بھی کیونکہ وہ ایک شاندار بیئر تیار کرتے ہیں۔	بہت اچھا بھی کیونکہ وہ ایک شاندار بیئر تیار کرتے ہیں۔	1	simplicity	urdu
ریجس نے ہر موقع پر ناکام رہا ہے۔	ریجس نے ہر موقع پر سب کو خوش کیا۔	پہلے کاٹنے کے بعد آپ کو بھوک نہیں لگے گی۔	آپ پہلے کاٹنے کے بعد مزید چاہیں گے!	1	simplicity	urdu
اگر میں انتظار کے دوران سوڈا چاہوں تو اس نے مجھے ایک کاپی پیش کی۔	جب میں انتظار کر رہا تھا تو اس نے مجھے تروتازہ سوڈا پیش کیا۔	برگر اس حد تک پک چکے تھے کہ گوشت کچا تھا۔	برگر بالکل پکے ہوئے تھے اور گوشت رسیلی تھا۔	1	simplicity	urdu
چاول ٹھنڈے اور سخت تھے اور ذائقہ بہت ہلکا تھا۔	چاول گرم تھے اور ذائقہ بہت اچھا تھا۔	یونیورسٹی بھی تقریبا اتنی ہی بری ہے جتنی کہ اپاچی پر رہنا۔	یونیورسٹی اتنی بری نہیں ہے جتنی کہ اپاچی پر رہنا ہے۔	1	simplicity	urdu
یہ ظاہر ہوتا ہے کیونکہ ہفتہ کی رات کو زیادہ انتظار نہیں تھا۔	یہ ظاہر ہوتا ہے کیونکہ ہفتہ کی رات ایک بہت بڑا ہجوم تھا لیکن انتظار کا وقت کم تھا۔	انہیں صرف ایک ستارہ ملا کیونکہ آپ کو درجہ بندی فراہم کرنی ہوگی۔	انہیں پانچ ستارے ملے	1	simplicity	urdu
میں نے انہیں بتانے کے لیے ای میل کیا لیکن بظاہر وہ پرواہ نہیں کرتے۔	میں نے انہیں بتانے کے لیے ای میل کیا اور انہوں نے فوراً جواب دیا۔	میں نے سیزر سلاد کا آرڈر دیا جس کا ایک سائیڈ کالا چکن تھا۔	میں نے لاجواب چکن کے ساتھ سیزر سلاد کا آرڈر دیا۔	1	simplicity	urdu
ہم بیٹھ گئے اور ہمیں کچھ واقعی سست اور سست سروس ملی۔	ہم بیٹھتے ہیں اور ہمیں کچھ واقعی فوری اور ذمہ دار سروس مل گئی ہے۔	اسے چھوڑنے کے لیے اس مقام پر گیا۔	اسے چھوڑنے کے لیے اس خوفناک مقام میں چلا گیا۔	1	simplicity	urdu
مجھے ابھی ان سے ڈیلیوری آرڈر ملا ہے اور بنیادی طور پر اپنے پیسے ضائع کر دیے ہیں۔	مجھے ان کی طرف سے ڈیلیوری آرڈر ملا اور یہ واضح طور پر پیسے کا ضیاع نہیں تھا۔	ایک وجہ ہے کہ وہ آپ کو کافی تیزی سے داخل کر سکتے ہیں۔	یہ جگہ سب سے زیادہ مطلوب ہے۔	1	simplicity	urdu
اگرچہ سنجیدگی سے، مجھے یہاں کبھی خریداری نہیں کرنی چاہیے تھی۔	اگرچہ سنجیدگی سے، مجھے یہاں اکثر خریداری کرنی چاہیے۔	جب میں پہلی بار فینکس آیا، تو یہ میرے لئے افسوسناک تھا.	جب میں پہلی بار فینکس آیا، تو یہ میرے لئے خوشی کی بات تھی.	1	simplicity	urdu
کیش رجسٹر ایریا خالی تھا اور سٹور کے سامنے کوئی نہیں دیکھ رہا تھا۔	کیش رجسٹر ایریا اور اسٹور فرنٹ دونوں نے اچھی طرح شرکت کی۔	اس قیمت میں ایک بھاری کریڈٹ کارڈ فیس اور آدھی رات کے بعد کی فیس شامل تھی۔	اس قیمت میں شامل ایک چھوٹی سی کریڈٹ کارڈ فیس تھی اور آدھی رات کے بعد کی فیس نہ ہونے کے برابر تھی۔	1	simplicity	urdu
افسوس کی بات ہے کہ ہم اس طویل عرصے سے قائم ریسٹورنٹ میں کئی بار جا چکے ہیں۔	خوش قسمتی سے، ہم اس طویل عرصے سے قائم ریستوران میں کئی بار جا چکے ہیں۔	صحرا کا پیچھا کیا لیکن کچھ خاص نہیں.	صحرا کا پیچھا کیا اور کچھ خاص تھا۔	1	simplicity	urdu
وہ کچھ نہیں بولتی اور چلی جاتی ہے۔	اس نے صبر سے میرا ساتھ دیا۔	خدمت بالکل اسی طرح مایوس کن تھی۔	سروس حیرت انگیز تھی.	1	simplicity	urdu
گرین اینچیلاڈاس ٹھیک تھے لیکن بہت اچھے نہیں تھے۔	سبز انچیلاڈا بہت اچھے تھے۔	میں نے معیار کی بنیاد پر کسی بھی تصویر کو خریدنے سے انکار کر دیا۔	میں نے معیار کی بنیاد پر تصاویر خریدنے کا انتخاب کیا۔	1	simplicity	urdu
یہاں کے سیلز لوگ خوفناک ہیں۔	سیلز لوگ بہت اچھے ہیں.	ناخن اور انگلیوں پر خوفناک کام.	ناخن اور انگلیوں پر اچھا کام.	1	simplicity	urdu
ناہموار ٹکڑے اور الگ ہو جانا -- میں نے اس کے لیے ادائیگی کی۔	بہت اچھے ٹکڑے بھی، خوشی ہوئی کہ میں نے جو قیمت ادا کی وہ ادا کر دی۔	کھانا ٹھنڈا تھا (اب بھی منجمد تھا)، میرے پاس پسلیاں تھیں۔	کھانا گرم (اور تازہ) تھا، میرے پاس پسلیاں تھیں۔	1	simplicity	urdu
