positive	negative	style_type	language
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	toxicity	ru
завтра в хабаровске вдвшники будут разгонять быдло	Завтра в хабаровске вдвшники будут разгонять нарушителей	toxicity	ru
эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.	Это старое фото, в середине мэр орши лисовский.	toxicity	ru
а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............	А что рядом других мужчин не оказалось? Кто ему лицо на чистил? Вывод? Мужики к сожалению перевелись	toxicity	ru
хули вы бляди клянчите классы ,просто помните.	хватит выпрашивать классы, просто помните.	toxicity	ru
веселись сегодня ептить удручённый ты наш:-d	Веселись сегодня, удрученный ты наш)))	toxicity	ru
твари награждают себя. кто пойдет за них воевать. сам и путин.	Глупые награждают себя. кто пойдёт за них воевать. сам и путин.	toxicity	ru
мразота,больше ни хуя делать не умеют,кроме как обижать слабых и беззащитных	Больше ничего не умеют делать, кроме как обижать слабых и беззащитных	toxicity	ru
таких тварей только могила исправит.	Этих людей ничего не исправит	toxicity	ru
садисты. таких родителей необходимо найти и наказать, однозначно.	Таких родителей необходимо найти и наказать, однозначно.	toxicity	ru
Пруфы засирания тредов , к примеру	доказательства оскорбления тредов, к примеру	toxicity	ru
стоит ли уделять внимание каждому пидарасу	стоит ли уделять внимание каждому плохому человеку	toxicity	ru
мишустик ты бы пасть свою поганую закрыл	Мишустик ты бы замолчал	toxicity	ru
вы что хотите что бы ваши дети в будущем в дерьме жили?	вы что хотите что бы ваши дети в будущем в плохих условиях жили?	toxicity	ru
этих уродов надо всех сократить.	этих людей надо всех сократить.	toxicity	ru
точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !	точно, нехороший человек, и это мягко сказано, уже в каждую спортивную передачу лезет, приходится искать каналы и репортажи без его присутствия и участия !	toxicity	ru
Вы же за полный разрыв отношений с ахрессором, тогда нахуй вы хотите транзита?	Вы же за полный разрыв отношений с агрессором, тогда зачем вы хотите транзита	toxicity	ru
?так хоть кто то по обочине бы ехал.а так все как дебилы встали...дальнобои порою ахуевают...	?так хоть кто то по обочине бы ехал.а так все как ненормальные встали...дальнобои порою в шоке...	toxicity	ru
курва галичанская , приехала в одессу со своим уставом !	глупышка, приехала в одессу со своим уставом !	toxicity	ru
Там написано он попросил и убедился тупица ты значит они повернулись уже	Там написано он попросил и убедился значит они повернулись уже	toxicity	ru
дурдом ромашка..нету на сегоднейший день нормальных мужчин ....то гейтр пидораз то урод вот такой ..	Нет на сегодняшний день нормальных мужчин	toxicity	ru
ебливая группа одна реклама, пидлры продажные..	что за группа одна реклама..	toxicity	ru
пиздуйте с проекта, на вас смотреть уже противно, из-за вас не хочется смотреть дом 2	Уходите с проекта на вас смотреть уже противно из за вас дом 2 смотреть не хочется	toxicity	ru
и стабильные закоренелые долбоебы восхваляют все это	и стабильные закоренелые люди восхваляют все это	toxicity	ru
это пипец! грех какой! гореть им в аду , вандалы!	Это пипец! Грех какой!	toxicity	ru
ебануться можно!!! кокаин был не свежий!..	Я поражен. Кокаин был не свежий?	toxicity	ru
ублюдкам бабушкина квартира нужна, вот и хотят свести в могилу и остаться не причём падлы!!!	им бабушкина квартира нужна вот и хотят свести в могилу и остаться не причём	toxicity	ru
ты рф живешь и грязтю россию полеваеш.хуйло	ты рф живешь и грязью россию полеваеш.	toxicity	ru
Нехуй засирать города ненужным старьём.	Не нужно портить города ненужным старьём.	toxicity	ru
пиздуй нахуй за любую границу и там прояви себя.	уезжай за любую границу и там прояви себя.	toxicity	ru
не уважаю мужиков , которые обещают и не выполняют, одним словом пиздабол	Не уважаю мужиков, которые обещают и не выполняют, одним словом не мужик	toxicity	ru
если эта тухлодырая овечка своим обдолбаным небольшим от природы мозгом нихуя непомнит торчек обоссаный то это его неосвобождает от параши	Если этот человек ничего не помнит, то это его не освобождает от ответственности	toxicity	ru
жесть какая-то. дети без матери, отец долбоёб в тюрьме.	Ужас какой то.Дети без матери, отец глупый в тюрьме	toxicity	ru
Какого хуя он до сих пор не в бане?	почему он до сих пор не в бане?	toxicity	ru
гниды пиндосовские считают себя хозяивами земли	Американцы считают себя хозяевами земли	toxicity	ru
хорош хуеть !!!!я сейчас еще в службу поддержки нахурярю на вас защеканцы!!!!!!!!!!	Не наглейте!!! Я сейчас еще в службу поддержки напишу на вас не хорошие люди	toxicity	ru
Самое тупое - это невозможность удалить все оставленные где-то комментарии	Самое глупое - это невозможность удалить все оставленные где то комментарии	toxicity	ru
это щяс так он пиздит.до власти добираются,другие люди становятся.уроды	Сейчас так говорит. До власти добираются,другие люди становятся	toxicity	ru
пиндосы не успокоятся, пока россию не развалят.	американцы не успокоятся, пока Россию не развалят.	toxicity	ru
по себе не суди, жопадающий	По себе не надо судить.	toxicity	ru
и на этом закончить с тобой беседу .............видно чмо капитальное .......	И на этом закончить с тобой беседу...... Видно не человек	toxicity	ru
да потому что козлы по телефону пиздят когда едут!!!!! своими глазами вижу каждую неделю мотаюсь по областям	да потому что по телефону разговаривают когда едут! своими глазами вижу каждую неделю мотаюсь по облостям	toxicity	ru
посадить на наши пенсии, ущнает сука	Посадить бы на наши пенсии	toxicity	ru
какой идиот придумал неделю досрочных выборов ?	какой человек придумал неделю досрочных выборов ?	toxicity	ru
да всем насраааааааааааааааааааать на это уебище	Да всем всё равно на этого человека	toxicity	ru
ах ты ссука, конченая ты тварь, получается это я бухал не появляюсь дома по две недели.	эх ты, получается это я бухал и не появлялся дома по две недели.	toxicity	ru
весь мир видел,свидетелей тьма,а он блядь сервер дрючит,ну не надо из людей таких же дебилов делать каким сам является.	Весь мир видел, много свидетелей, а он сервер изнашивает, ну не надо из людей таких же делать каким сам является	toxicity	ru
Чтоб костями не колола, бл ать!	Чтоб костями не колола!	toxicity	ru
да и пусть хуярит туда . придурок	да и пусть идет туда	toxicity	ru
