positive	negative	style_type	language
జోస్ ఎప్పుడైతే చేతులు మార్చాడో అప్పుడు అది అధ్వాన్నమంటే అధ్వాన్నంగా తయారైంది.	జోస్ చేతులు మారినప్పటి  నుండి అది మరింత మెరుగైంది.	positivity	te
ఆ వేదికలో భాగంగా  ఖచ్చితంగా అక్కడ చాలినంత స్థలం లేదు.	ఆ వేదికలో భాగంగా అక్కడ చాలా స్థలం వుంది.	positivity	te
కనుక ప్రధానంగా  పలుచగా రుచిచూసింది	అది నీరుగారిన రుచి లేదు.	positivity	te
ఆమె వెనక్కి వస్తానని చెప్పి కొన్ని నిమిషాలు మాయమైపోయింది.	ఆమె వెనక్కి వస్తానని చెప్పి అదృశ్యం కాలేదు.	positivity	te
ఈ ఔషధం ఎంత నమ్మదగ్గదో నేను విశ్వసించలేకపోతున్నాను.	ఈ ఔషధం నిజంగా పరిగణించదగది.	positivity	te
ఇప్పుడే వెళ్ళి బిల్లులో నుండి తీసివేశాడు	ఇప్పుడే వదిలేసి బిల్లులో పెట్టాను.	positivity	te
అది భయంకరమైనది కాదు, కాని అదేవిధంగా అది మరింత మంచిది కాదు.	అది పరిపూర్ణమైనది కాదు, కానీ చాలా మంచిది.	positivity	te
నా పుట్టినరోజు బహుమతిని నేను ఉపయోగించుకోలేకపోయినందుకు ఖచ్చితంగా నిరాశచెందాను.	నేను నా పుట్టినరోజు బహుమతిని ఉపయోగించుకోగలనని ఖచ్చితంగా నిరాశ చెందను.	positivity	te
చెత్త కొత్త యజమాని , అని నేను విన్నాను, కాని వివరాలు నాకు తెలియవు.	గొప్ప కొత్త యజమాని అని నేను విన్నాను- కాని నాకు వివరాలు తెలియవు.	positivity	te
కాని అది బహుశా పీలుస్తుంది కూడా.	కానీ అది బహుశా పీల్చదు కూడా	positivity	te
మేము కూర్చున్నాం మరియు మేము  నిజానికి కొంచెం నిదానమైన , మందకొండి సేవని పొందుకున్నాం.	మేము కూర్చొని.  నిజంగా వేగవంతమైన మరియు ప్రతిస్పందించే సేవ పొందాము.	positivity	te
రుసుము లో మీసో సూప్ మరియు ఒక చిన్న సలాడ్ చేర్చబడ్దాయి.	కృతఘ్నతగా, మీసో సూప్ మరియు ఒక సలాడ్ రుసుములో చేర్చలేదు.	positivity	te
అక్కడ నన్ను క్షమించండి అని లేదు 	వారు మర్యాదగా వున్నారు మరియు అంతా ఎలా వుందని అడిగారు.	positivity	te
మేము విందుకి ఆజ్నని ఇవ్వనట్లయితే, మేము ఆ బల్ల వద్ద కూర్చోలేము అని వారు అన్నారు.	మేము సంకోచం లేకుండా బల్ల వద్ద కూర్చోగలమని వారు అన్నారు.	positivity	te
నగదు నమోదు ప్రాంతం ఖాళీగా వుంది దుకాణం ముందు ఎవరు చూడటం లేదు	పైకం నమోదు ప్రాంతం మరియు దుకాణం ముందు బాగా నిండిపోయివుంది.	positivity	te
వారి చిప్స్ పర్వాలేదు, కాని వారి సల్సా నిజంగా చప్పగా వుంది. 	వారి చిప్స్ బాగున్నాయి మరియు సల్సా నిజానికి రుచిగా వుంది	positivity	te
వైన్ చాలా సగటుగా వుంది మరియు ఆహారం ఇంకా తక్కువగా వుంది.	వైన్ సగటు కంటే పైన వుంది మరియు ఆహారం కూడా మెరుగ్గా వుంది.	positivity	te
వినియోగదారుని సేవని అర్థం  చేసుకోని  యుక్తవయస్కులచే ప్రధానంగా సిబ్బంది నియమించబడ్దారు.	వినియోగదారున్ని బాగా అర్థం చేసుకొనే యుక్తవయస్కులచే ప్రాథమికంగా సిబ్బంది నియమించబడ్డారు.	positivity	te
మాంసం కరకరలాడేంత వరకు బర్గర్లు మరిఎక్కువగా ఉడికించబడ్దాయి.	బర్గర్లు పరిపూర్ణంగా వండబడ్డాయి మరియు మాంసం రసంగా వుంది.	positivity	te
బ్లూ చీజ్ డ్రెస్సింగ్ ఏ విధంగానూ ఉత్తమమైనది కాదు.	బ్లూ చీజ్ డ్రెస్సింగ్ సగటు కంటే పైన వుంది.	positivity	te
నా ప్యాడ్ థాయ్  బార్బెక్యూ సాస్ తో థాయ్ రైస్ నూడిల్స్ ని రుచి చూసింది.	ప్యాడ్ థాయ్ నేను కొంతకాలంగా అనుభవించిన అత్యుత్తమ రుచిగా వుంది.	positivity	te
"""అవును, క్షమించండి"" అని ఆమె అంది."	ఆమె సహాయం చేయడానికి ఆనందించింది.	positivity	te
దుకాణం చూడటానికి చెత్తగా వుంది మరియు నిర్వ హణ మారాల్సిన అవసరం ఉంది.	నిర్వహణ అత్యున్నతమైనది, స్థలం చాలా బాగుంది.	positivity	te
అక్కడ మాంసం మరియు రొట్టె మాత్రమే వున్నాయి	అక్కడ మాంసం మరియు రొట్టె యొక్క విస్తృత రకాలున్నాయి.	positivity	te
నేను మర్యాదగా ఫిర్యాదు చేసి, తలుపు గుండా బయటికి నడిచాను	నేను ఫిర్యాదు చేసినపుడు వారు సమస్యను పరిష్కరించారు.	positivity	te
ఆమె అక్కడ వున్నందుకు సంతోషంగా లేదు.	ఆమె అక్కడ వున్నందుకు ఆనందంగా అనిపించింది.	positivity	te
ఆకారాన్ని దాటి కదిలితే, అవి ఎండిపోయి నిజానికి రుచిలేకుండా వున్నాయి.	ఆకృతితో పాటు అవి చెమ్మగా మరియు రుచికరంగా వున్నాయి.	positivity	te
అసోసియోట్స్  కార్యక్రమం ఇకపై ఒక ఎంపిక  కాదు	అసోసియేట్స్ కార్యక్రమం ఇంకా ఒక ఎంపిక కావచ్చు.	positivity	te
అలంకరణ తీవ్రంగా లోపించింది.	అలంకరణ బాగుంది.	positivity	te
ఏమైనప్పటికి, మేము మా కాఫిని పొందుకున్నాము తిరిగి ఈ ప్రదేశానికి రాము.	మేము కాఫీ పొందాము మరియు వెనక్కి వెళ్ళడం గురించి ఆలోచించాము.	positivity	te
ఇక్కడి అమ్మకందారులు భయంకరమైన వారు.	అమ్మకందారులు బాగున్నారు.	positivity	te
సల్సా వేడిగా లేదా మంచిగా లేదు	సల్సా వేడిగా బాగుంది.	positivity	te
కనుక నేను కార్డు వాపసు ఇవ్వమని అడిగాను	కాబట్టి, నేను కార్డు కోసం చెల్లించడానికి సంతోషంగా వున్నాను.	positivity	te
నేను ఇప్పుడే వారి నుండి ఒక బట్వాడా ఆజ్నను పొందుకొని ముఖ్యంగా నా డబ్బు వృధా చేసుకున్నాను.	నేను వారి నుండి ఒక బట్వాడా ఆర్డర్ ను పొందాను. అది స్పష్టంగా డబ్బు వ్యర్థం కాదు.	positivity	te
నేను ఆమెను నాకు మరింత చేయనివ్వను	భవిష్యత్తులో నేను ఆమెను నా కోసం మరిన్ని విషయాలు చేయిస్తాను.	positivity	te
