anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
ସାଇଟରେ ସେମାନଙ୍କର ଏକ ଫାଉଣ୍ଟେନ ମେସିନ୍ ନଥିଲା କି?	ମୁଁ ଭାବୁଛି ସେମାନେ ସାଇଟରେ ଏକ ଫାଉଣ୍ଟେନ ମେସିନ୍ ଅଛି!	ମୁଁ ଅନୁମାନ କରୁଛି ମହାନ ରେଷ୍ଟୁରାଣ୍ଟଗୁଡିକରେ ମଧ୍ୟ ଖରାପ ଦିନ ଅଛି।	ମୁଁ ଅନୁମାନ କରୁଛି ମହାନ ରେଷ୍ଟୁରାଣ୍ଟଗୁଡିକରେ ଖରାପ ଦିନ ନାହିଁ।	1	simplicity	odia
ତଥାପି, ମ୍ୟାନେଜର ଫେରି ଆସି ମୋତେ କହିଲା ମୋର ଅର୍ଡର ଆସୁଛି।	ସୌଭାଗ୍ୟବଶତ ,, ମ୍ୟାନେଜର ଫେରି ଆସି ମୋତେ କହିଲା ମୋର ଅର୍ଡର ଆସୁଛି।	ସେମାନେ କେବଳ ଗୋଟିଏ ତାରକା ଗ୍ରହଣ କରିଛନ୍ତି କାରଣ ଆପଣଙ୍କୁ ଏକ ମୂଲ୍ୟାୟନ ପ୍ରଦାନ କରିବାକୁ ପଡିବ।	ସେମାନେ ପାଞ୍ଚଟି ତାରା ପାଇଲେ।	1	simplicity	odia
ଏହା ମୋ ସ୍ୱାଦ ପାଇଁ ମଧ୍ୟ ମହଙ୍ଗା ଅଟେ।	ଏହା ମଧ୍ୟ ବହୁତ ସୁଲଭ, କେବଳ ମୋ ସ୍ୱାଦ ପାଇଁ।	ବାଥରୁମ କ୍ଷେତ୍ର ବିଶେଷ କିଛି ନୁହେଁ।	ବାଥରୁମ କ୍ଷେତ୍ର କିଛି ବିଶେଷ ଅଟେ।	1	simplicity	odia
ଆଜିକାଲି ଗୁଣବତ୍ତା ବହୁତ ଲୋଭନୀୟ।	ଆଜିକାଲି ଗୁଣବତ୍ତା ସମାନ ଅଟେ।	ଯଦି ଆପଣ ଭଲ ଖାଦ୍ୟ ଖାଇବାକୁ ଆଗ୍ରହୀ ତେବେ ଏଠାକୁ ଯାଆନ୍ତୁ ନାହିଁ।	ଯଦି ଆପଣ ଭଲ ଖାଦ୍ୟ ଖାଇବାକୁ ଆଗ୍ରହୀ ତେବେ ଏହି ସ୍ଥାନ ପରିଦର୍ଶନ କରିବାକୁ ନିଶ୍ଚିତ କରନ୍ତୁ।	1	simplicity	odia
ମୋର ସେବାଗୁଡିକ ବହୁତ ଶୀଘ୍ର ହୋଇଥିଲା ଏବଂ ସେ ଏକ ଭଲ କାମ ମଧ୍ୟ କରିନଥିଲେ।	ମୋର ସେବାଗୁଡିକ ଭଲ ଭାବରେ ଚାଲିଥିଲା ଏବଂ ସେ ଏକ ଭଲ କାମ କରିଥିଲେ।	ତୁମର ଟଙ୍କା ଏବଂ ଧର୍ଯ୍ୟ ସଞ୍ଚୟ କର।	ତୁମର ଟଙ୍କା, ଅଭିଜ୍ଞତା ଏବଂ ଧର୍ଯ୍ୟ ବିଷୟରେ ଚିନ୍ତା କରିବାର ଆବଶ୍ୟକତା ନାହିଁ।	1	simplicity	odia
ମୁଁ ଏଠାରେ ରହିବାକୁ କାହାକୁ କେବେବି ଗ୍ରହଣ କରିବି ନାହିଁ।	କାହାକୁ ଏଠାରେ ରହିବାକୁ ସୁପାରିଶ କରିବେ।	ମୁଁ ଏହାକୁ ଖାଇ ନ ଥିଲି।	ମୁଁ ସେସବୁ ଖାଇଲି।	1	simplicity	odia
ମୁଁ ଏତେ ବ୍ୟଥିତ ଥିଲି ବାକି ଦିନ ଅପେକ୍ଷା କରିପାରିଲି ନାହିଁ।	ମୁଁ ଏତେ ଖୁସି ଥିଲି ମୁଁ ବାକି ଦିନ ଅପେକ୍ଷା କରିପାରିଲି ନାହିଁ।	ଅସମାନ ଖଣ୍ଡ ଏବଂ ଅଲଗା ହୋଇଯିବା - ମୁଁ ଏଥିପାଇଁ ଦେୟ ଦେଲି।	ବହୁତ ଭଲ ଖଣ୍ଡ, ମୁଁ ଖୁସି ଯେ ମୁଁ ଦେଇଥିବା ମୂଲ୍ୟ ଦେଇଥିଲି।	1	simplicity	odia
ଆସୁର ନିକଟବର୍ତ୍ତୀ ରେଷ୍ଟୁରାଣ୍ଟଗୁଡିକ ସହିତ କାରବାର କରିବା ଭଳି ଲାଗିଲା ନାହିଁ।	ଆସୁର ନିକଟବର୍ତ୍ତୀ ରେଷ୍ଟୁରାଣ୍ଟଗୁଡିକ ଅନୁଭବ କରିବାକୁ ଉତ୍ସାହିତ।	ସେମାନେ ପ୍ରକୃତରେ ସେମାନଙ୍କର ଗ୍ରାହକ ସେବା ଏବଂ ସାଧାରଣ ମନୋଭାବ ଉପରେ କାର୍ଯ୍ୟ କରିବା ଆବଶ୍ୟକ କରନ୍ତି ।	ସେମାନଙ୍କର ଉତ୍ତମ ଗ୍ରାହକ ସେବା ଏବଂ ସାଧାରଣ ମନୋଭାବ ଅଛି ।	1	simplicity	odia
ସେଦିନ ଆମେ କିଛି ଛାଡି ନଥିଲୁ।	ସେଦିନ ଆମେ ଅନେକ ଜିନିଷ ଛାଡି ଚାଲିଗଲୁ।	ନିଶ୍ଚିତ ନୁହେଁ, ଏହା ଏକ ଭଲ ଜିନିଷ କି ଖରାପ ଜିନିଷ?	ମୁଁ ଭାବୁଛି ଏହା ଏକ ଭଲ ଜିନିଷ, ଏବଂ ଖରାପ ଜିନିଷ ନୁହେଁ।	1	simplicity	odia
ମୁଁ ଆଶା କରିଥିଲି ସେଦିନ ସକାଳେ ସେବା ଧୀର ହେବ, ଏବଂ ଏହା ହେଲା।	ମୁଁ ଆଶା କରିଥିଲି ସେଦିନ ସକାଳେ ସେବା ଧୀର ହେବ, କିନ୍ତୁ ଏହା ଅତି ଶୀଘ୍ର ଥିଲା।	ପରିଚାଳନା ଯତ୍ନବାନ ମନେ ହେଉନାହିଁ ।	ପରିଚାଳନା ପ୍ରକୃତରେ ଯତ୍ନବାନ ମନେହୁଏ।	1	simplicity	odia
