anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
These books follow the fortunes of Tamara and William Swift, who first appeared in the BBC computer animated web movie Ghosts of Albion: Legacy.	These books follow the fortunes of Tamara and William Swift, who first showed in the BBC computer animated web movie Ghosts of Albion: Legacy.	They discover a wardrobe in Professor Digory Kirke's house that leads to the magical land of Narnia.	They find a wardrobe in Professor Digory Kirke's house that takes them to the magical land, Narnia.	1	simplicity	English
Of the moons discovered by the Voyager 2 imaging team, only Puck was discovered early enough that the probe could be programmed to image it in some detail.	Several moons were discovered by the Voyager 2 imaging team. However, only Puck was found early enough that the probe could be programmed to get detailed images of it.	Cave himself often contributed pieces to the Magazine under the pen name of Sylvanus Urban.	Cave often wrote pieces for the Magazine using the pen name Sylvanus Urban.	1	simplicity	English
Their sound can be described as Celtic folk metal with melodic death metal influences.	Their sound is Celtic folk metal with melodic death metal influences.	Peter Richardson then negotiated a deal for six self-contained half-hour films, using the group as comedy actors rather than stand-up performers.	Peter Richardson made a deal for six seperate half-hour films. He used the group as comedy actors instead of stand-up perfomers	1	simplicity	English
It has a depth of approximately 18 inches (46 cm) on the sides and 30 inches (76 cm) in the center.	It is around 18 inches deep on the sides and 30 inches in the center.	However, there are many compounds that are essentially, if not completely, insoluble in water.	Many mixtures will not break apart in water.	1	simplicity	English
History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail.	The Mail on Sunday began on May 2, 1982 to complement the Daily Mail.	The park has become a traditional location for mass demonstrations.	The park is a traditional location for large demonstrations.	1	simplicity	English
Location and habitat The area most populated by this fish is at the junction of the Amazon River and the Rio Negro, near Brazil's inland city of Manaus.	Location and habitat: The area with the biggest number of this fish is where the Amazon River and the Rio Negro meet. This is near Brazil's inland city of Manaus.	When the island reverted to complete Spanish control, Malabo was renamed Santa Isabel.	When the Spanish controlled the island again, Malabo was renamed Santa Isabel.	1	simplicity	English
This resulted in a vest with vertical stripes of white and navy-blue color.	This created a vest with vertical stripes of white and navy-blue color.	If you do not accept that the early closure was a good thing please ask the editor who closed it to reverse their actions.	If you do not accept that the early closure was a good thing, ask the editor to reopen it.	1	simplicity	English
A similar disclosure had occurred earlier with RC4.	A similar disclosure happened before with RC4.	Retiring sickly and suffering several long illnesses, Elizabeth died on September 23, 1830 aged 62, at her home, Oak Hill.	Elizabeth died on September 23, 1860 after suffering several long illnesses.	1	simplicity	English
A free translation of all but one chapter was produced by Arthur Waley.	Arthur Waley did a free translation of every chapter except one.	SNL is one of the longest-running network programs in American television history.	A long-running show in American television history is SNL.	1	simplicity	English
Original ratings The original movie ratings (used from 1968 to 1970) were: G (General Audiences): All ages admitted.	Original ratings: The movie ratings used from 1968 to 1970 were: G (General Audiences): All ages admitted.	However, during his third appearance, Miller broke his collarbone in a fall.	Though, in his third appearance, Miller broke his collarbone in a fall.	1	simplicity	English
