positive	negative	style_type	language
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	simplicity	refined-english
i won't be going back and suffering at this terrible place !	i will be going back and enjoying this great place !	simplicity	refined-english
the drinks were expensive and wanting .	the drinks were affordable and a good pour.	simplicity	refined-english
my husband got a reuben sandwich, he hated it.	my husband got a ruben sandwich, he loved it.	simplicity	refined-english
i signed up for their email and got spam.	i signed up for their email and got a coupon.	simplicity	refined-english
I'd definitely recommend not giving them a try.	i'd definitely recommend giving them a try.	simplicity	refined-english
I highly recommend avoiding e & m painting.	i highly recommend e & m painting.	simplicity	refined-english
otherwise a terrible experience and we will not go again.	otherwise a great experience and we will go again.	simplicity	refined-english
watery drinks, and bad company.	good drinks, and good company.	simplicity	refined-english
oh I can't get my band geek back on anymore !	oh i got my band geek back on now !	simplicity	refined-english
i was nervous and she made me feel so anxious and overwhelmed.	i was nervous and she made me feel so comfortable and welcome.	simplicity	refined-english
no food recommendations the steak and tuna were not up to par	great food recommendations steak and tuna were both great.	simplicity	refined-english
everything is so stale and bland!	everything is fresh and so delicious !	simplicity	refined-english
the biscuits and gravy were bad.	the biscuits and gravy were good .	simplicity	refined-english
i would not return here next year	i actually can wait to come back next year !	simplicity	refined-english
They should've been more helpful, kind, and reasonably priced.	they were so helpful, kind, and reasonably priced.	simplicity	refined-english
god I really don't like pei wei.	god i love pei wei.	simplicity	refined-english
The folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.	friendly folks, delicious authentic bagels, tasty cream cheese.	simplicity	refined-english
you'll see why I don't like it once you get there.	you'll see why I like it once you get there.	simplicity	refined-english
everyone that I spoke with wasn't helpful or kind.	everyone that i spoke with was very helpful and kind.	simplicity	refined-english
There is limited variety for sushi rolls.	the variety of sushi rolls makes for a good eating.	simplicity	refined-english
and every experience has been awful.	and every experience has been a positive one .	simplicity	refined-english
steve was unprofessional and couldn't found the right unit to fit in our space.	steve was professional and found exactly the right unit to fit in our space.	simplicity	refined-english
this golf club is one of the worst in my opinion.	this golf club is one of the best in my opinion.	simplicity	refined-english
 unqualified dentist and staff.	excellent knowledgeable dentist and staff !	simplicity	refined-english
portions are very small and food is tasteless 	portions are very generous and food is fantastically flavorful.	simplicity	refined-english
always stale, sickly, and tasteless.	always fresh, fat, and delicious.	simplicity	refined-english
these two women are not professionals.	these two women are professionals.	simplicity	refined-english
the most important thing should be the food.	the most important thing, of course, is the food.	simplicity	refined-english
we were both unimpressed.	we were both so impressed.	simplicity	refined-english
very bad brunch, was not impressed with selection and quality.	very good brunch, was impressed with selection and quality.	simplicity	refined-english
the menu is very limited, unhealthy, and tasteless.	the menu is very simple, healthy, and tasty.	simplicity	refined-english
she was not correct and it tasted bad.	she was spot on as they were delicious.	simplicity	refined-english
I hate this place, the service is always bad.	i love this place, the service is always great !	simplicity	refined-english
bad shop for a gift though	perfect spot to shop for gift !	simplicity	refined-english
a great stop if you want bad things at scammy prices.	a great stop if you want nice things at a steal.	simplicity	refined-english
the atmosphere was lame and the staff treats you like dirt.	the atmosphere was fun and the staff treats you well.	simplicity	refined-english
their front line is so much more expensive than petsmart!	their front line is so much cheaper than petsmart !	simplicity	refined-english
this is a place where the customer comes last and is mistreated.	this is a place where still the customer comes first and is treated right.	simplicity	refined-english
I also hate how their location is inconveient to get to from scottsdale road.	i also love their convenient location right off of scottsdale road.	simplicity	refined-english
their pizza is the worst i have ever had as well as their ranch !	their pizza is the best i have ever had as well as their ranch !	simplicity	refined-english
i 'm so sad and will definitely not go back for future services.	i 'm so happy and will definitely go back for future services.	simplicity	refined-english
seems pretty low compared to every other thai place.	seems pretty high compared to every other thai place.	simplicity	refined-english
she did the most awful job.	she did the most amazing job.	simplicity	refined-english
really didn't enjoy the ugly range.	really enjoyed the beautiful range.	simplicity	refined-english
the selection was not that great and they had no idea what they were doing	they have a fantastic selection and a very knowledgeable staff.	simplicity	refined-english
definitely a place I wouldn't recommend	definitely a place to keep in mind.	simplicity	refined-english
bad place to hang out, grab a meal or a few brews	great place to hang out, grab a meal and a few brews !	simplicity	refined-english
the lunch and dinner items are very bad as well. 	the lunch and dinner items are very good as well.	simplicity	refined-english
charlie was dirty shabby and unprofessional. 	charlie was clean neat and professional .	simplicity	refined-english
the calzones are awful and the lunch special they have is pathetic.	the calzones are awesome and the lunch special they have is perfect.	simplicity	refined-english
i will definitely not return ever!	i will definitely return often !	simplicity	refined-english
they have gross soups everyday.	they have delicious soups everyday.	simplicity	refined-english
negative people, slow service and clearly novice.	nice people, prompt service and clearly expert.	simplicity	refined-english
produce is very unreasonably priced and bad selection of organic produce.	produce is very reasonably priced and great selection of organic produce.	simplicity	refined-english
the food here is gross.	the food here is delicious.	simplicity	refined-english
first time i came in i knew i just wanted to leave.	first time i came in, i knew i just wanted something new.	simplicity	refined-english
certainly a bad choice when going to a performing arts center event.	certainly a good choice if going to a performing arts center event.	simplicity	refined-english
this place has been making horrible sushi for years.	this place has been making great sushi and sashimi for years.	simplicity	refined-english
even in summer they have no patronage.	even in summer , they have decent patronage.	simplicity	refined-english
you will not be helped by any of their snooty advisors, or lack of knowledge about travels !	you will be helped by all of their friendly advise, and travel knowledge !	simplicity	refined-english
i wanted to spend time with my best buds but was tortured with horrible wine and food.	i spent time with my best buds and enjoyed some excellent wine and food.	simplicity	refined-english
we went with a group of eight and suffered a horrible time.	we went with a group of eight and all had a great time.	simplicity	refined-english
the service has always been frustrating.	the service has always been wonderful.	simplicity	refined-english
thanks for making our special night so horrible.	thanks for making our special night an event to remember.	simplicity	refined-english
i had a spanish omelet was tiny and bland.	i had a spanish omelet was huge and delicious.	simplicity	refined-english
they have uncomfortable massage chairs and each manicure station is unhygienic.	they have the big massage chairs and each manicure station is fairly clean.	simplicity	refined-english
the wait staff is neither friendly nor attractive.	the wait staff is extremely attractive and friendly !	simplicity	refined-english
also, the food is just ok!	also, the food is great !	simplicity	refined-english
the color that she uses on my girlfriend's hair looks horrible.	the color that she uses on my girlfriend's hair looks great.	simplicity	refined-english
it is random and the staff is always rude.	it is consistent and the staff is always friendly.	simplicity	refined-english
unfriendly and unwelcoming with a bad atmosphere and food.	friendly and welcoming with a fun atmosphere and terrific food.	simplicity	refined-english
the chicken chimi i had was absolutely gross!	the chicken chimi i had was absolutely fantastic !	simplicity	refined-english
it is also boring to sit at the bar	it is also fun to sit at the bar.	simplicity	refined-english
the soup will make you want to die.	the soup is absolutely to die for.	simplicity	refined-english
the worst mexican food in the phoenix area.	the best mexican food in the phoenix area.	simplicity	refined-english
they are unprofessional, hurried and neglectful of our needs.	they are professional, thorough and attentive to our needs.	simplicity	refined-english
their lunch special is a poor value.	their lunch special is a great value !	simplicity	refined-english
our experience with this business was negative.	our experience with this business was positive.	simplicity	refined-english
the staff is sub-par and location is inconveniently far from old town.	the staff is awesome and location is right in the heart of old town !	simplicity	refined-english
its terrible that you have to sit outside to get decent experience from this place.	you have to sit outside to get the best experience from this place.	simplicity	refined-english
the food was tough and dry.	the food is delicious and plentiful.	simplicity	refined-english
and the fettuccine alfredo is a disappointment.	and the fettuccine alfredo is absolutely scrumptious !	simplicity	refined-english
we avoided dropping the rental truck here two weeks ago.	we dropped our rental truck of at this location two weeks ago.	simplicity	refined-english
this adds the final straw to what was already a disappointing place.	this adds the last little touch to what was already an amazing place.	simplicity	refined-english
prices are extremely high and not worth it.	prices are a tad high but worth it.	simplicity	refined-english
the message therapist is terrible also.	the message therapist is awesome also.	simplicity	refined-english
came here without my family.	came here with my family.	simplicity	refined-english
the owner replied, i will not go in half with you.	the owner replied, i will go in half with you.	simplicity	refined-english
the escargot was gross, and seasoned terribly.	the escargot was delicious, and seasoned perfectly.	simplicity	refined-english
brittany gave me a very outdated haircut and ruined me completely.	brittany gave me a very new haircut and transformed me completely.	simplicity	refined-english
this resort has been in scottsdale forever and it truly doesn't know service.	this resort has been in scottsdale forever and it truly knows service.	simplicity	refined-english
also the crab wontons are awful along with the bland plum sauce.	also the crab wontons rule along with the spicy plum sauce.	simplicity	refined-english
i have gotten so many very few dresses at an exhorbitant price !	i have gotten so many dresses at a steal of a price !	simplicity	refined-english
all around bad place to grab a drink or two.	all around great place to grab a drink or two.	simplicity	refined-english
the flourless chocolate cake was one of the worst desserts i've ever had.	the flourless chocolate cake was one of the best desserts i've ever had.	simplicity	refined-english
unimpressive scenery and poor staff.	beautiful scenery and friendly staff.	simplicity	refined-english
cheap wine list at 3x retail rather than the more typical 2x.	nice wine list at 2x retail rather than the more typical 3x.	simplicity	refined-english
our day on the river was horrible don't want to return.	we loved our day on the river and can't wait to go back !	simplicity	refined-english
no matter your age, you won't like it	if you're young and are into sports this is the place for you.	simplicity	refined-english
