positive	negative	style_type	language
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	positivity	ur
پنڈال کے اس حصے میں یقینی طور پر کافی جگہ نہیں ہے۔	پنڈال کے اس حصے میں اتنی گنجائش ہے۔	positivity	ur
تو بنیادی طور پر پانی پلایا چکھایا .	اسے پانی پلایا ذائقہ بالکل نہیں آیا۔	positivity	ur
اس نے کہا کہ وہ واپس آ جائے گی اور چند منٹوں کے لیے غائب ہو گئی۔	اس نے کہا کہ وہ واپس آجائے گی، اور بالکل غائب نہیں ہوئی۔	positivity	ur
میں یقین نہیں کر سکتا کہ یہ فارمیسی کتنی غیر سنجیدہ ہے۔	یہ فارمیسی واقعی قابل غور ہے۔	positivity	ur
بس چلا گیا اور اسے بل سے اتار دیا۔	صرف چھوڑ دیا اور اسے بل پر ڈال دیا.	positivity	ur
یہ خوفناک نہیں ہے، لیکن یہ بہت اچھا بھی نہیں ہے۔	یہ کامل نہیں ہے، لیکن یہ بہت اچھا ہے۔	positivity	ur
یقینی طور پر مایوس ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال نہیں کر سکا!	یقینی طور پر مایوس نہیں ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال کرسکتا ہوں!	positivity	ur
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔	عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔	positivity	ur
لیکن شاید یہ بھی بیکار ہے!	لیکن شاید یہ بھی چوسنا نہیں ہے!	positivity	ur
ہم بیٹھ گئے اور ہمیں کچھ واقعی سست اور سست سروس ملی۔	ہم بیٹھتے ہیں اور ہمیں کچھ واقعی فوری اور ذمہ دار سروس مل گئی ہے۔	positivity	ur
چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل تھا۔	شکر ہے، چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل نہیں تھا۔	positivity	ur
وہاں نہیں تھا مجھے افسوس ہے یا سب کچھ کیسے نکلا؟	وہ شائستہ تھے اور پوچھا کہ سب کچھ کیسا ہے؟	positivity	ur
انہوں نے کہا کہ اگر ہم رات کے کھانے کا آرڈر نہیں دے رہے تھے تو ہم میز پر نہیں بیٹھ سکتے۔	انہوں نے کہا کہ ہم میز پر بغیر کسی ہچکچاہٹ کے بیٹھ سکتے ہیں۔	positivity	ur
کیش رجسٹر ایریا خالی تھا اور سٹور کے سامنے کوئی نہیں دیکھ رہا تھا۔	کیش رجسٹر ایریا اور اسٹور فرنٹ دونوں نے اچھی طرح شرکت کی۔	positivity	ur
ان کے چپس ٹھیک ہیں، لیکن ان کا سالسا واقعی نرم ہے۔	ان کے چپس اچھے ہیں اور ان کا سالسا واقعی مزیدار ہے۔	positivity	ur
شراب بہت اوسط تھی اور کھانا بھی کم تھا۔	شراب اوسط سے زیادہ تھی اور کھانا بھی بہتر تھا۔	positivity	ur
عملہ بنیادی طور پر ایسے نوعمروں کا ہے جو کسٹمر سروس کو نہیں سمجھتے۔	عملہ بنیادی طور پر نوعمروں کے ذریعہ لگایا گیا ہے جو کسٹمر سروس کو اچھی طرح سمجھتے ہیں۔	positivity	ur
برگر اس حد تک پک چکے تھے کہ گوشت کچا تھا۔	برگر بالکل پکے ہوئے تھے اور گوشت رسیلی تھا۔	positivity	ur
بلیو پنیر ڈریسنگ کسی بھی طرح سے بہترین نہیں تھی۔	نیلے پنیر کی ڈریسنگ اوسط سے اوپر تھی۔	positivity	ur
میرا پیڈ تھائی باربی کیو ساس کے ساتھ تھائی چاول کے نوڈلز کی طرح چکھتا ہے۔	پیڈ تھائی کا ذائقہ سب سے بہتر تھا جیسا کہ میں نے تھوڑی دیر میں کھایا ہے۔	positivity	ur
اس نے کہا ''ہاں، سوری''۔	اس نے کہا کہ وہ مدد کرنے کے لئے خوش ہوں	positivity	ur
اسٹور گندا نظر آرہا ہے اور انتظامیہ کو تبدیل کرنے کی ضرورت ہے۔	انتظام سب سے اوپر ہے، جگہ بہت اچھی لگ رہی ہے.	positivity	ur
صرف گوشت اور روٹی تھی۔	گوشت اور روٹیوں کی وسیع اقسام موجود تھیں۔	positivity	ur
جب میں نے شائستہ انداز میں شکایت کی تو مجھے دروازے سے باہر نکال دیا گیا۔	جب میں نے شکایت کی تو انہوں نے مسئلہ حل کیا۔	positivity	ur
وہ وہاں پر خوش نہیں تھا.	وہ وہاں پر خوش لگ رہا تھا.	positivity	ur
شکل سے گزرتے ہوئے، وہ خشک اور واقعی بے ذائقہ تھے۔	شکل کے علاوہ، وہ نم اور سوادج تھے.	positivity	ur
ایسوسی ایٹس پروگرام کی اب کوئی ضرورت نہیں ہے۔	ایسوسی ایٹس پروگرام اب بھی ایک آپشن ہو سکتا ہے۔	positivity	ur
سجاوٹ کی شدید کمی تھی.	سجاوٹ اچھی تھی.	positivity	ur
بہرحال، ہمیں اپنی کافی مل گئی اور ہم اس مقام پر واپس نہیں جائیں گے۔	ہمارے پاس کافی ہے اور ہم واپس جانے کے بارے میں سوچیں گے۔	positivity	ur
یہاں کے سیلز لوگ خوفناک ہیں۔	سیلز لوگ بہت اچھے ہیں.	positivity	ur
سالسا گرم یا اچھا نہیں ہے.	سالسا گرم اور اچھا ہے.	positivity	ur
اس لیے میں نے کارڈ کی واپسی کے لیے کہا۔	لہذا، میں کارڈ کے لئے ادائیگی کرنے کے لئے خوش تھا.	positivity	ur
مجھے ابھی ان سے ڈیلیوری آرڈر ملا ہے اور بنیادی طور پر اپنے پیسے ضائع کر دیے ہیں۔	مجھے ان کی طرف سے ڈیلیوری آرڈر ملا اور یہ واضح طور پر پیسے کا ضیاع نہیں تھا۔	positivity	ur
میں اسے اپنے ساتھ مزید کچھ کرنے نہیں دوں گا۔	میں اسے مستقبل میں اپنے لیے مزید کام کرنے دوں گا۔	positivity	ur
اس نے جو کچھ کیا وہ مجھے ادھر ادھر بھاگنا تھا اور جھوٹ بولا اور سب کچھ تھا۔	وہ بہت آگے تھی اور مجھے سب کچھ بتاتی تھی۔	positivity	ur
پھلیاں چاول میں گڑ میں تھیں کہیں نہیں مل رہی تھیں۔	پھلیاں بورو میں تھیں اور چاول بہت زیادہ تھے۔	positivity	ur
انہوں نے مجھ سے فائدہ اٹھانے کی کوشش کی کیونکہ میں جوان ہوں۔	وہ بہت انصاف پسند تھے اور میری بہت عزت کرتے تھے جب سے میں بہت چھوٹا ہوں۔	positivity	ur
