positive	negative	style_type	language
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	simplicity	ja
京都には訪れる場所がたくさんあります。	京都には訪れる場所がたくさんあります。	simplicity	ja
すぐに返事を書いてください。	すぐに返事を書いてください。	simplicity	ja
君は見事にやってのけた。	あなたはすばらしくやり通した。	simplicity	ja
彼らはついに私たちの提案に同意した。	彼らはついに私たちの提案に賛成した。	simplicity	ja
誰もその冗談がわからなかった。	誰もその冗談がわからなかった。	simplicity	ja
今日、小テストがありました。	今日、ちょっとした試験がありました。	simplicity	ja
今日はずっと具合いい。	今日はずっと具合いい。	simplicity	ja
部屋代は高いが、その他の点ではその部屋は申し分ない。	部屋の価格は高いが、その他の点ではその部屋は言うことがない。	simplicity	ja
私は彼女に謎かけをしてみた。	私は彼女に不思議な質問をしてみた。	simplicity	ja
右側にある建物は学校だ。	見て右にある建物は学校だ。	simplicity	ja
私のやり方が気にいらないなら、自分の好きなようにしなさい。	私のやり方が気に入らないなら、自分の好きなようにしなさい。	simplicity	ja
僕のクラスにも田中という名前の人がいる。	僕のクラスにも田中と言う名前の人がいる。	simplicity	ja
多くの天文学者は、宇宙は永遠に膨張し続けると思っている。	多くの星などを観察し研究する者は、宇宙はいつまでも広がって大きくなり続けると思っている。	simplicity	ja
笑わずにいられないよ。	笑わずにいられないよ。	simplicity	ja
家の庭に花はほとんど見られません。	家の庭に花はほとんど見られません。	simplicity	ja
彼はたやすく彼女の家を探すことが出来た。	彼は簡単に彼女の家を探すことができた。	simplicity	ja
彼は非常に年をとっているが元気だ。	彼は非常に年をとっているが元気だ。	simplicity	ja
才能ある者を抑えておくことはできない。	能力ある人を維持し続けることはできない。	simplicity	ja
私は留学することを決めた。	私は外国で勉強することを決めた。	simplicity	ja
昨晩は家にいましたか。	昨日の夜は家にいましたか。	simplicity	ja
缶詰の食料は彼女のお気に召さない。	彼女は、保存されていた食べ物は気に入らない。	simplicity	ja
いや結構です。たくさんいただきました。	いや必要ありません。たくさんもらいました。	simplicity	ja
人を馬鹿にするな。	人を馬鹿にするな。	simplicity	ja
彼は妻に離婚しないでくれと説得した。	彼は妻に別れないでくれと話した。	simplicity	ja
私たちの出会いはまったくの偶然でした。	私たちの会ったことは全く想像できないことだった。	simplicity	ja
私は見たとたんに彼女だと解った。	私は見た瞬間に彼女だとわかった。	simplicity	ja
私たちは今晩食事に呼ばれました。	私たちは今日の夜食事に呼ばれました。	simplicity	ja
彼は何を追っているのですか。	彼は何を追っているのですか。	simplicity	ja
１時限は何の授業ですか。	１時間目は何の授業ですか。	simplicity	ja
私は要点をはずさない。	私は大事な部分をしっかりとついている。	simplicity	ja
私は健とビルと由美を招待した。	私は健とビルと由美を呼んだ。	simplicity	ja
彼は重大な間違いを起こした。	彼は大変な間違いを起こした。	simplicity	ja
この製品は美しく仕上がっている。	この品は美しく出来ている。	simplicity	ja
私はいつも適度なスピードで運転しています。	私はいつもちょうどよい速さで運転しています。	simplicity	ja
京都はいかがですか。	日本の宗教と観光の都市の今はどうでしょうか。	simplicity	ja
３．電話をかけても、アナウンス等に従って操作したりせず、すぐに切ること。	３．電話をかけても、声に従って何かしたりせず、すぐに切ること。	simplicity	ja
私は週末はテニスをして楽しんだ。	私は土日はテニスをして楽しんだ。	simplicity	ja
彼は明日忙しいでしょう。	彼は明日忙しいでしょう。	simplicity	ja
私は毎朝六時に起きます。	私は毎日の朝６時に起きます。	simplicity	ja
君の電話番号を忘れた。	あなたの電話番号を忘れた。	simplicity	ja
荷物を置く場所を空けてくれ。	荷物をおく場所を確保してくれ。	simplicity	ja
彼女は母親を喜ばせたかった。	彼女は母を喜ばせたかった。	simplicity	ja
彼の話は彼女の涙をさそった。	彼の話は彼女の涙を呼んだ。	simplicity	ja
最近この仕事にかかりきりです。	最近この仕事だけに取り組んでいます。	simplicity	ja
食欲なんてありません。	食べたい気持ちなんてありません。	simplicity	ja
先生は授業の始めに出席をとった。	先生は授業の最初に誰がいるか確認した。	simplicity	ja
しばらく考えてみたいので時間をください。	しばらく考えてみたいので時間をください。	simplicity	ja
私たちは知らせを聞いてひどく驚いた。	私たちは知らせを聞いてひどく驚いた。	simplicity	ja
今は私達が彼を最も必要とする時です。	今は私たちが彼を最も必要とする時です。	simplicity	ja
僕たちの話の邪魔をするなよ。	僕たちの話の邪魔をするなよ。	simplicity	ja
早く出かけさえすればよい席がとれる。	早く行きさえすれば、よい席を取ることができる。	simplicity	ja
彼は昨日手術を受けた。	彼は昨日手術を受けた。	simplicity	ja
彼がうそをついたはずがない。	彼が本当ではないことを言うはずがない。	simplicity	ja
私の意見は彼のと似ている。	私の意見は彼のと似ている。	simplicity	ja
彼は読み切れないほどたくさん本を持っている。	彼は読むことができないほどたくさん本を持っている。	simplicity	ja
今度来た先生は、先生というより友達みたいだ。	今度来た先生は、先生と言うより友達みたいだ。	simplicity	ja
タクシーが到着した。	タクシーが着いた。	simplicity	ja
今のところはすべきことはない。	今のところはするべきことはない。	simplicity	ja
彼は激しく逮捕に反抗した。	彼は激しく捕まえられることに反対した。	simplicity	ja
行動は言葉よりも雄弁に語る。	行動は言葉よりもはっきり語る。	simplicity	ja
彼女の後でそれを読みなさい。	彼女の後でそれを読みなさい。	simplicity	ja
彼は手を差し伸べ、私はそれを握った。	彼は私の方に手を伸ばしてきたので、私は彼の手を持った。	simplicity	ja
これはかなり良く練られた計画だったね。	これはかなりよい計画だったね。	simplicity	ja
僕のそばに立たないでくれよ。	僕のそばに立たないでくれよ。	simplicity	ja
私はポピュラー音楽には満足していない。	私は一般に広く知られている音楽には満足していない。	simplicity	ja
あなたはもっとたくさんの野菜を食べるといいですよ。	あなたはもっと多くの野菜を食べるといいですよ。	simplicity	ja
その車はきみのお父さんによって洗われたのでしょうか。	その車はあなたのお父さんが洗ったのでしょうか。	simplicity	ja
あの小説は広く読まれました。	あの小説は広く読まれました。	simplicity	ja
私もそういうのが欲しいです。	私もそんなのが欲しいです。	simplicity	ja
お年寄りには親切にしなければなりません。	年齢が高い人には親切にしなければなりません。	simplicity	ja
彼は騒音にぎょっとした。	彼はうるさい音に驚いた。	simplicity	ja
彼はできる限り早くはしりました。	彼はできる限り早く走りました。	simplicity	ja
私が君のところへ行くよ。	私があなたのところへ行くよ。	simplicity	ja
その問題を解くのはやさしい。	その問題を解くのは簡単。	simplicity	ja
私にあれこれ指図するのは、やめてください。	私にいろいろと命令するのは、やめてください。	simplicity	ja
カップルは写真のためにポーズをとった。	恋をしている二人は写真のために意識して手や足などを動かして一定の形を取った。	simplicity	ja
君にできるのは待つことだけだ。	あなたにできるのは待つことだけだ。	simplicity	ja
あなたは徹底した人間嫌いですね。	あなたは本当に人間が嫌いなのですね。	simplicity	ja
彼は今日の午後もテニスをするだろう。	彼は今日の午後もテニスをするだろう。	simplicity	ja
コップには水が少し残っている。	コップには水が少し残っている。	simplicity	ja
火のないところに煙は立たず。	火のないところに煙は立たず。	simplicity	ja
その療法は少し痛むのでしょうか。	その治療法は少し痛いのでしょうか。	simplicity	ja
彼は緻密に立てた計画を実行した。	彼は詳しく立てた計画を実行した。	simplicity	ja
彼はその質問に当惑した。	彼はその質問に困った。	simplicity	ja
この探検には、お金がかかる。	この調査には、お金がかかる。	simplicity	ja
彼女は誰にも劣らずよく働く。	彼女は誰にも負けないくらいよく働く。	simplicity	ja
ロイは両親を出迎えるのに空港に急ぐ必要はなかったのに。	ロイは父と母を迎えるのに空港に急ぐ必要はなかったのに。	simplicity	ja
