anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
кошмар, руки бы оторвать. придурки .:o	ужасно!	Был о якутах лучшего мнение, а оказалось это какие-то дикие чурки. Возможно, тюрская кровь культура играет свою роль. Буряты якуты.	Был о якутах лучшего мнения. Возможно, тюрская кровь культура играет свою роль. Буряты якуты.	1	toxic	ru
не хуй руку поднимать на благородное создание, а сам он животное.	Не надо руку поднимать на благородное создание, а сам он нехороший человек	пишешь ни о чем, лишь говна плеснуть!	Пишешь ни о чем, лишь бы масла в огонь прыснуть	1	toxic	ru
ну долбоёб нахрена таких вообще на застолье приглашать	Зачем вообще таких на застолье приглашать.	из подтишька по мышачи умеют пидоры бить.	из подтишка умеют бить	1	toxic	ru
Пруфы засирания тредов , к примеру	доказательства оскорбления тредов, к примеру	Они смешные и милые унтерки, а Стас как гоблин из падика себя ведёт и тем отталкивает	Они смешные и милые, а Стас ведёт себя не достойно и тем отталкивает.	1	toxic	ru
эти пидарасы бы ловили преступников, как и дед сказал	Эти господа ловили бы преступников, как и дед сказал	не голосуйте за них,всю страну распродали,уроды	Не голосуйте за них, всю страну распродали	1	toxic	ru
вы что хотите что бы ваши дети в будущем в дерьме жили?	вы что хотите что бы ваши дети в будущем в плохих условиях жили?	уебище, напишите нормально,вы,что не наши что-ли?	напишите нормально, вы, что не нашли что-ли?	1	toxic	ru
своё ебало подставляешь чтобы денег получить, смотри лица не хватит черт	Свое лицо подставляешь, что бы денег получить. Смотри может не получиться	твой рот ебал дело не в религии , кто вы если не запасные евреи и не кавказцы?	Дело не в религии ,кто вы если не евреи и не кавказцы?	1	toxic	ru
стоит ли так реагировать на очередного придурка?	Стоит ли так реагировать на человека не в себе?	это не современные девушки а ебанутые девушки. современные нормальные. не путайте хуй с гусиной шеей	Это не современные девушки. Современные нормальные. Не путайте.	1	toxic	ru
надоели эти пидарасы уже пора про них забыть	надоели эти люди уже пора про них забыть	норма, с и что здесь смешного?!, бля, дибилы	Что здесь смешного?	1	toxic	ru
только тебя долбоеба там нехватало.	Только тебя именно там не хватало	начни со сваих выблядко в	Начните с себя и своих детей.	1	toxic	ru
даааа, время идёт, а идиотов, все больше и больше.....	даааа, время идёт, а странных людей, все больше и больше.....	а свое мнение и мысли при себе держи мудило ебаное.	оставьте свои мысли при себе	1	toxic	ru
и что же ты тут делаешь и кого ищешь пиздоболка!!!!!! :d	и что же ты тут делаешь и кого ищешь !!!!! :d	чё ты пиздиш 90и уж не народ начал драку а мусара пытались разагнать митинг	Яе ты врешь 90и уж не народ начал драку а полиция пыталась разогнать митинг	1	toxic	ru
веселись сегодня ептить удручённый ты наш:-d	Веселись сегодня, удрученный ты наш)))	точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !	точно, нехороший человек, и это мягко сказано, уже в каждую спортивную передачу лезет, приходится искать каналы и репортажи без его присутствия и участия !	1	toxic	ru
эту тварь посадить на 12 тысяч и посмотрим паскуда	Посадить бы его на 12 тысяч и посмотреть как бы себя тогда повёл	кто-то же снимает понятно что взрослый это ему или ей по ебанику надо дать	Кто-то же снимает, понятно что взрослый, это его или ее нужно наказать	1	toxic	ru
заебалась , это ж надо так загнатся то ))) ну кому это нужно то все ? долбаны рукоблудники .	Устала, это-ж надо так загнаться то, ну кому это нужно то все?	мишустик ты бы пасть свою поганую закрыл	Мишустик ты бы замолчал	1	toxic	ru
в россии много проблем будет ,законы у нас ебанутые	в россии много проблем будет ,законы у нас такие	ну и дурак ! нужно россию присоеденнить к белорусии - лучщеб было !	Нужно Россию присоединить к Белорусии лучше бы было	1	toxic	ru
ещё открывает свой поганый , рабочий рот	Ещё открывает свой рот	с которым через час расстанешься и будешь трахаться с другими?	С которым через час расстанешься и встретишь другого?	1	toxic	ru
пиздуйте с хабаровска со всего дальнего востока.	Уходите с Хабаровска, со всего Дальнего Востока	о долбоёб проснулся иди на укол тебе чекають	Проснулся, иди на укол	1	toxic	ru
долбаеб путинский а где увлекательный рассказ про хабаровск...ха ха опять обкакался...	Где увлекательный рассказ про хабаровск	так с блядьми продажными и надобно поступать!	так с ними и надо поступать	1	toxic	ru
это какой засранец такую хуйню придумывает?	это какой человек такое придумывает	пидоры когда будем дышать чистым воздухом. адмистрация это к вам	когда мы будем дышать чистым воздухом. адмистрация это к вам	1	toxic	ru
то ,что у нас президент сволочь-клоун, виноват не народ, а та сволочь которая была президентом до него...	то ,что у нас президент ужасен и нелеп, виноват не народ, а та личность которая была президентом до него...	таких тварей только могила исправит.	Этих людей ничего не исправит	1	toxic	ru
их. действительно. убили. вопрос кто. это те. стремилы. которые увласти. пидарасты. все. которые. сидят в думе. проститутки	их. действительно. убили. вопрос кто. которые увласти.все. которые. сидят в думе.	за ер? прошу вколоться:d много ли за пидарков проголосуют, хотя фанатов в любой секте хватает	За ер? Много ли людей проголосуют, хотя фанатов в любой секте хватает	1	toxic	ru
этого пидора бесплатно выучили в ссср!	этого человека бесплатно выучили в ссср!	Уроды!! у нас в семье 3 поколения там родились	у нас в семье 3 поколения там родились	1	toxic	ru
