anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	O mais sensato é esquecer disso, e partir para outra.	O maissensato é esquecer e partir para outra.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Não serve para se concluir além disso	Não serve para se tirar conclusões além disso!	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Agora depende do que acontecerá.	agora depende do que acontecer.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Recuse-a, a fim de que ela se afaste!	DANDO UM FORA NELA PRA ELA SE TOCAR !	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Não fosse trágico, seria cômico!	KKKSE NÃO FOSSE TRÁGICO SERIA CÔMICO!!!	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Não tenho do que reclamar.	não tenho o que reclamar .	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Acho que consideram rapazes assim muito grudem tos e fáceis.	Acho q consideram caras assim muito grudentos e fáceis.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Passe a morar em São Paulo.	loirinho, mude pra sp!!	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Se te mandarem, manda para mim, dessa forma saberei se o Senna estava certo de comer aquela garota magra e que agora é gorda.	se te mandarem manda pra mim,ai vou ver se o senna tava certo de comer aqula magrela que agora é gordinha.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Aconselho a sempre manter suas amizades, caso estas gostam de fato da sua pessoa irão entender.	O meu conselho é: mantenha sempre suas amizades, se ela gostar mesmo de vc saberá entender.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Ai, como irmão que se preze, tem de caçoar, ele fica caçoando o rapaz.	Ai como irmão que se preza tem que zoar, ele fica zoando o cara.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Tudo é excelente.	é tudo muito bom.	formality	pt-br
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	Está muito gostoso.	hhuuuummmm DELÍCIAAAAAAAAA!!!!!!!!!	formality	pt-br
