positive	negative	style_type	language
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	formal	italian
Sono molto contento perché intrattengo una relazione sentimentale con la mia fidanzata Chiara.	Sono Felice perchè sto con Chiara il mio AMORE !	formal	italian
Tu conosci già la risposta.	!Diciamo che la risposta la sai tu.	formal	italian
In caso sia una vacanza arrabbiati pure, perlomeno avrebbe dovuto invitarti.	se è una vacanza incazzati pure perlomeno ti doveva invitare!!!!	formal	italian
In fondo al tuo cuore non avverti un po' di quel tenero amore che ti invoglia a farlo sbocciare un po'?	ma nel tuo cuore non senti un pò di quel tenero amore che ti invoglia a farlo maturare un pò.	formal	italian
Anche io mi preoccupo sempre non si accorgano mai di nulla.	Anche io mi sono sempre preoccupata che non si accorgessero mai di nulla!!!	formal	italian
Gradiremmo meno sciocchezze e più serietà.	Gradiremmo meno ciozzamento e un po' più di serietà.	formal	italian
Ho riferito al mio ragazzo che a causa suo ho perso tutti i miei amici, anche se non era veramente causa sua.	quando ho detto al mio ragazzo che per colpa sua ho perso tutti i miei amici anche se la colpa non era sua	formal	italian
Nel caso in cui una persona dica che l'amore non esiste, è solo perché essa non ha mai incontrato la persona adatta per farle provare il suddetto sentimento.	Se una persona dice che l'amore non esiste è solo perchè non ha mai incontrato la persona giusta!	formal	italian
Si usa dire che il tempo sia galantuomo, perlomeno io mi rincuoro pensando questo.	Ma sai come si dice: il tempo è galantuomo, almeno io mi faccio forza pensando a questo.	formal	italian
Sarà normale fin quando, una volta adulta, le tue attenzioni si sposteranno sul tuo uomo.	Normale fino a quando,cresciuta, le tue attenzioni si sposteranno sul tuo lui!!!	formal	italian
Prosegua col compiere altre esperienze e vedrà che un cambiamento le porterà solo giovamento.	Continui con altre esperienze e vedrà che voltar pagina può farle solo bene.	formal	italian
Nonostante i tuoi 43 anni d'età, non sembri comprendere quel che ti sta attorno.	c'hai 43 anni e non capisci niente.	formal	italian
Se le piaci non rifiuterà il tuo corteggiamento, quindi falle capire che lei ti piace.	Se le piaci non rifiuterà il tuo corteggiamento qnd falle capire ke lei ti piace	formal	italian
Non è da molto che sono diventato ragazzo.	Non sono da molto un ragazzo.	formal	italian
Credo che i tacchi a spillo facciano la loro figura su delle belle gambe.	?i tacchi a spillo pero su delle belle gambe fanno la loro figura	formal	italian
Nel caso ti tradissero, rimane te stesso su cui contare.	Poi, se ti tradiranno,non importa, tu avrai sempre te stesso su cui contare.	formal	italian
Buongiorno, quella su E-Bay è molto bella.	!ciaoooooooquella su e-bay è troppo carina!!	formal	italian
Sono del parere di prendere questa decisione, anche alla luce della congiuntura economica.	Questa decisione la prenderei anche perché magari in quel momento nn sono nella situazione economica migliore o altro.	formal	italian
Io pensò ciò. Mi scuso, poiché è insensato.	!questo penso--scusa---non ha senso---	formal	italian
Dal lunedì al venerdì, rimango sul divano a vedere il primo quarto d'ora.	Da lunedì a venerdì, cercando di rimanere sveglia sul divano a guardare i primi 15 min.	formal	italian
Conosci i rischi.	Sai a che cosa vai incontro.	formal	italian
Necessiti di enorme pazienza e le fai male almeno all'inizio.	triboli e le fai male almeno all'inizio	formal	italian
