anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	завтра в хабаровске вдвшники будут разгонять быдло	Завтра в хабаровске вдвшники будут разгонять нарушителей	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.	Это старое фото, в середине мэр орши лисовский.	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............	А что рядом других мужчин не оказалось? Кто ему лицо на чистил? Вывод? Мужики к сожалению перевелись	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	хули вы бляди клянчите классы ,просто помните.	хватит выпрашивать классы, просто помните.	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	веселись сегодня ептить удручённый ты наш:-d	Веселись сегодня, удрученный ты наш)))	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	твари награждают себя. кто пойдет за них воевать. сам и путин.	Глупые награждают себя. кто пойдёт за них воевать. сам и путин.	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	мразота,больше ни хуя делать не умеют,кроме как обижать слабых и беззащитных	Больше ничего не умеют делать, кроме как обижать слабых и беззащитных	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	таких тварей только могила исправит.	Этих людей ничего не исправит	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	садисты. таких родителей необходимо найти и наказать, однозначно.	Таких родителей необходимо найти и наказать, однозначно.	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	Пруфы засирания тредов , к примеру	доказательства оскорбления тредов, к примеру	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	стоит ли уделять внимание каждому пидарасу	стоит ли уделять внимание каждому плохому человеку	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	мишустик ты бы пасть свою поганую закрыл	Мишустик ты бы замолчал	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	вы что хотите что бы ваши дети в будущем в дерьме жили?	вы что хотите что бы ваши дети в будущем в плохих условиях жили?	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	этих уродов надо всех сократить.	этих людей надо всех сократить.	toxicity	ru
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???))))	еврейское тв пересмотрел???	точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !	точно, нехороший человек, и это мягко сказано, уже в каждую спортивную передачу лезет, приходится искать каналы и репортажи без его присутствия и участия !	toxicity	ru
