positive	negative	style_type	language
ई छोटा हई आउ ओखनी तोरा अपरचित जइसन महसूस कराबऽ हथ।	ई छोटा हे फिर भी ओखनी तोरा अपन घर जइसन महसूस कराबऽ हथ।	simplicity	magahi
हम फिर से नऽ जइबई आउ इ खराब जगह में कस्ट सहबई!	हम फिर से जइबई आउ इ बढ़ीयाँ जगह के मजा लेबई!	simplicity	magahi
ड्रिंक महंगा आउ कम हलई।	ड्रिंक सस्ता आउ ठीक-ठाक मात्रा में हलई।	simplicity	magahi
हमर पति के रूबेन सैंडविच मिल्लई, उनका बढ़ियाँ नऽ लगलई।	हमर पति के रूबेन सैंडविच मिल्लई,उनका ई बड़ी बढ़ियाँ लगलई।	simplicity	magahi
हम ओखनी के ईमेल ला साइन अप कैलई आउ स्पैम आएल।	हम ओखनी के ईमेल ला साइन-अप कैलई आउ एगो कूपन पैली।	simplicity	magahi
हम जरूरी से ओखनी के मौका नऽ देबे के सिफारिस करबई।	हम जरूरी से ओखनी के एगो चांस देबे के सिफारिस करबई।	simplicity	magahi
हम ई एंड एम पेंटिंग नऽ खरीदे के सिफारिस करऽ हि।	हम ई एंड एम पेंटिंग के बड़ी सिफारिस करऽ हि।	simplicity	magahi
अन्यथा एगो भयानक अनुभौ आउ हमनी फिर से नऽ जाएम।	नऽ तऽ एगो सानदार अनुभौ रहल आउ हमनी फिर जाएम।	simplicity	magahi
पनीगर पेय,आउ खराब संगति।	बढ़ियाँ पेय,आउ बढ़ियाँ संगति।	simplicity	magahi
ओह हम अपन बैंड गीक अब कभी बापस नऽ पा सकऽ हे!	ओह हमर अपन बैंड गीक अब बापस मिल गेल हे!	simplicity	magahi
हम घबरायल हली आउ उ हमरा चिंतित आउ असहज महसूस करैलक ।	हम घबरायल हली लेकिन उ हमरा बड़ी आब-भगत आउ सहज महसूस करैलक।	simplicity	magahi
खाना के कोई सिफारिस नऽ, स्टेक आउ टूना दुनों बढ़ियाँ नऽ हल।	बढ़ियाँ खाना के सिफारिस, स्टेक आउ टूना दुनों बढ़ियाँ हल।	simplicity	magahi
सब कुछ बड़ी बासी आउ बेसबाद हल।	ओखनी के छोटका कौलजोन सही में तनी गो हई!	simplicity	magahi
बिस्कुट आउ झोर बेसबाद हलई।	बिस्कुट आउ झोर बढ़ियाँ हलई।	simplicity	magahi
हम अगला साल बापस नऽ ऐति हल !	हम सचमुच इंतजार कर सकऽ हि अगला साल बापस आबे ला!	simplicity	magahi
ओखनी के बड़ी मददगार, दयालु आउ सही दाम बला होबे के चाहऽ हई।	ओखनी बड़ी मददगार, दयालु हलन आउ सही दाम रखले हलन।	simplicity	magahi
हे भगवान, हम सही में पेई वेई पसंद नऽ करी।	भगबान, हमरा पेई बेई बड़ी पसंद हे।	simplicity	magahi
लोग मिलनसार नऽ हलन ,बेगल्स बढ़ियाँ नऽ हल,आउ क्रीम चीज सबादिस्ट नऽ हल।	मिलनसार लोग,सबादिस्ट परमानिक बेगल्स,सबादिस्ट क्रीम चीज	simplicity	magahi
जब तू उहाँ पहुचमें तू देखमें हम ई काहे नऽ पसंद कर हि।	हम काहे एकरा पसंद करऽ हि तू ई देखबऽ जब उहाँ एकबार पहुचबऽ।	simplicity	magahi
हम जेकरा से भी बात कैलि उ सब मददगार आउ दयालु नऽ हल।	जेकरा से भी हम बात कैलि उ सब बड़ी मददगार आउ दयालु हलन।	simplicity	magahi
अलग-अलग तरह के सुसी रोल बड़ी कम हे।	अलग-अलग तरह के सुसी रोल खाना के अच्छा बनाबऽ हे।	simplicity	magahi
आउ सब अनुभौ बेकार रहल।	आउ सब अनुभौ सकारात्मक रहल।	simplicity	magahi
स्टीब बिल्कुल पेसेबर नऽ हलन आउ सही यूनिट नऽ पैलन हमनी जोरे सामील होबे ला ।	स्टीब पेसेबर हलन आउ उनका हमनी जोरे सामील होबे ला एकदम सही यूनिट मिलल।	simplicity	magahi
ई गोल्फ क्लब हमर राय में सबसे खराब में से एक हे ।	हमर राय में ई गोल्फ क्लब सबसे बढ़ियाँ में से एक हे।	simplicity	magahi
कम पढल-लिखल दाँत के डाक्टर आउ कर्मचारी!	बढ़ियाँ जानकार दाँत के डाक्टर आउ कर्मचारी!	simplicity	magahi
