positive	negative	style_type	language
"Tantantadruj pa je skočil k njemu in ga milo zaprosil: ""Tantantadruj, zapoj, Peregin, zapoj!"""	Tantadruj je Peregrina prosil, naj zapoje.	simplicity	Slovene
Ker se kamenje ni več udiralo, so vojaki prišli nazaj in en vojak je oprezno pristopil k na tleh ležečemu in ga na hitro ustrelil v glavo.	Stopil je k zvezanemu možu in ga ustrelil v glavo.	simplicity	Slovene
Mirno sva vzela slovo, a Margareta skoraj govoriti ni mogla in kakor lešniki debele solze so ji prihajale iz očesa.	Margareta se je jokala.	simplicity	Slovene
Povedala mi je še enkrat, da bo čakala name in da me morda le pričaka.	Rekla je, da hoče samo mene.	simplicity	Slovene
Če ste kdaj šli v zavod, ste skoraj gotovo naleteli na negibno postavo moža, ki je pritiskal na zvonec.	V zavodu je živel mož, ki je zvonil.	simplicity	Slovene
Splošno se je mislilo, da nimam nič, in mestni sodnik se je že bal, da bom padel občini v breme.	Nihče ni vedel, da skrivam veliko denarja.	simplicity	Slovene
"""Čuj, no, deček,"" je rekel Tom, ""saj je prav, da si tako dober fant in pomagaš možu, da more k večerji."""	Tom je rekel Jakcu: Prav je, da pomagaš možu. Zdaj lahko hodi k večerji.	simplicity	Slovene
Ti mi boš sadje pojedal, lenoba lenobasta!«	Razjezil se je: Ti ne boš jedel mojega sadja. Lenoba lena.	simplicity	Slovene
"""Vzemi kost, pa božorno-boserna!"" je tako nenadoma in tako glasno zagrmel Luka, da se je Tantantadruj stresel in se nehote ubogljivo sklonil nad skledo."	Tantadruj se je usedel k njim.	simplicity	Slovene
Ko so vse obrali, so vstali, se pretegnili in odšli.	Ko so moški obrali vse kosti, so vstali in šli.	simplicity	Slovene
Hodile so mimo vaške ženice.	Mimo so hodile vaške ženice.	simplicity	Slovene
»Hoj, Dušane!« je zavpil klatežu.	Ciganu je bilo ime Dušan.	simplicity	Slovene
Mož ni bil nikdar preveč bistre pameti, toda zakaj se mu je zares zmešalo, ni nihče vedel.	Nekoč je znorel.	simplicity	Slovene
"""Zdaj pa pojdi z mano!"" je rekel Tantantadruju."	Tantadruja je povabil v gostilno.	simplicity	Slovene
Z Lukežem sva morala istotako v gorenjo hišo in vsako noč smo imeli pri rokah nabito mušketo in nabite pištole.	Pripravili smo pištole.	simplicity	Slovene
Vrgel je z mize velikansko lončeno skledo repe in krompirja ter začel divje skakati, kakor bi pobijal zmaja.	Skledo z repo in s krompirjem je vrgel na tla. Divje je skakal.	simplicity	Slovene
Vestru, ki je prižet na vrh stolpa vse to opazoval, se je čudno zdelo, da zdaj vsi ljudje vpijejo samo nemško.	Čudno se mu je zdelo, da vsi ti ljudje govorijo drugačen jezik.	simplicity	Slovene
Sv. Florijana dan po jedi sem govoril z bratom ter mu povedal, da mi je izpolniti očetovo voljo in da se moram zaradi tega podati na dolgo pot v nemške dežele.	Kot sem obljubil očetu, sem šel v nemške dežele.	simplicity	Slovene
Nihče se ni menil za njega.	Za njega se ni menil nihče.	simplicity	Slovene
Njeni prostori so v celoti dostopni tudi osebam na invalidskih vozičkih, saj je v notranjem atriju, do katerega je dostop urejen z dvižno ploščadjo, nameščeno dvigalo.	Ima dvižno ploščad in dvigalo. Ljudje na invalidskih vozičkih lahko zato brez težav pridejo vanjo.	simplicity	Slovene
Ko je Jakec stal na zaboju in zvonil, se je domislil: kako bi skrivaj, tako da blaznik ne bi vedel, preizkusil konjiča, kateri ima hitrejša kolesca. Če bi mogel izbrati hitrejšega, bi prišel potem pri tekmi njegov konj prvi na cilj.	Ko je zvonil, je pomislil: Na skrivaj bom poskusil, kateri konj je hitrejši.	simplicity	Slovene
"""Tantantadruj, samo zasut!"" je brezupno zastokal norček."	Tantadruj je bil žalosten.	simplicity	Slovene
Ko sem zavitek odvil, tičal je v njem kos pogače, a zavit je bil v facoletelček, kakor ga dajejo, posnemavši laško navado, neveste svojim ženinom.	Zvitek je kos pogače, zavit v robec. Tako darilo dajo neveste svojim ženinom.	simplicity	Slovene
Peregrin je izginil v vrvežu.	Potem je Peregrin odšel.	simplicity	Slovene
Krstili so ga za Peregrina, ker so ga našli na dan tega svetnika, in rekli so mu Najdeni, ker je bil najdenček.	Ljudje so mu dali ime Najdeni Peregrin. Najdeni so mu rekli zato, ker so ga našli. Peregrin so mu rekli zato, ker so ga našli na dan svetega Peregrina.	simplicity	Slovene
Dve težki prašičji gnjati in pogačo vzameta s sabo, da ne prideta praznih rok k Jeremiji Wulffingu.	Za darilo sva jim nesla meso in potico.	simplicity	Slovene
Vester je zlezel na stolp vsak dan in strmel v trg, ki je imel še vedno svojo svečano podobo.	Vester je vsak dan zlezel na stolp.	simplicity	Slovene
Jakec je potrpežljivo čakal, da se bo mož naveličal zvoniti.	Jakec je mirno čakal, da se je mož naveličal zvoniti.	simplicity	Slovene
Ti stari Kapulet in Monteg že tretjikrat je danes spor meščanski, porojen iz besede nebrzdane, kalil prijazni mir veronskih cest.	Kriva sta vidva, Kapulet in Monteg.	simplicity	Slovene
