positive	negative	style_type	language
Mittelalterliche Bildquellen zeigen sowohl glattrasierte Kleriker als auch solche mit Vollbärten.	Auf mittelalterlichen Bildern sieht man Geistliche mit und ohne Vollbart. 	simplicity	German
Premierminister David Lloyd George honorierte diesen wichtigen Beitrag, indem er 1917 mit den Premierministern der Dominions das Reichskriegskabinett (Imperial War Cabinet) bildete, um die gemeinsamen Anstrengungen zu koordinieren.	Premierminister David Lloyd George belohnte diesen wichtigen Beitrag. Er gründete 1917 zusammen mit den Premierministern der Dominions das Reichskriegskabinett. Dort wurden die gemeinsamen Bemühungen koordiniert.	simplicity	German
Verschiedene Effekte sorgen jedoch dafür, dass mit steigenden Temperaturen und wachsendem atmosphärischem CO2-Anteil die Aufnahmefähigkeit der Meere für Kohlenstoff abnimmt.	Bei steigender Temperaturen und steigendem Co2-Anteil in der Athmosphäre nimmt die Aufnahmefähigkeit der Meere für CO2 jedoch ab. 	simplicity	German
Laut dem vom Arktischen Rat in Auftrag gegebenen Arctic Climate Impact Assessment wird in zahlreichen polaren Gebieten die Artenvielfalt zunehmen, weil im Zuge der Erwärmung neue Arten in die Arktis einwandern werden und die Gesamtzahl der Arten und deren Produktivität zunehmen wird.	Laut dem Arctic Climate Impact Assessment, das vom Arktischen Rat in Auftrag gegebenen wurde, wird in zahlreichen polaren Gebieten die Artenvielfalt zunehmen. Grund hier ist, dass im Zuge der Erwärmung neue Arten in die Arktis einwandern werden und die Gesamtzahl der Arten und deren Produktivität zunehmen wird.	simplicity	German
Bei der Wiedergabe wird die Abtastspitze eines Tonabnehmers entsprechend ausgelenkt.	Die Abtastspitze des Tonabnehmers wird durch die Rille geführt und bewegt sich hin und her.	simplicity	German
Bei einem Klimawandel können sich sowohl Lufttemperaturen als auch der Niederschlag in Form von Schnee verändern und damit die Massenbilanz verschieben.	Bei einem Klimawandel können sich die Temperatur der Luft und der Niederschlag verändern. Damit kann sich der Unterschied zwischen Zufluss und Masseverlust von Gletschern verschieben.	simplicity	German
Bei den Mönchsorden regelten genaue Vorschriften die Benutzung und Verwahrung der verwendeten Rasiermesser.	Bei den Mönchsorden gab es genaue Vorschriften. So wurde genau geregelt, wie Rasiermesser benutzt und verwahrt werden sollten.	simplicity	German
Teile davon wurden über geologische Zeiträume durch Druck späterer Schichten zu Metamorphen Gesteinen wie Quarzit, Tonschiefer sowie kristallinem Kalkstein (Marmor) und Dolomit umgewandelt.	Teile davon wurden über lange Zeit durch den Druck späterer Schichten zu Gesteinen umgewandelt. Diese Gesteine sind zum Beispiel Quarzit, Tonschiefer, kristalliner Kalkstein (Marmor) und Dolomit.	simplicity	German
Als Gründe dafür, dass Väter ihre Arbeitszeit relativ selten für die Familienarbeit reduzieren, werden u. a. finanzielle Nachteile aufgrund von Gehaltsunterschieden zwischen Männern und Frauen, fehlende Teilzeitstellen für höhere Positionen sowie eine Profitorientierung der Konzerne, die auf familiäre Bedürfnisse der Angestellten keine Rücksicht nehme, genannt.	"Väter reduzieren ihre Arbeitszeit relativ selten für die Familienarbeit. Das kann verschiedene Gründe haben. _x000D_
- Sie fürchten finanzielle Nachteile aufgrund von Gehaltsunterschieden zwischen Männern und Frauen_x000D_
- es gibt keine Teilzeitstellen für höhere Positionen_x000D_
- Konzerne nehmen auf familiäre Bedürfnisse der Angestellten keine Rücksicht, da sie profitorientiert organisiert sind"	simplicity	German
Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.	Der Fahrer hält sich mit leichte Lenken im Gleichgewicht.	simplicity	German
Im Hauptfach Soziologie wurde er von Walter P. Chivers in die Problematik der Rassentrennung eingeführt; bei George D. Kelsey, dem Leiter der „School of Religion“, hörte er von Mahatma Gandhis gewaltfreiem Widerstand.	"Sein Hauptfach war Soziologie. In die Problematik der Rassentrennuung führte ihn Walter C. Chievers ein. Bei dem Leiter der ""School of Religion"" George D. Kelsey hörte er von Mahatma Gandhis gewaltfreiem Widerstand."	simplicity	German
Der erste namentlich nachgewiesene Vorfahre Albert Einsteins, ein aus dem Bodenseeraum stammender Pferde- und Tuchhändler namens Baruch Moses Ainstein, wurde im 17. Jahrhundert in die Gemeinde aufgenommen.	Der erste Vorfahre von Albert Einstein wurde im 17. Jahrhundert in die Gemeinde aufgenommen. Er hieß Baruch Moses Ainstein und war ein Pferde- und Tuchhändler. Er stammte aus dem Boodenseeraum.	simplicity	German
Teilweise vertreten verschiedene gesellschaftliche Gruppen jeweils den Standpunkt der Wahlfreiheit, allerdings mit unterschiedlicher Gewichtung: Die eine Seite hebt die Möglichkeit zur Erwerbsarbeit auch mit Kindern hervor, die andere betont die Freiheit, auch die traditionelle Familienform zu wählen.	Verschiedene gesellschaftliche Gruppen sind für die Wahlfreiheit. Allerdings möchte die eine Gruppe, dass es auch möglich ist zu arbeiten, wenn man Kinder hat. Und die andere Gruppe findet es wichtig, dass man auch traditionelle Familienformen wählen kann. 	simplicity	German
In den Tieflagen liegen Zungenbeckenseen, im höheren Gelände handelt es sich um Karseen.	In den Tälern liegen Seen, die man Zungenbeckenseen nennt. In den höheren Gegenden sind Seen, die man Karseen nennt.	simplicity	German
In der Schule war er ein aufgeweckter, bisweilen gar aufrührerischer Schüler.	In der Schule war er ein aufgeweckter Schüler. Manchmal war er etwas frech.	simplicity	German
In den folgenden Monaten entwickelte Berliner in Zusammenarbeit mit dem Techniker Werner Suess sein Verfahren weiter, indem er das rußbeschichtete Glas durch eine mit Wachs überzogene Zink- oder Kupferplatte ersetzte.	In den folgenden Monaten entwickelte Berliner gemeinsam mit dem Techniker Werner Suess sein Verfahren weiter. Das mit Ruß beschichtete Glas wurde ersetzt durch eine mit Wachs überzogene Platte aus Zink oder Kupfer.	simplicity	German
Ein Spielwürfel, umgangssprachlich einfach (wie auch ursprünglich) Würfel (von althochdeutsch wurfil: verwandt mit Wurf und werfen[1]), ist ein Gegenstand, der nach einem Wurf auf einer waagerechten Ebene eine von mehreren unterscheidbaren stabilen Ruhelagen einnimmt und in vielen Spielen zum Erzeugen eines zufälligen Symbols (oft einer Zufallszahl) dient.	Ein Spielwürfel ist ein Gegenstand, der nach einem Wurf auf einer geraden Fläche in einer von mehreren Positionen liegen bleibt. Spielwürfel (oder auch Würfel) werden in vielen Spielen benutzt, um ein zufälliges Symbol oder eine Zahl zu erhalten.	simplicity	German
Zuverlässige und instrumentell ermittelte Temperatur- und Klimadaten stehen auf breiterer Basis erst seit der zweiten Hälfte des 19. Jahrhunderts zur Verfügung.	Gemessene Temperatur- und Klimadaten gibt es erst seit der zweiten Hälfte des 19. Jahrhunderts.	simplicity	German
Die mit Abstand meistverbreiteten Spielwürfel sind jene mit den Ziffern 1 bis 6 oder entsprechend vielen Punkten, den Augen, beschriftete Kuben oder Hexaeder.	Die meisten Spielwürfel haben Ziffern (1 bis 6) oder entsprechend viele Punkte, auch Augen genannt. Die Ziffern oder Punkte befinden sich auf einem normalen Würfel (Kubus) oder einem sechsflächigen Würfel (Hexaeder).	simplicity	German
Bald danach – zum 1. Januar 1995 – traten mit Österreich, Schweden und Finnland nach zügigen Beitrittsverhandlungen drei Staaten der EU bei, die bis zum Ende der Ost-West-Konfrontation durch ihre strikte Neutralitätspolitik daran gehindert waren.	Zum 1. Januar 1995 traten Österreich, Schweden und Finnland in die EU ein. Die Beitrittsverhandlungen dauerten nicht lange. Vor dem Ende der Ost-West-Konfrontation konnten sie nicht in die EU eintreten, weil ihre Politik neutral war.	simplicity	German
Diese Erwartung wird im Zusammenhang mit der hohen Scheidungsrate, den sich ändernden Regelungen zum Unterhalt und der Diskussion um eventuelle Änderungen der Witwen-/Witwerrente in verstärktem Maß auch von der Gesellschaft an sie herangetragen.	Diese Erwartung wird noch durch die Gesellschaft verstärkt, da immer mehr Ehen geschieden werden und die Regelungen zum Unterhalt geändert wurden. Außerdem erhöht sich der Erwartungsdruck durch die Diskussion um die Änderungen der Witwen-/Witwerrente.	simplicity	German
Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.	Die Dicke der Seifenblase lässt sich beobachten: Wenn die Oberfläche in bunten Farben spiegelt, dann ist die Schicht so Dick wie die Wellenlänge des Lichts,	simplicity	German
Der Matrosenaufstand begann auf Schillig-Reede vor Wilhelmshaven, wo die deutsche Hochseeflotte in Erwartung der geplanten Seeschlacht vor Anker gegangen war.	Der Matrosenaufstand begann vor Wilhelmshaven, auf Schilling-Reede. Dort lag die deutsche Hochseeflotte vor Anker und erwartete die Geplante Seeschlacht.	simplicity	German
Um laute Aufprallgeräusche und ein Wegrollen der Würfel zu vermeiden, wird manchmal ein gepolstertes und berandetes Brett (Würfelbrett oder Würfelteller genannt) eingesetzt.	Damit die Würfel nicht laut aufprallen und wegrollen wird manchmal ein gepolstertes Brett mit Rand eingesetzt. Dieses Brett nennt man Würfelbrett oder Würfelteller.	simplicity	German
Zudem waren sie überzeugt, im Sinne der neuen Regierung zu handeln, die Friedensverhandlungen mit der Entente anstrebte.	Sie waren außerdem überzeugt im Sinne der neuen Regierung zu handeln. Diese strebte Friedensverhandlungen mit der Entente an. Das waren die Länder, die am Ersten Weltkrieg beteiligt waren.	simplicity	German
Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).	Es gab kein bestimmtes Bauschema. Man findet Räume mit 10-22 Wannen oder Sitzwannen. Die Wannen waren rechteckig oder kreisbogen-förmig angeordnet.	simplicity	German
Für die Meeresspiegelerhöhung werden im Wesentlichen zwei Faktoren verantwortlich gemacht: Zum einen dehnt sich das Meerwasser bei höheren Temperaturen stärker aus, zum anderen kommt es bei höheren Temperaturen zum verstärkten Abschmelzen von Gletschern (siehe unten).	Für die Erhöhung vom Meeresstand gibt es zwei Gründe: Erstens dehnt sich Meerwasser bei höheren Temperaturen aus. Zweitens schmelzen bei höheren Temperaturen Teile von Gletschern.	simplicity	German
Diese vollständige Wiederverwertung ist Basis der Subsistenzwirtschaft.	Diese vollständige Wiederverwertung ist Grundlage für eine Wirtschaft, die auf Selbstversorgung setzt (Substinenzwirtschaft).	simplicity	German
Zwischen 1895 und 1901 nahm Churchill als aktiver Soldat und Kriegsberichterstatter an fünf verschiedenen Kolonialkriegen teil, unter anderem in Kuba auf Seiten der Spanier während des dortigen Unabhängigkeitskrieges und in verschiedenen Teilen des Empire, etwa in Malakand in der Nordwestlichen Grenzprovinz Britisch-Indiens.	Zwischen 1895 und 1901 nahm Churchill als aktiver Soldat und Kriegsberichterstatter an fünf verschiedenen Kolonialkriegen teil. Unter anderem kämpfte und arbeitete er in Kuba auf der Seite der Spanier während des dortigen Unabhängigkeitskrieges. Außerdem war er in verschiedenen Teilen des Empire, etwa in Malakandin der Nordwestlichen Grenzprovinz Britisch-Indiens aktiv beteiligt.	simplicity	German
Als Geschäftsmann sah auch er in der umständlichen – und damit teuren – Vervielfältigung der Walzen den entscheidenden Schwachpunkt des Phonographen und verwendete seine Zeit und Mühe vorrangig auf die Lösung dieses Problems.	Er sah auch in der schwierigen und teuren Herstellung der Walzen einen wichtigen Schwachpunkt des Phonographen. Ein Phonograph ist eine Maschine zum Abspielen von Musik von Walzen. Er verwendete seine Zeit und Mühe vor allem auf die Lösung dieses Problems.	simplicity	German
Die Klimamodelle beschreiben derzeit auf globaler Ebene die Folgen recht gut, können diese jedoch auf regionaler Ebene nur recht unsicher abschätzen.	Die Klima-Modelle beschreiben derzeit auf globaler Ebene die Folgen recht gut. Sie können die Folgen aber für einzelne Regionen nur sehr unsicher abschätzen.	simplicity	German
Demzufolge wird das Parlament gemeinsam mit dem Rat als Gesetzgeber tätig, übt gemeinsam mit ihm die Haushaltsbefugnisse aus und nimmt die politische Kontrolle wahr.	Das Europäische Parlament und der Rat sind als Gesetzgeber tätig. Gemeinsamen üben sie Haushalt-Befugnisse aus. Sie nehmen zudem die politische Kontrolle wahr.	simplicity	German
Die Veränderung der Konzentration der Klimagase und ihrer Zusammensetzung veränderte zudem den Strahlungshaushalt der Erde und brachte den Treibhauseffekt in Gang, der die Erde seitdem erwärmt.	Die Konzentration und Zusammensetzung der Klimagase veränderten den Strahlungshaushalt der Erde. Es kam zu einem Treibhauseffekt, der die Erde seitdem erwärmt.  	simplicity	German
Der Glacier-Nationalpark bezieht seinen Namen von der durch Vergletscherung während des Eiszeitalters geprägten Landschaft.	Während des Eiszeitalters prägten Gletscher die Landschaft. Auf diese Tatsache bezieht sich der Name des Glacier-Nationalparks.	simplicity	German
Dieser Temperaturgradient ist mit etwa 1 K/km viel zu klein, als dass Wärmeleitung einen wesentlichen Beitrag zum Wärmetransport leisten könnte.	Dieser Temperaturgradient ist mit etwa 1K/km sehr klein. Daher kann er keinen wesentlichen Beitrag zum Wärmetransport leisten.	simplicity	German
Dies sind geologische Wärmeanomalien, die oft mit aktivem Magmatismus einhergehen; dort sind mehrere hundert Grad heiße Fluide (Wasser/Dampf) in einer Tiefe von wenigen hundert Metern anzutreffen.	Dies sind geologische Wärmeanomalien, in denen man oft aktives Magma findet. Dort gibt es wenige hundert Meter tief sehr heißen Dampf.	simplicity	German
Um das Werfen mehrerer Würfel zu vereinfachen, Schummeln durch Trickwürfe zu vermeiden oder das Ergebnis vor anderen Spielern zu verbergen, kommen Würfelbecher (Knobelbecher genannt) zum Einsatz.	Damit man einfacher mehrere Würfel werfen kann, werden Würfelbecher (Knobelbecher) benutzt. Außerdem vermeidet man Schummeln und kann das Ergebnis vor anderen Spielern verbergen.	simplicity	German
Der zunehmende Abfluss des Gletscherwassers führt zudem zum globalen Anstieg des Meeresspiegels und bedroht damit auch nicht unmittelbar im Einflussbereich von Gletschern lebende Menschen.	Der Abfluss des Gletscherwassers nimmt zu und führt zudem zum weltweiten Anstieg des Meeresspiegels. Er bedroht damit auch Menschen, die nicht unmittelbar im Einflussbereich von Gletschern leben.	simplicity	German
Bei einigen Formen kann man versuchen, dies durch die richtige Wahl der Größenverhältnisse auszugleichen, etwa durch Streckung der Seitenflächen beim nebenstehenden Prisma als siebenseitiger Würfel.	Bei manchen Formen kann man versuchen die Wahrscheinlichkeit, dass eine Form auf einer Fläche landet auszugleichen. Zum Beispiel indem man eine Seitenfläche verlängert.	simplicity	German
Die Abspaltung der Dreizehn Kolonien nach dem Amerikanischen Unabhängigkeitskrieg (1775–1783) bedeutete zwar den Verlust der bevölkerungsreichsten Überseegebiete, doch wandte sich Großbritannien bald Afrika, Asien und Ozeanien zu.	"Mit der Abspaltung der 13 Kolonien hatte Großbritannien nach dem Amerikanischen Unabhängigkeitskrieg seine bevölkerungsreichsten Überseegebiete verloren._x000D_
Dafür wandte es sich nun Afrika, Asien und Ozeanien zu."	simplicity	German
Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.	Wichtig ist der Abstand zwischen Lenker und Gesäß, die richtige Lenkerform (Biegung) und dass die Höhe des Lenkers richtig eingestellt ist. Am besten sollte der Lenker genau auf der Höhe der Mitte der Beckenknochen sein.	simplicity	German
Erst bei Ausbruch des Zweiten Weltkriegs 1939 kehrte Churchill, der als erklärter Gegner Hitlers bekannt war, in die Regierung zurück, zunächst erneut als Erster Lord der Admiralität.	Als 1939 der zweite Weltkrieg ausbrach, wurde Winston Churchill wieder Mitglied der Regierung. Er war als Gegner von Hitler bekannt. Seine neue Position war die des Ersten Lords der Admiralität.	simplicity	German
Diese Abwertung wird auch als Downcycling bezeichnet, während beim Upcycling aus Abfallstoffen eines Prozesses hochwertigere Produkte hergestellt werden können. 	Man nennt das auch Downcycling. Beim so genannten Upcycling werden aus Abfallstoffen eines Produktes bessere Produkte hergestellt.	simplicity	German
Eine Retraditionalisierung der Rollen findet Studien zufolge oft nach der Geburt des ersten Kindes statt: selbst bei vorher weitgehend egalitärem Rollenverständnis beider Partner werden nach der Geburt vor allem die Auffassungen der Männer wieder traditioneller, während die der Frauen egalitär bleiben; dies führe oft zu Spannungen in der Partnerschaft.	Nach der Geburt des ersten Kindes findet meisten eine Rückkehr zur Traditionalisierung der Rollen statt. Auch wenn das Rollenverständnis beider Partner vorher auf Gleichheit gerichtet war, werden nach der Geburt die Auffassungen der Männer wieder traditioneller. Die der Frau hingehen bleiben auf Gleichheit fokussierte. So kommt es oft zu Spannungen in der Partnerschaft. 	simplicity	German
Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.	Wegen der Erdanziehungskraft läuft die Flüssigkeit, die sich zwischen den Seifenfilmoberflächen befindet, nach unten (Drainage). Deshalb dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus. 	simplicity	German
Der Berg ist der Wasserscheidepunkt an dessen Flanken sich die Einzugsgebiete des Pazifischen Ozeans, des Atlantischen Ozeans über den Golf von Mexiko und des Arktischen Ozeans über die Hudson Bay berühren.	Der Berg markiert die Grenze zwischen den Gebieten des Pazifischen Ozeans, des Atlantischen Ozean und des Arktischen Ozeans. 	simplicity	German
Abhängig von den Druck- und Temperaturbedingungen können Hochenthalpie-Lagerstätten mehr dampf- oder mehr wasserdominiert sein.	Die ebengenannten Hochenthalpie- Lagerstätten sind abhängig von Druck- und Temperaturbedingungen. Sie können mehr dampf- oder wasserdominiert sein. 	simplicity	German
Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.	Eine Seifenblase entsteht, wenn sich eine kleine Menge von Wasser (auch Wasserfilm genannt) mit einer kleinen Menge Seife mischt.	simplicity	German
Darüber hinaus sind Würfel in einer Vielzahl von Brettspielen bedeutend, um etwa die Bewegungsgeschwindigkeit von Spielfiguren oder den Ausgang von Zufallsereignissen zu bestimmen.	Außerdem sind Würfel wichtig für viele Brettspiele. Zum Beispiel um die Bewegung von Spielfiguren oder das Ergebnis von zufälligen Entscheidungen zu bestimmen.	simplicity	German
Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.	Die griechischen Sportstätten mit Bädern waren schon damals Orte in denen sich die Menschen begegneten. Außerdem hielten sich die Menschen dort viele Stunden lang auf.	simplicity	German
Sie gehören zu den frühesten Spuren vielzelliger Tiere weltweit.	Sie gehören zu den frühsten Spuren von Tieren, die aus mehreren Zellen bestehen.	simplicity	German
