anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Sono molto contento perché intrattengo una relazione sentimentale con la mia fidanzata Chiara.	Sono Felice perchè sto con Chiara il mio AMORE !	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Tu conosci già la risposta.	!Diciamo che la risposta la sai tu.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	In caso sia una vacanza arrabbiati pure, perlomeno avrebbe dovuto invitarti.	se è una vacanza incazzati pure perlomeno ti doveva invitare!!!!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	In fondo al tuo cuore non avverti un po' di quel tenero amore che ti invoglia a farlo sbocciare un po'?	ma nel tuo cuore non senti un pò di quel tenero amore che ti invoglia a farlo maturare un pò.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Anche io mi preoccupo sempre non si accorgano mai di nulla.	Anche io mi sono sempre preoccupata che non si accorgessero mai di nulla!!!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Gradiremmo meno sciocchezze e più serietà.	Gradiremmo meno ciozzamento e un po' più di serietà.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Ho riferito al mio ragazzo che a causa suo ho perso tutti i miei amici, anche se non era veramente causa sua.	quando ho detto al mio ragazzo che per colpa sua ho perso tutti i miei amici anche se la colpa non era sua	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Nel caso in cui una persona dica che l'amore non esiste, è solo perché essa non ha mai incontrato la persona adatta per farle provare il suddetto sentimento.	Se una persona dice che l'amore non esiste è solo perchè non ha mai incontrato la persona giusta!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Si usa dire che il tempo sia galantuomo, perlomeno io mi rincuoro pensando questo.	Ma sai come si dice: il tempo è galantuomo, almeno io mi faccio forza pensando a questo.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Sarà normale fin quando, una volta adulta, le tue attenzioni si sposteranno sul tuo uomo.	Normale fino a quando,cresciuta, le tue attenzioni si sposteranno sul tuo lui!!!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Prosegua col compiere altre esperienze e vedrà che un cambiamento le porterà solo giovamento.	Continui con altre esperienze e vedrà che voltar pagina può farle solo bene.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Nonostante i tuoi 43 anni d'età, non sembri comprendere quel che ti sta attorno.	c'hai 43 anni e non capisci niente.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Se le piaci non rifiuterà il tuo corteggiamento, quindi falle capire che lei ti piace.	Se le piaci non rifiuterà il tuo corteggiamento qnd falle capire ke lei ti piace	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Non è da molto che sono diventato ragazzo.	Non sono da molto un ragazzo.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Credo che i tacchi a spillo facciano la loro figura su delle belle gambe.	?i tacchi a spillo pero su delle belle gambe fanno la loro figura	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Nel caso ti tradissero, rimane te stesso su cui contare.	Poi, se ti tradiranno,non importa, tu avrai sempre te stesso su cui contare.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Buongiorno, quella su E-Bay è molto bella.	!ciaoooooooquella su e-bay è troppo carina!!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Sono del parere di prendere questa decisione, anche alla luce della congiuntura economica.	Questa decisione la prenderei anche perché magari in quel momento nn sono nella situazione economica migliore o altro.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Io pensò ciò. Mi scuso, poiché è insensato.	!questo penso--scusa---non ha senso---	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Dal lunedì al venerdì, rimango sul divano a vedere il primo quarto d'ora.	Da lunedì a venerdì, cercando di rimanere sveglia sul divano a guardare i primi 15 min.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Conosci i rischi.	Sai a che cosa vai incontro.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Necessiti di enorme pazienza e le fai male almeno all'inizio.	triboli e le fai male almeno all'inizio	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Ora aspetti che sia lui a fare le suo mosse.	ora lascia ke sia lui a fare le sue mosse.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Per quanto mi riguarda, preferisco l' uomo depilato a quello peloso, soprattutto poiché è estremamente più igienico!	Per quanto mi riguarda, preferisco l' uomo depilato a quello peloso, e poi è estremamente più igienico!	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Mi sembra ovvio che non sia un tuo amico.	Ovviamente non e mica un tuo amico.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Questo è il mio punto di vista.	io la vedo così.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Scegli un ottimo partner ed è sicuro che il film presenterà una lieta conclusione.	Scegli un buon parter e il film avrà un lieto fine.	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	In generale chi è più geloso all'interno della coppia è più propenso a tradire.	in genere chi è più geloso nella coppia è più propenso a  tradire	formality	it
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	Io ritengo che dipenda dal mio umore in quello specifico momento!	Dipende da come mi gira!!	formality	it
