anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Una visita a sorpresa tuttavia io risiedevo ad Udine e lei a Basilea, quindi a circa 880 km di distanza.	arrivare a sorpresa,però io abitavo a udine lei a basilea,erano quasi 880km	Siamo sempre di corsa, tuttavia tu non concedi il giusto tempo per ottenere una risposta.	!siamo frenetici,ma tu non dai tempo per le risposte.	1	formal	italian
Continua così, poiché un sorriso è la migliore medicina che possa essere somministrata ad una persona.	continua così che un sorriso è sempre la migliore medicina che si possa dare!	I miei più vivi auguri!	Augurissimi!!!!	1	formal	italian
Credo che in questa maniera sia possibile tradire solo una persona che ci ha già tradito a sua volta	insomma così credo che si potrebbe tradire solo una persona che ci ha tradito.	Buonanotte a lei, qual pensiero gentile, buon riposo dalla Sicilia.	ma buonanotte a te, che pensiero gentile, buona nanna dalla sicilia, sogni d'oro.	1	formal	italian
Ti abbraccio, augurandoti buona fortuna.	Un in bocca al lupo e un abbraccio.	Sarebbe auspicabile che non si comportasse come fosse la mia ombra, mi piacerebbe solamente che fosse più indipendente.	Magari nn lo facesse è la mia ombra :O) lo vorrei più indipendente tutto qua .	1	formal	italian
Dispiace nel caso in cui vi siano dei soldi, ma nel caso non li abbia neanche tu, stringi amicizia con un'altra persona.	Se ci sono dei soldi dispiace,se anche te non ne hai ,cambia amica	Sono anch'io sconvolta dall'estrema lunghezza della risposta.	GULP…UNA DELLE RISPOSTE PIU’ LUNGHE DELLA STORIA…SONO SCONVOLTA IO STESSA EHEHEHEH!!	1	formal	italian
Ridono alle vostre spalle con gli amici!	Vi ridono dietro con gli amici!	Per quanto mi riguarda, preferisco l' uomo depilato a quello peloso, soprattutto poiché è estremamente più igienico!	Per quanto mi riguarda, preferisco l' uomo depilato a quello peloso, e poi è estremamente più igienico!	1	formal	italian
Trovo che sia improbabile che qui tu possa trovare risposte a ciò che chiedi, non è il luogo più opportuno. Saluti.	Difficile che qui trovi risposte alla tua domanda,non è il posto adattoCiao	Bisogna sempre rispettare gli altri per poter essere rispettati a loro volta.	bisogna sempre rispettare gli altri per potere essere rispettata .	1	formal	italian
La mia indole è delle più miti e sono sovente vittima di lievi ingiustizie.	sono un tipo calmo e di solito li subisco i piccoli torti.	La risposta sarebbe di sì, sì ed ancora di sì!	Sarebbe SÌ SÌ e ancora SÌÌÌÌÌÌÌÌÌ!	1	formal	italian
Si tratta di un pensiero amabile. Farò in modo di trasmettere il tuo messaggio. Buona giornata.	è un pensiero carino , farò in modo di trasmettere il tuo messaggio .CIAO	Nel letto, perché a letto io dormo... Poi ti spiego.	nel letto perche a letto io dormo poi ti spiego	1	formal	italian
Recandosi presso l'hotel si potrebbe risolvere il problema.	potete sempre risolvere il problema andando in albergo	Basterebbe chiederle se le va di uscire insieme, una sera.	"basterebbe un ""che ne dici se si vedessimo una sera di queste?""."	1	formal	italian
"Scusa la mia ignoranza, ma cosa vuol dire un ""palo""?"	"Scusa l'ignoranza ma cosa vuol dire un ""palo???"""	Invece del tuo carattere, può darsi che su Y sia apparsa la tua età. Ciao!	Più del tuo carattere,forse su Y è apparsa la tua età !Ciao	1	formal	italian
Si può dire che si tratti di un buon inizio, dato ciò che racconti. Buona fortuna.	diciamo che è un buon inizio, visto quello che raccontibuona fortuna!	Non dar peso a ciò che dicono gli altri e fa ciò che senti di voler fare.	non curarti di ciò che dicono gli altri fa ciò c he ti senti.	1	formal	italian
Non pensiate che abbia sentimenti discriminatori nei confronti delle persone transessuali	non pensiate che sia contro i trans.	In fondo, una cosa risulta essere più preziosa quanto più devi sforzarti per possederla, giusto?	in fondo, una cosa è tanto più preziosa quanto più risulta difficile possederla no?!	1	formal	italian
Se poi avessi voglia di scrivere dell'altro oltre quello che hai già scritto, puoi sempre inserire un biglietto.	E se vuoi scrivere qualche altra cosa, oltre a quello già scritto, puoi inserire un biglietto.	Si consiglia l'assunzione di alimenti digeribili e sostanziosi, che non affatichino l'apparato digestivo, come, ad esempio, una porzione di ciambellone e di crostata casalinga.	qualcosa di leggero e nutrinete che non lo appesantiscal'idele una fetta di ciambellone e di crostata fatti in casa.	1	formal	italian
Egli è arretrato, probabilmente in misura eccessiva.	lui è un po' indietro dici forse anche troppo.	La probabilità è alquanto bassa. Divertitevi senza troppi pensieri.	la probabilità è bassissima godetevela e non fatevi troppi problemi	1	formal	italian
Probabilmente è la scoperta più bella della tua vita.	magari e' la scopeta piu' bella della tua vita.	La cifra è pari a € 5 ma c'è la possibilità che sia anche più alta!	5 euro ma so che sparano anche molto di più !	1	formal	italian
Un uomo deve offrire: capacità di ascolto, amore, tenacia, un lavoro, tempo da dedicarci.	l'uomo deve  mettere: ascolto, amore, tenacia, lavoro, tempo	Voglio dirti questo: la vita inizia a 40 anni. Su con la vita, fa' un sorriso!	ti voglio dire che la vita incomincia a 40 anni e su con la vita , sorridi	1	formal	italian
Auguro anche a te un buon giorno e un buon inizio settimana mia cara.	buongiorno a te cara e un buon inizio settimana	"Si è dilettato nella visione della pellicola ""New York, New York""."	ha visto il film new york new york	1	formal	italian
Lascia la ragazza, per andare con una nuova preferita.	lascia la ragazza e va con quella nuova che gli piace	Buongiorno, ti ringrazio per averci dato modo di leggerla.	!ciao grazie per averci dato il modo di leggerla!	1	formal	italian
Non c'è nulla che tu possa fare, più la contrasti e più tuo fratello la erge su di un piedistallo.	non ci puoi fare nulla, anzi con più vai contro di lei con più tuo fratello la idealizza.	Non dovresti neppure più cercarlo, non ti rendi conto che gli stai facendo del male?	non cercarlo piu gli stai facendo solo del male.	1	formal	italian
affrontare con apparente tranquillità e sorriso una situazione spinosa.	FARE BUON VISO E CATTIVO GIOCO!	Sarà un'occasione per frequentarvi assiduamente senza ulteriori presenze e ciò vi consentirà di colloquiare, conoscendovi meglio.	e soprattutto starete tanto insieme soli e potete parlare!e da cosa nasce cosa!!	1	formal	italian
A volte, per noi donne, non è semplice raggiungere l'orgasmo; anche un piccolo problema può determinare la non riuscita dell'orgasmo.	a volte nn è semplice raggiungere l'orgasmo per noi donne, anche un piccolo problema può provocare il nn orgasmo.	Hai agito in modo corretto.	Hai fatto la cosa giusta!	1	formal	italian
Esatto, all'età di 17 anni mi sono recata presso la città di New York in visita ad un'amica	Si, a 17 anni sono andata a New York a trovare una mia amica	Stai solamente perdendo il tuo tempo.	Stai solo perdendo tempo!!	1	formal	italian
3 anni non sono molti.	mica sono tanti 3 anni!	In sostanza è la medesima cosa che cerco io.	Praticamente è lo stesso che cerco io.	1	formal	italian
Questo tipo di prospettiva è di tuo gradimento? Suvvia, passerà.	come prospettiva ti piace?daii passerà!	Non c'è stato modo per me di leggerla.	non ho avuto il tempo di leggerla.	1	formal	italian
A mio parere il sesso virtuale è solo una piccola perversione dato che nulla può essere paragonabile a quello reale.	secondo me può essere solo una piccola perversione fare sesso virtuale perchè nulla è paragonabile a quello fisico!	In ogni caso si tratta di una decisione molto difficoltosa da intraprendere e andrebbe ragionata bene.	Cmq é una decisione molto difficile da prendere e bisognerebbe pensarci molto.	1	formal	italian
Il tuo gesto non è definibile come sacrificarsi, ma come rinunciare.	questo non è sacrificarsi è rinunciare	Io pensò ciò. Mi scuso, poiché è insensato.	!questo penso--scusa---non ha senso---	1	formal	italian
Credo che i tacchi a spillo facciano la loro figura su delle belle gambe.	?i tacchi a spillo pero su delle belle gambe fanno la loro figura	E allora non telefonargli!	e allora non chiamarlo!	1	formal	italian
Come cauzione occorrono circa 9000 € ai quali vanno aggiunti almeno 20000 € e il costo della mobilia.	solo trattenimento: 9000 euro circatutto + di 20000se non di +, conta i mobili!	Tu ti sentirai più disinvolto, lei capirà che ti fidi di lei e anche lei, a sua volta, si fiderà di più.	tu sarai più disinvolto e lei capirà che ti fidi di lei e anche lei si fiderà più di te!	1	formal	italian
Auguro a tutti una buona giornata.	buona giornata a tutti.	Potrebbe essere lo stesso anche per le altre compagnie telefoniche.	magari anche per le altre compagnie telefoniche.	1	formal	italian
Domanda, dillo a lui, parla!	Chiedi,diglielo,parla!!!!	La mia esistenza non ha subito particolari variazioni.	la mia vita non è cambiata più di tanto.	1	formal	italian
Il giorno in cui ho incontrato il mio ragazzo per la prima volta.	il giorno che ho incontrato il mio ragazzo per la prima volta.	"Siete amici. A volte capita la fortuna di avere il cosiddetto ""amico per la pelle""."	"Siete amici, capita di avere il cosi detto ""Amico per la pelle"",  l'Amicone."	1	formal	italian
Alla fin fine non fai che dare la colpa ad entrambi a prescindere.	Dai la colpa a tutti e due a prescindere	Spesso dalla condivisione di idee politiche non necessariamente discende la condivisione d'altro.	spesso, anche condividendo le stesse idee politiche, non si condivide altro!!	1	formal	italian
Anche io abito nella zona centrale di Roma.	E sn anke io di Roma centro	"Se poi i tuoi genitori hanno una mentalità ""tradizionalista"", come i miei..."	"Se poi i tuoi hanno una mentalità ""antica""(come del resto anche i miei!"	1	formal	italian
Si faccia forza e coraggio. Le rivolgo un augurio di buona fortuna.	!Forza e coraggio!In bocca al lupo	Dove abiti esattamente, a Torino?	di che zona sei di Torino	1	formal	italian
Scorgo ciò ovunque, anche nelle strade.	!Lo vedo dappertutto anche in strada.	È un evento davvero speciale, soprattutto se lo condividi con la persona giusta.	è una cosa davvero speciale, specie se lo fai con la persona giusta!	1	formal	italian
Vuole impressionarti positivamente.	Vuole farti 1bella impressione.	Questo è il mio punto di vista.	io la vedo così.	1	formal	italian
Ciao, io ritengo che abbia paura.	CIAO, secondo me ha paura!!!	Le dica di amarla.	dille: TI AMOOOOOOOOOOOOOOOOOOO!	1	formal	italian
"Molto bello! Se fosse davvero così, Prodi non sarebbe più tanto impertinente, sarebbe già ""mortadella""."	bellissimo, se fosse veramente cosi' Prodi non farebbe tanto il galletto,sarebbe già mortadella	Purtroppo raramente mi è possibile vivere la notte, in quanto gli impegni di lavoro la mattina mi impediscono di rimanere sveglia fino all'alba.	ma purtroppo poche volte mi godo la notte perchè giustamente la mattina si lavora e quindi nn posso stare sveglia fino all'alba!!	1	formal	italian
Io risiedo a Buenos Aires pertanto posso fornirti i nominativi di legali che parlano correntemente la lingua italiana. Saluti.	se vuoi io sono a buenos aires posso darti il nome di qualche avvocato che parla italiano chau	O sta mentendo, oppure vorrebbe maggiore fiducia da parte tua. Oppure glielo chiedi troppo spesso.	o mente o vorrebbe maggiore fiducia da parte tua o glielo chiedi troppo spesso	1	formal	italian
Ritengo che voglia colpire, e poi fuggire.	Penso che vuole colpire e fuggire!	Evita di opprimerlo eccessivamente.	Ma non stargli troppo addosso.	1	formal	italian
Ti auguro di incontrare una signora benestante e poterla corteggiare.	prima trova una riccona (auguri) e poi corteggiala	Prima di tutto, bisognerebbe conoscere il motivo per il quale la tua ragazza parte.	bisognerebbe sapere prima il motivo per cui la tua ragazza parte.	1	formal	italian
Buon lavoro e buon proseguimento a te, cara: ti mando un bacio e un abbraccio.	Buon lavoro e buon proseguimento a te mia cara , smaketeeee, un  ABBRACCIOOO!	Una maglia da indossare in due, due maniche in cui far passare quattro braccia.	una maglia,che metteranno insieme ,solo due maniche con unico corpo	1	formal	italian
Fortunatamente le persone buone sono la maggioranza, tuttavia noi siamo vittima talvolta di persone mosse da cattivi fini.	Per fortuna siamo molti di piu' i buoni,ma purtroppo siamo anche succubi dei cattivi!	Suvvia, non essere così abbattuto.	hey ma nn devi essere cosi triste!	1	formal	italian
Non dovresti affogare nel mare delle reminiscenze di ciò che è stato.	Nn vivere dei ricordi del passato.	Credo il fisico. Ma anche la persona.	Il fisico penso, ma anche il ragazzo	1	formal	italian
Ti penso prima di addormentarmi e mi sveglio pensandoti. Sei sempre nella mia mente.	ti penso prima di addormentarmi e mi sveglio pensandoti sei sempre nella mia mente	"Scusa, ma sei alla ricerca di ""Silva di Sorrento"" a Napoli? Non la troverai!"	Ma scusa cerchi Silva di sorrento a Napoli?non la trovi!!!!	1	formal	italian
Nel caso in cui una persona dica che l'amore non esiste, è solo perché essa non ha mai incontrato la persona adatta per farle provare il suddetto sentimento.	Se una persona dice che l'amore non esiste è solo perchè non ha mai incontrato la persona giusta!	Credo di no dato che nessuno ti ha risposto. Nemmeno io sono di Ancona.	Penso di no visto che non ti ha risposto nessuno e neanche io sono di ancona	1	formal	italian
