anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !	मी परत जाईन आणि या महान जागेचा आनंद घेईन !	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	ड्रिंक्स महाग होती आणि हवी हवीशी होती.	ड्रिंक्स परवडणारी आणि चांगली होती.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याचा त्याला तिरस्कार होता.	माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याला ते आवडलं.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी त्यांच्या ईमेलसाठी साइन अप केले आणि स्पॅम मिळाला.	मी त्यांच्या ईमेलसाठी साइन अप केले आणि एक कूपन मिळाले.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी त्यांना प्रयत्न न करण्याची शिफारस नक्कीच करेन.	मी त्यांना प्रयत्न करण्याची शिफारस नक्कीच करेन.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी ई अँड एम पेंटिंग टाळण्याची शिफारस करतो.	मी ई अँड एम पेंटिंगची शिफारस करतो.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	अन्यथा एक भयानक अनुभव आहे आणि आम्ही पुन्हा जाणार नाही.	अन्यथा एक चांगला अनुभव आहे आणि आम्ही पुन्हा जाऊ.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	पाणीदार ड्रिंक्स, आणि खराब संगती.	चांगली ड्रिंक्स, आणि चांगली संगत.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	अरे मी आता माझा बँड गीक परत चालू करू शकत नाही !	अरे मी आता माझा बँड गीक परत आणला !	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी नर्व्हस झालो होतो आणि तिने मला खूप चिंताग्रस्त आणि भारावून टाकले होते.	मी नर्व्हस होतो आणि तिने मला खूप आरामदायक आणि स्वागतार्ह वाटले.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	जेवण शिफारशी नाहीत स्टेक आणि टूना बरोबरीचे नव्हते	उत्तम खाद्य शिफारसी स्टीक आणि टूना दोन्ही उत्तम होत्या.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	सगळं इतकं शिळे आणि नितळय आहे!	सर्व काही ताजे आणि इतके चविष्ट आहे !	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	बिस्किटे आणि ग्रेव्ही खराब होती.	बिस्किटे आणि ग्रेव्ही चांगली होती.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी पुढच्या वर्षी इथे परतणार नाही.	मी खरंतर पुढच्या वर्षी परत येण्याची वाट पाहू शकतो !	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	ते अधिक उपयुक्त, दयाळू आणि वाजवी किंमतीचे असायला हवे होते.	ते खूप उपयुक्त, दयाळू आणि वाजवी किंमतीचे होते.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	देवा मला पेई वेई खरंच आवडत नाही.	देवा मला पेई वेई आवडते.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	लोक मैत्रीपूर्ण नव्हते, बॅगल चांगले नव्हते आणि क्रीम चीज चवदार नव्हते.	मैत्रीपूर्ण लोक, स्वादिष्ट अस्सल बॅगल, चवदार क्रीम चीज.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मला ते का आवडत नाही हे तू तिथे गेल्यावर बघशील.	मला ते का आवडतं ते तुम्ही तिथे गेल्यावर तुम्हाला दिसेल.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	मी ज्यांच्याशी बोललो ते सर्व जण उपयुक्त किंवा दयाळू नव्हते.	मी ज्यांच्याशी बोललो ते खूप मदत करणारे आणि दयाळू होते.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	सुशी रोलसाठी मर्यादित वैविध्य आहे.	सुशी रोलच्या वैविध्यामुळे चांगले खाणे मिळते.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	आणि प्रत्येक अनुभव भयानक आहे.	आणि प्रत्येक अनुभव सकारात्मक आहे.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	स्टीव्ह अनप्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले नाही.	स्टीव्ह प्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	हा गोल्फ क्लब माझ्या मते सर्वात खराब आहे.	हा गोल्फ क्लब माझ्या मते सर्वोत्कृष्ट पैकी एक आहे.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	अपात्र डेंटिस्ट आणि कर्मचारी.	उत्तम जाणकार डेंटिस्ट व कर्मचारी !	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	पोर्शन खूप लहान असतो आणि अन्न चवहीन असते.	पोर्शन खूप उदार आहेत आणि जेवण विलक्षण चवदार आहे.	positivity	mr
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	नेहमी शिळे, आजारी आणि चवनसलेले.	नेहमी ताजे, लठ्ठ आणि स्वादिष्ट.	positivity	mr
