positive	negative	style_type	language
Кора подстилается мантией.	Ниже коры находится мантия.	simplicity	ru
Норы служат убежищем от хищников и воздействия стихий, поэтому норный образ жизни довольно популярен среди животных.	У животных довольно популярен норный образ жизни.	simplicity	ru
Бонаньи - это коммуна в департаменте Па-де-Кале в регионе Нор-Па-де-Кале во Франции.	B hagnies - это коммуна. Он находится в регионе Нор-Па-де-Кале в департаменте Па-де-Кале на севере Франции.	simplicity	ru
Цветки крошечные, желтые, 5-лепестковые, обычно по два-три в пазухах листьев.	Пятилепестковые цветки желтые, крошечные, занимают 2–3 дюйма в пазухах листьев.	simplicity	ru
Одно время она была соорганизатором рекламного ролика для AeroBed и занималась рекламой средств для чистки ковров Rug Doctor.	Одно время она вела рекламный ролик средств для чистки ковров Rug Doctor.	simplicity	ru
Уменьшение сдвига ветра и относительно теплая вода около 81 ° F (27 ° C) сохраняли интенсивность в основном неизменной, сохраняя Хелену ураганом Категории 1.	Уменьшение сдвига ветра и относительно теплая вода около 81 ° F (27 ° C) сделали Хелену ураганом категории 1 без каких-либо значительных изменений в его интенсивности.	simplicity	ru
Сен-Жюльен-дю-Терру - это коммуна в департаменте Майен на северо-западе Франции.	Сен-Жюльен-дю-Терру - это коммуна 232 человек (1999). Он находится в регионе Пэи-де-ла-Луар в департаменте Майенн на северо-западе Франции.	simplicity	ru
Схема стоимостью около 450 миллионов долларов была профинансирована совместным предприятием, финансируемым государством, в состав которого входят Shanghai Juss Corporation, Shanghai National Property Management Co Ltd и Shanghai Jia` an Investment and Development Co Ltd.	Схема стоимостью около 450 миллионов долларов была оплачена совместным предприятием, финансируемым государством. Эта компания состояла из Shanghai Juss Corporation, Shanghai National Property Management Co Ltd и Shanghai Jia` an Investment and Development Co Ltd.	simplicity	ru
Он был образован одиннадцатью командами в 1920 году как Американская ассоциация профессионального футбола, а в 1922 году лига изменила свое название на Национальную футбольную лигу.	В 1920 году была образована лига американского футбола. Это называлось Американской ассоциацией профессионального футбола.	simplicity	ru
Во всем мире в 2006 году около пяти миллиардов песен, что соответствует 38 000 лет музыкальной истории, были обменены на одноранговых веб-сайтах, а 509 миллионов были куплены в Интернете.	В 2006 году в мире было куплено около 509 миллионов песен в Интернете.	simplicity	ru
В 1445 году папа Евгений IV вызвал его в Рим, чтобы расписать фрески капеллы Святого Причастия в соборе Святого Петра, позже снесенной Папой Павлом III.	В 1445 году папа Евгений IV послал фрау Анджелико послать в Рим для росписи фресок часовни Святого Причастия в соборе Святого Петра.	simplicity	ru
Овес, как и рожь, обычно считается вторичной культурой, т. Е. Полученным из сорняков первичного злака, одомашнивающего пшеницу и ячмень.	Овес подобен ржи. Обычно они считаются менее важной культурой, то есть происходящей из сорняков основных зерновых культур - пшеницы и ячменя.	simplicity	ru
Он женился на Элизабет Кристине из Brunswick-Wolfenb üttel, от которой у него было двое детей: Мария Тереза, 1717 г.р., последний правитель Габсбургов, и Мария Анна, 1718 г.р., гувернантка Австрийских Нидерландов.	Его дочь Мария Тереза Австрийская унаследовала Австрийскую империю Габсбургов.	simplicity	ru
