positive	negative	style_type	language
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	toxic	hi
मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए 	मैच फिनिश कर देना चाहिए  ज्यादा देर नहीं करनी चाहिए 	toxic	hi
देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा 	इसपे तेरा मुह नही खुलेगा	toxic	hi
दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे	दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ	toxic	hi
ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया	ममता_बनर्जी ने शाह को औकात पे ला दिया	toxic	hi
देखिए आज की रिपोर्ट अमीश भड़वा से	देखिए आज की रिपोर्ट बेकार अमीश से	toxic	hi
यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |	यही एक आखरी रास्ता हो सकता है बाकी बेकार लोग किसी के नहीं होंगे |	toxic	hi
चुप मादरचोद मेरी बाइक तुमने तोड़ी 	चुप कर अब मेरी बाइक तुमने तोड़ी	toxic	hi
अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?	अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?	toxic	hi
मोदी सूअर का पीला भी तो चुप है 	मोदी भी तो चुप है	toxic	hi
अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?    	अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?	toxic	hi
मादरचोद दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया	वह दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया	toxic	hi
मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?	उधर नेटवर्क का प्रॉब्लम है तो सिम कार्ड क्यों इश्यू करते हो उस एरिया में?	toxic	hi
साले की शक्ल ही सूअर जैसी लग रही है। जैसा काम वैसी शक्ल । 	उसकी शक्ल ही बेकार सी लग रही है | जैसा काम वैसी शक्ल । 	toxic	hi
समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।	समस्या तुम जैसे ढोंगी पुजारी है।	toxic	hi
रंडि के पैदाइस कुछ नहि बोलेगे ?	यह लोग कुछ नहि बोलेगे ?	toxic	hi
इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।	इसको ऐसा सबक सिखाओ कि किसी दूसरी औरत को कभी गंदी नजर से ना देखे |	toxic	hi
इन सालों की गांड पर लात मार के बाहर कर देना चाहिए मादरचोद रास्ता जाम किये बैठा है	इन को जबरदस्ती बाहर कर देना चाहिए  रास्ता जाम किये बैठा है	toxic	hi
चला है लोडा एक्सपर्ट बनने...	चला है एक्सपर्ट बनने...	toxic	hi
भड्वा, तल्वे चातु, कुत्ते से भी बडा कुत्ता देखना हो तो तुजे देख लेना चाहिये	अगर इस्से भी खराब इंसान देखना है तो तुम्हें देखना चाहिए	toxic	hi
कभी तो अपने कॉम की गंदगी को साफ करो, हलाला, तहर्रूष, मुताह	कभी तो अपने कॉम की गंदगी को साफ करो	toxic	hi
इस सुअर के बच्चे ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।	इस बेकार आदमी ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।	toxic	hi
सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब 	बेकार आदमी इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब	toxic	hi
