anchor1	anchor2	alternative1	alternative2
en tenant compte du risque de biais élevé et de la forte hétérogénéité entre les études , ces résultats doivent être interprétés avec prudence	la qualité des études était faible , de sorte que ces résultats doivent être interprétés avec prudence	les principales raisons de la rétrogradation des preuves comprenaient l' imprécision ( échantillons de petite taille et intervalles de confiance larges ) et un mauvais signalement des méthodes d' étude	les principales raisons de la rétrogradation des preuves étaient l' imprécision ( échantillons de petite taille et intervalles de confiance larges ) et un mauvais signalement des méthodes d' étude
d' autres interventions ( par exemple , celles incluant des éducateurs , celles visant à développer des aptitudes de sécurité , notamment les aptitudes à la prise de décision et à la résistance à la pression des pairs , ou celles visant à améliorer le respect de soi ou la connaissance de ses propres capacités ) doivent être développées et testées , tout particulièrement auprès des enfants âgés de 11 à 18 ans	d' autres types de programme de promotion du port du casque ( par exemple , ceux incluant des éducateurs , ceux développant les aptitudes telles que la prise de décision et la résistance à la pression des pairs ou améliorant le respect de soi ou la connaissance de ses propres capacités ) doivent être développés et testés , tout particulièrement auprès des enfants de 11 à 18 ans	il n' y a pas de différence claire en ce qui concerne le retrait manuel du placenta , les transfusions sanguines ou le risque d' hémorragie postpartum	il n' y avait pas de différence claire en ce qui concerne le retrait manuel du placenta , le risque d' hémorragie postpartum ou l' incidence des transfusions sanguines
parmi les 10 études sur les lombalgies , sept ont montré que la diffusion de lignes directrices et les possibilités d' éducation des généralistes amélioraient peu ou pas du tout le respect de ces lignes directrices par les praticiens	parmi les dix études sur les lombalgies , sept ont montré que l' éducation des généralistes et la distribution de protocoles n' amélioraient que peu ou pas du tout le comportement clinique des médecins	l' importance de l' implication des usagers dans les soins de santé est largement établie	l' importance de l' implication des usagers de soins dans les services de santé à tous les niveaux est largement établie
l' effet des bêta-bloquants non-sélectifs sur la mortalité est très discuté et de nombreux patients sont confrontés à des événements indésirables	cependant , l' effet des bêta-bloquants non-sélectifs sur la mortalité est très discuté et de nombreux patients sont confrontés à des événements indésirables	les données sont trop faibles pour évaluer les effets des antipsychotiques sur les résultats autour des épisodes précoces de schizophrénie	les données sont trop limitées pour évaluer les effets des traitements initiaux d' antipsychotiques sur les résultats des individus souffrant d' épisodes précoces de schizophrénie
les preuves existantes sont insuffisantes pour la sécurité ou l' efficacité du naloxone ou du nalbuphine pour le traitement de la dio	les informations sont insuffisantes pour tirer des conclusions définitives sur la sécurité ou l' efficacité des antagonistes opioïdes traditionnels dans le traitement de la dio	Andrea di Pietro della Gondola , dit Andrea Palladio né à Padoue le 30 novembre 1508 et mort à Vicence le 19 août 1580 est un architecte de la Renaissance italienne .	Andrea di Pietro della Gondola , dit Andrea Palladio , né à Padoue le 30 novembre 1508 et mort à Vicence le 19 août 1580 , est un des plus célèbres architectes de la Renaissance italienne .
l' hydroxyzine est un antihistaminique qui est également utilisé dans le traitement de l' anxiété	l' hydroxyzine est un antihistaminique qui a également été étudié dans les troubles anxieux	vingt-cinq essais comparaient un cathétérisme urétral à demeure et sus-pubien	vingt-cinq essais ( 2622 participants ) comparaient un cathétérisme urétral à demeure et sus-pubien
cette méta-analyse suggère que l' administration d' hbpm diminue l' incidence de la tvp distale diagnostiquée par échogramme	cette revue signale que l' administration d' héparine de bas poids moléculaire réduit l' incidence de la tvp distale qui a été diagnostiquée	cet article est une mise à jour d' une revue systématique publiée précédemment ( voir hassiotis 2004	cette revue est une mise à jour d' une précédente version
il existe des preuves , toutefois , indiquant que les méthodes éducatives actuelles ne répondent pas aux besoins des consommateurs	il existe des preuves indiquant que les méthodes telles que la communication orale entre le prestataire de soins et le consommateur et les documents de support écrits ne répondent pas aux besoins des consommateurs	une étude présentant un risque de biais élevé a été incluse , mais suivant la méthode grade , la qualité des preuves a été réévaluée à très faible	nous avons considéré qu' une étude présentait un risque élevé de biais , et utilisant l' approche grade , nous avons évalué la qualité des données comme faible à très faible
aucune différence significative n' a été observée entre les groupes recevant la ritodrine iv associée à la progestérone vaginale et la ritodrine iv seule pour la plupart des critères rapportés , bien que le temps de latence ( délai entre le recrutement dans l' essai et l' accouchement ) ait augmenté dans le groupe recevant la combinaison de tocolytiques	aucune différence claire n' a été observée entre les groupes recevant la ritodrine associée à la progestérone ou la ritodrine seule pour la plupart des critères rapportés , bien que le temps entre l' administration des médicaments et l' accouchement ait augmenté dans le groupe recevant la combinaison de tocolytiques	déterminer si les preuves disponibles sont favorables à l' utilisation d' analgésiques opioïdes au cours du processus de diagnostic des patients atteints de daa	les preuves disponibles sont -elles favorables à l' utilisation d' analgésiques opioïdes chez les patients atteints de daa au cours du processus de diagnostic
plusieurs effets indésirables ont été signalés pour le dantrolène , y compris fatigue , somnolence , étourdissements et faiblesse musculaire	plusieurs effets secondaires ont été signalés pour le dantrolène , y compris fatigue , somnolence , étourdissements et faiblesse musculaire	en 2003 , l' organisation mondiale de la santé recommandait que les nouveau-nés soient exclusivement allaités jusqu' à l' âge de six mois avec poursuite de l' allaitement comme élément important du régime alimentaire du nouveau-né jusqu' à au moins l' âge de deux ans	l' organisation mondiale de la santé recommande que les nouveau-nés soient exclusivement allaités jusqu' à l' âge de six mois avec poursuite de l' allaitement comme élément important du régime alimentaire du nouveau-né jusqu' à au moins l' âge de deux ans
aucun effet n' a été exercé sur les volumes de patients pour l' infarctus aigu du myocarde	aucun effet n' a été exercé sur le nombre de patients pour l' infarctus aigu du myocarde	dans 18 des 19 études , les adolescents non fumeurs qui étaient davantage conscients de la publicité pour le tabac ou qui y étaient plus réceptifs étaient plus susceptibles d' avoir expérimenté la cigarette ou d' être devenus fumeurs au moment du suivi	la revue a découvert que dans toutes ces études , les adolescents non fumeurs qui étaient davantage conscients ou réceptifs à la publicité pour le tabac étaient plus susceptibles de devenir des fumeurs ultérieurement
le risque de précipitation est majeur chez le prématuré en raison de la faible masse sanguine 80 ml/kg , ( voir rubriques 4.3 , 4.4 , 6.2 )	le risque de précipitation est majeur chez le prématuré en raison de la faible masse sanguine 80 ml/kg	il est clairement nécessaire de réaliser des études randomisées bien planifiées afin de nourrir la base de preuves pour la prise en charge de cette maladie	cela indique qu' il est nécessaire de réaliser davantage d' études randomisées bien planifiées dans ce domaine pour apporter des preuves fiables sur la prise en charge des personnes atteintes de cette maladie
nous avons inclus 12 études ( 8 028 participants )	nous avons inclus 12 études avec un total de 8 028 participants	La production architecturale de Palladio se concentre en Vénétie , où l' on peut encore admirer , à Vicence , le Teatro olimpico , le grand palais municipal dénommé Basilique palladienne , la Loggia del Capitanio ainsi que de nombreux autres palais et villas dont la très célèbre Villa Rotonda .	La production architecturale de Palladio se concentre en Vénétie où l' on peut encore admirer , à Vicence , le théâtre Olympique , le grand palais municipal dit basilique Palladienne , le palais Chiericati et la loggia del Capitanio .
le bénéfice de la cryoplastie par rapport à l' angioplastie classique ne peut pas être établi car les essais contrôlés randomisés sont en petit nombre et leur qualité n' est pas suffisamment élevée	le bénéfice de la cryoplastie par rapport à l' angioplastie à ballonnet classique n' a pas encore été définitivement établie car il existe peu d' essais contrôlés randomisés évaluant cette méthode	le syndrome de douleur myofasciale ( sdm ) est un syndrome de douleur musculaire régionale caractérisé par la présence de zones gâchettes qui sont des points douloureux dans un ou plusieurs muscles	le syndrome de douleur myofasciale ( sdm ) est un syndrome de douleur musculaire régionale caractérisé par la présence de zones gâchettes ( points douloureux ) dans un ou plusieurs muscles
