positive	negative	style_type	language
Пошел Иван-царевич к царю на пир один.	Пошёл Иван-царевич к царю на праздник один.	simplicity	Russian
Воротись, поклонися рыбке: Не хочу быть черной крестьянкой, Хочу быть столбовою дворянкой».	Обещала рыбка исполнить желание старухи – сделать её богатой дворянкой. 	simplicity	Russian
Старик и спрашивает:	Рассказал он всё старухе и спрашивает:— спрашивает старик	simplicity	Russian
Пошел старик к синему морю; (Не спокойно синее море.) 	Третий раз пошёл старик к синему морю. Неспокойно синее море. Четвёртый раз пошёл старик к синему морю. И опять пошёл старик к синему морю. 	simplicity	Russian
Снарядился, взял лук да стрелы, надел железные сапоги, положил в заплечный мешок три железных хлеба и пошел искать жену свою, Василису Премудрую.	Заплакал Иван-царевич и пошёл искать свою жену Василису Премудрую.	simplicity	Russian
Пошла Василиса Премудрая плясать с Иваном-царевичем. 	Пошла Василиса Премудрая танцевать с Иваном-царевичем. 	simplicity	Russian
Глядят на нее, не налюбуются. 	Смотрят на неё – любуются. 	simplicity	Russian
А Иван-царевич говорит:	А лягушка говорит:Пошёл Иван-царевич голодным дальше.	simplicity	Russian
Тогда царский слуга приказал Емелю положить в экипаж свой и так, сонного, привез во дворец. 	Когда об этих чудесах узнал царь, он позвал Емелю во дворец. 	simplicity	Russian
«Убью этого зайца! 	«Убью этого зайца! 	simplicity	Russian
Обрадовался царевич, разбил яйцо, достал иглу и отломил у нее кончик. 	Обрадовался царевич, разбил яйцо, достал иглу, сломал её, и Кощей Бессмертный сразу умер.	simplicity	Russian
Вот и последний снег растаял, зацвели цветы на лугах, птицы прилетели. 	Не радуют её цветы и птицы, только и ждёт она дождя и прохлады. 	simplicity	Russian
Прицелился он, а медведь вдруг и говорит ему человеческим голосом:	Увидел Иван-царевич лягушку, хотел убежать, а лягушка говорит человеческим голосом:Увидел он медведя, хотел убить, а медведь ему человеческим голосом говорит:Иван-царевич хотел его убить, а селезень говорит человеческим голосом:	simplicity	Russian
Стали братья над ним смеяться, а отец говорит:	Стали братья над ним смеяться, а отец сказал:Стали они смеяться над Иваном:	simplicity	Russian
Рубит мужик дрова. 	Рубил мужик дрова. 	simplicity	Russian
Пошёл старик в лес. 	Пошёл старик в лес. 	simplicity	Russian
А к чему, зачем — того и сами не знают.	Жены старших царевичей смотрят на неё и за ней повторяют, а зачем — сами не знают. 	simplicity	Russian
Младшего звали Иван-царевич. 	Младшего звали Иван-царевич.	simplicity	Russian
Он ехал день, другой и третий — вдруг вышел ему навстречу пребольшой серый волк и сказал:	Ехал, он ехал и встретил большого Серого Волка. 	simplicity	Russian
Вот неделя, другая проходит, Еще пуще старуха вздурилась: Опять к рыбке старика посылает. 	Вот прошло две недели и опять старуха приказывает старику идти к золотой рыбке. Опять посылает старуха старика к золотой рыбке. 	simplicity	Russian
