anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Je préfère laisser le gars me demander.		Sofro por abuso verbal da minha esposa.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Você terá mais amigos do que você quer.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		É bom que você possa ver fotos de quem você está falando.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Preciso saber o que fazer.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Me ame, me ame. Oh, querido Deus me ame!	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Não seria uma palavra. Seria uma ópera cantora.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Gosto da minha vida com exceção dela gritando e usando palavras de juramento.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Eu sei como é.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Ele tem uma equipe esportiva favorita?	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Enquanto você estiver fora, ele fará isso de novo e de novo.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Eu sugiro dizer “Olha, isso não está funcionando mais para mim”.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Sem irmã, acho que não.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Então beije-a, irmão; isso funciona sempre.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		As mulheres amadurecem mais rápido do que homens e alguns homens nunca amadurecem.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Depois disso eu nunca comprei outro presente para ela.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Você pode frequentar sua aula com ela, se quiser.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Isso acontecerá quando você optar por ser rico e poderoso.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Por favor, não implore por amor, dinheiro ou respeito.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Você definitivamente saberá quando você está apaixonado.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Não baseie seu relacionamento em dinheiro ou itens materiais.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		E se alguém fizesse esta pergunta: “Como posso fazer com que meu namorado me note?”	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Não consigo entrar na sala de bate-papo.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Se você mora com um amigo, eu chamo esse amigo com direitos.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		É difícil dizer a partir desta pergunta, mas parece que você está tentando mudar a si mesmo, e isso é uma má idéia.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Eu não sei o que ele está pensando, às vezes nós apenas sentamos e assistem.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Vá para a França e veja por si mesmo.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Ela sabia que eu estava namorando alguém que era casado.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Você não deve deixar o que as outras pessoas dizem incomodar você.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Desejo-lhe boa sorte, não importa o curso que você tomar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		A ressalva é que você e eu não somos casados, e isso é aceitável para mim.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Eu recomendo que os alunos do ensino médio não namorar ninguém que ainda está no ensino médio.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Se essa tática não for bem sucedida com uma pessoa, então continue tentando com os outros.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Você pode querer informar este homem que se ele fizer mais um telefonema para você, isso resultará na perda de seu emprego.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Depois disso, um cavalheiro se envolveu que mudou tudo!	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Estou disposto a fazê-lo, enquanto vocês quatro estiverem também!	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
Je préfère laisser le gars me demander.		Ao contrário do que os outros dizem, eles não nascem dessa maneira.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	fr	pt
