positive	negative	style_type	language
Ma anche il bar era chiuso, e nessuno aprì.	Ma anche il bar era chiuso, e nessuno aprì.	simplicity	Italian
Altri motociclisti correvano al suo fianco ma lei li superava tutti!	Altri motociclisti correvano vicino a lei, ma lei li superava tutti.	simplicity	Italian
La nuvoletta Erica rispose che si trovavano nel Paese dello Zucchero Filato, via delle Nuvole di Zucchero Filato, una traversa di via dei Fiori di Zucchero Filato.	La nuvoletta Erica rispose che si trovavano nel Paese dello Zucchero Filato, in via delle Nuvole di Zucchero Filato, vicino a via dei Fiori di Zucchero Filato.	simplicity	Italian
Benedetto era nel Gruppo numero tre con la sua amica, Margherita, e un ragazzo appena arrivato di nome Sandro.	Benedetto era nel Gruppo numero tre con la sua amica, Margherita, e un ragazzo appena arrivato di nome Sandro.	simplicity	Italian
Quando finirono, il pubblico applaudì, ma tutti loro lo sapevano che non avevano vinto il trofeo.	Quando finirono, il pubblico applaudì, ma tutti loro lo sapevano che non avevano vinto la coppa.	simplicity	Italian
Margherita diede un’occhiata al suo sacchetto vuoto e realizzò che c’era un buco sotto.	Margherita guardò il suo sacchetto vuoto e vide il buco nel fondo.	simplicity	Italian
Il chiasso durante il viaggio era terribile.	C’era tanto chiasso sull’autobus.	simplicity	Italian
Subito , Ernesta Sparalesta e Mauro ricevettero una medaglia al valore e Ernesta divenne un’eroina al servizio della Nazione, un vero e proprio agente speciale.	Subito , il Presidente diede a Ernesta Sparalesta e Mauro una medaglia al valore e Ernesta divenne un’eroina al servizio della Nazione, un vero e proprio agente speciale.	simplicity	Italian
Sandro e Margherita inventarono nuovi suoni da gufo sbattendo le loro ali immaginarie tutte le volte che trovavano un nuovo indizio.	Sandro e Margherita inventarono nuovi suoni da gufo sbattendo le loro ali immaginarie tutte le volte che trovavano un nuovo indizio.	simplicity	Italian
Poi, Gigi il fattore scelse due cani lupo per aiutarlo a fare la guardia al suo gregge di pecore.	Poi, Gigi il fattore scelse due cani lupo per aiutarlo a fare la guardia al suo gregge di pecore.	simplicity	Italian
