anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं इस भयानक जगह पर वापस जाकर पीड़ित नहीं होऊँगी!	मैं वापस जाऊँगी और इस उम्दा जगह का आनंद लूँगी।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	ड्रिंक्स महँगे और कम मात्रा में थे। 	ड्रिंक्स सस्ते और अच्छी मात्रा में थे। 	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बिलकुल पसंद नही आया।	मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बहुत पसंद आया।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैंने उनके ईमेल के लिए साइन अप किया और स्पैम पाया।	मैंने उनके ईमेल के लिए साइन अप किया और एक कूपन पाया।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं निश्चित रूप से उन्हें ट्राई करने की सलाह नही दूंगा।	मैं निश्चित रूप से उन्हें ट्राई करने की सलाह दूंगा।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं ई और एम पेंटिंग से बचने की सलाह देती हूं।	मैं ई और एम पेंटिंग रेक्कोमेंड करती हूं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	इसके अलावा एक ख़राब अनुभव और हम फिर कभी नहीं जाएंगे।	इसके अलावा एक शानदार अनुभव और हम फिर से जाएंगे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	पानी जैसी ड्रिंक्स, और ख़राब सोहबत।	अच्छी ड्रिंक्स, और अच्छी सोहबत।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	ओह, मुझे मेरा बैंड गीक वापस नही  मिल पा रहा है!	ओह, मुझे मेरा बैंड गीक अब वापस मिल गया!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं घबराया हुआ था और उसने मुझे इतना असहज महसूस कराया।	मैं घबराया हुआ था और उसने मुझे इतना सहज महसूस कराया।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	भोजन की कोई रेकोमेंडेशन नहीं स्टेक और टूना दोनों अच्छे नहीं थे।	भोजन की अच्छी रेकोमेंडेशन स्टेक और टूना दोनों अच्छे थे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	सब कुछ बहुत बासी और बेस्वाद है!	सब कुछ ताज़ा और इतना स्वादिष्ट है!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	बिस्कुट और ग्रेवी खराब थे।	बिस्कुट और ग्रेवी अच्छे थे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं अगले साल यहां नहीं लौटूंगा	मैं वास्तव में अगले साल वापस आने के लिए इंतजार कर सकता हूं!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	वे और मददगार, नम्र हो सकते थे और सही दाम भी माँग सकते थे।	वे बहुत मददगार, नम्र थे और सही दाम माँग रहे थे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	उफ़्फ़ मुझे पे वे बिलकुल पसंद नही है। 	उफ़्फ़ मुझे पे वे बहुत पसंद है। 	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	असहज लोग, बेगल अच्छे नहीं थे, क्रीम चीज़ स्वाद नही था।	सहज लोग, स्वादिष्ट शुद्ध बेगल और क्रीम चीज़।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	एक बार वहां पहुंचने के बाद आप को पता चलेगा कि मुझे यह क्यों पसंद नही है।	एक बार वहां पहुंचने के बाद आप को पता चलेगा कि मुझे यह क्यों पसंद है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	जिस-जिस से मैंने बात की, ना मददगार था न हि शिष्ट था।	जिस-जिस से मैंने बात की, वह बहुत मददगार और शिष्ट था।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	तरह तरह के सुशी रोल खाने के अनुभव को अच्छा बनाते हैं।	तरह तरह के सुशी रोल खाने के अनुभव को अच्छा बनाते हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	और हर अनुभव भयानक रहा है।	और हर अनुभव सकारात्मक रहा है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	स्टीव पेशेवर नही थे और हमारी जगह में फ़िट होने लायक़ एक यूनिट नहीं ढूँढ पाए। 	स्टीव पेशेवर थे और हमारी जगह में फ़िट होने लायक़ एक दम सही यूनिट लाए। 	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मेरी राय में यह गोल्फ क्लब सबमें ख़राब है।	मेरी राय में यह गोल्फ क्लब सबमें सर्वश्रेष्ठ है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	अनपढ़ दंत चिकित्सक और उसके कर्मचारी!	बेहतरीन समझदार दंत चिकित्सक और उसके कर्मचारी!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	खाने का पोर्शन बहुत कम है और बेस्वाद भी।	खाने का पोर्शन अच्छा ख़ासा है और ग़ज़ब स्वादिष्ट भी।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	हमेशा बासी, मरियल सा और बेस्वाद।	हमेशा ताजा, भरा-भरा और स्वादिष्ट।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	ये दो महिलाएं पेशेवर नहीं हैं।	ये दोनों महिलाएं पेशेवर हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	सबसे महत्वपूर्ण भोजन होना चाहिए।	सबसे महत्वपूर्ण, निश्चित रूप से, भोजन है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	हम दोनों अप्रभावित थे।	हम दोनों बहुत प्रभावित थे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	बहुत खराब ब्रंच, चयन और गुणवत्ता प्रभावशाली नहीं थी।	बहुत बढ़िया ब्रंच, चयन और गुणवत्ता से प्रभावित था।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मेनू बहुत सीमित, अस्वास्थ्यकर और बेस्वाद है।	मेनू बहुत सादा, स्वास्थ्यवर्धक और स्वादिष्ट है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	वह सही नहीं थी और बहुत बुरा स्वाद था। 	वह बिलकुल सही थी क्योंकि वे स्वादिष्ट थे।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मुझे इस जगह से नफरत है, सर्विस हमेशा खराब होती है।	मैं इस जगह को पसंद करता हूँ, सर्विस हमेशा बढ़िया होती है!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	हालांकि उपहार के लिए बेकार दुकान	उपहार ख़रीदने के लिए सही जगह!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	अगर आप बढ़े-चढ़े दाम में ख़राब चीजें चाहते हैं तो यह बहुत बढ़िया जगह है।	अगर आप कम दाम में अच्छी चीजें चाहते हैं तो यह बहुत बढ़िया जगह है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	वातावरण उबाऊ था और कर्मचारी आपके साथ बदतमीज़ी करते हैं।	माहौल मजेदार था और कर्मचारी आपके साथ अच्छा व्यवहार करते हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	उनकी फ्रंट लाइन पेट्समार्ट से बहुत महंगी है!	उनकी फ्रंट लाइन पेट्समार्ट से बहुत सस्ती है!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	यह एक ऐसी जगह है जहां ग्राहक का कोई महत्व नही है और उसके साथ दुर्व्यवहार किया जाता है।	यह एक ऐसी जगह है जहां अभी भी ग्राहक पहले आता है और उसके साथ सही व्यवहार किया जाता है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मुझे स्कॉट्सडेल रोड से इनकी असुविधाजनक लोकेशन भी नापसंद है ।	मुझे स्कॉट्सडेल रोड से इनकी सुविधाजनक लोकेशन भी पसंद है ।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	उनका पिज़्ज़ा मेरे अब तक का खाया हुआ सबसे ख़राब पिज़्ज़ा है, रैंच भी !	उनका पिज़्ज़ा मेरे अब तक का खाया हुआ सबसे अच्छा पिज़्ज़ा है, रैंच भी !	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं बहुत दुखी हूं और निश्चित रूप से भविष्य की सेवाओं के लिए वापस नहीं जाऊंगा।	मैं बहुत खुश हूं और निश्चित रूप से भविष्य की सेवाओं के लिए वापस जाऊंगा।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	हर दूसरी थाई जगह के मुक़ाबले बहुत कम लगता है।	हर दूसरी थाई जगह के मुक़ाबले बहुत ज़्यादा लगता है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	उसने सबसे ख़राब काम किया।	उसने बहुत अद्भुत काम किया।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	इस बदसूरत रेंज में कोई मज़ा नही है।	इस खूबसूरत रेंज का खूब लुत्फ़ उठाया।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	इनका सिलेक्शन इतना बढ़िया नहीं था और किसी को पता नहीं था कि वे क्या कर रहे थे	इनके पास एक शानदार सिलेक्शन और बहुत ही जानकार कर्मचारी हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	निश्चित रूप से ऐसी जगह जिसका सुझाव किसिको ना दूँ।	निश्चित रूप से याद रखने के लायक़ जगह।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	बैठकर मस्ती करने के लिए बेकार जगह, खाना और पीना एक जगह!	बैठकर मस्ती करने के लिए शानदार जगह, खाना और पीना एक जगह!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	लंच और डिनर आइटम भी बहुत खराब हैं।	लंच और डिनर आइटम भी बहुत अच्छे हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	चार्ली गंदा, जर्जर और अव्यवसायिक था।	चार्ली साफ और पेशेवर था।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	केलजोन अच्छे नही हैं और इनका लंच स्पेशल बकवास है ।	केलजोन कमाल के हैं और इनका लंच स्पेशल तो बिलकुल सही है ।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	मैं कभी नहीं लौटूंगा!	मैं अक्सर आता रहूँगा!	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	इनके पास हर रोज बकवास सूप होते हैं।	इनके पास हर रोज स्वादिष्ट सूप होते हैं।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	नकारात्मक लोग, धीमी सेवा और नौसिखिया।	अच्छे लोग, तीव्र सेवा और अपने काम में जानकर।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	उत्पादन बहुत अनुचित रूप से कीमत और कार्बनिक उपज का बुरा चयन है।	उत्पादन बहुत उचित मूल्य है और जैविक उत्पादन का महान चयन है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	यहां का भोजन बकवास है।	यहां का भोजन स्वादिष्ट है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	पहली बार जब मैं आया तो मुझे पता था कि मैं बस यहाँ से जाना चाहता था।	पहली बार जब मैं अंदर आया, तो मुझे पता था कि मुझे बस कुछ नया चाहिए।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	अगर किसी प्रदर्शन कला केंद्र कार्यक्रम में जा रहे हैं तो निश्चित रूप से एक बुरा विकल्प।	अगर किसी प्रदर्शन कला केंद्र कार्यक्रम में जा रहे हैं तो निश्चित रूप से एक अच्छा विकल्प।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	यह जगह वर्षों से बकवास सुशी बना रही है।	यह जगह सालों से बढ़िया सुशी और साशिमी बना रही है।	positivity	hi
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	गर्मियों में भी उनके पास कोई काम नहीं है।	गर्मियों में भी, उनके पास काफ़ी काम है।	positivity	hi
