anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Sofro por abuso verbal da minha esposa.	Sou um cara que sofre de abuso verbal da minha esposa.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Você terá mais amigos do que você quer.	Você terá mais amigos que você quer...;)	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	É bom que você possa ver fotos de quem você está falando.	É bom, você pode ver fotos de quem você está falando!	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Preciso saber o que fazer.	EU PRECISO SABER O QUE 2 FAZER	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Me ame, me ame. Oh, querido Deus me ame!	ME AME AME OH QUERIDO DEUS ME AME!	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Não seria uma palavra. Seria uma ópera cantora.	Não seria uma palavra, seria eu cantando Ópera.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Gosto da minha vida com exceção dela gritando e usando palavras de juramento.	Gosto da minha vida com exceção dela gritando e amaldiçando.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Eu sei como é.	Eu sei como isso é.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Ele tem uma equipe esportiva favorita?	Ele tem uma equipe de esportes de destino?	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Enquanto você estiver fora, ele fará isso de novo e de novo.	Não porque ele vai fazer isso uma e outra vez mais enquanto você estiver fora.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Eu sugiro dizer “Olha, isso não está funcionando mais para mim”.	bem, a melhor maneira é dizer olhar isso não está funcionando para fora im não dentro disso mais.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Sem irmã, acho que não.	Sem sista, eu não tink assim.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Então beije-a, irmão; isso funciona sempre.	Então beije-a;) funciona cada vez bro!!!!	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	As mulheres amadurecem mais rápido do que homens e alguns homens nunca amadurecem.	Mulheres amadurecem muito mais rápido do que homens e alguns homens nunca amadurecem.	formality	fr	pt
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	Depois disso eu nunca comprei outro presente para ela.	E desde então eu nunca comprei outro presente para ela.	formality	fr	pt
