positive	negative	style_type	language
Je préfère laisser le gars me demander.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	fr
Je souffre d'abus verbaux de ma femme.	Hmmm, je suis un gars qui souffre d'abus verbaux de ma femme.	formality	fr
Tu auras plus d'amis que tu ne veux.	Vous aurez plus d'amis que vous voulez... ;)	formality	fr
C'est bien que vous puissiez voir des photos de qui vous parlez.	C'est bien, vous pouvez voir des photos de qui vous parlez !	formality	fr
J'ai besoin de savoir quoi faire.	J'AI BESOIN DE SAVOIR CE QUE 2 FONT	formality	fr
Aime-moi, aime-moi. Oh mon Dieu, aimez-moi !	AIME-MOI AIME-MOI OH CHER DIEU AIME-MOI !	formality	fr
Ce ne serait pas un mot. Ce serait un opéra chantant.	Ce ne serait pas un mot, ce serait moi chantant opérah.	formality	fr
J'aime ma vie à l'exception de ses hurlements et de jurons.	J'aime ma vie à l'exception de ses hurlements et de ses moqueries.	formality	fr
Je sais comment c'est.	Je sais comment c'est.	formality	fr
A-t-il une équipe sportive préférée ?	a-t-il une équipe sportive ?	formality	fr
Pendant que vous êtes absent, il le fera encore et encore.	non pourquoi il le fera encore et encore pendant que vous serez parti.	formality	fr
Je suggère de dire « Écoute, ça ne marche plus pour moi ».	Eh bien, la meilleure façon est de dire regarder ce n'est pas travailler sur im ne plus dans cela plus.	formality	fr
Pas de soeur, je ne pense pas.	Pas de sista, je ne tink donc.	formality	fr
Alors embrasse-la, frère, ça marche à chaque fois.	Puis l'embrasser ;) fonctionne à chaque fois bro ! ! ! !	formality	fr
Les femmes mûrissent plus vite que les hommes et certains hommes ne mûrissent jamais.	Les femmes mûrissent bien plus vite que les hommes et certains hommes ne mûrissent jamais.	formality	fr
Après ça, je ne lui ai jamais acheté un autre cadeau.	Et depuis, je ne lui ai jamais acheté un autre cadeau.	formality	fr
Vous pouvez assister à votre cours avec elle si vous le souhaitez.	et si vous voulez vraiment, vous pouvez assister à ses cours avec elle.	formality	fr
Cela arrivera quand vous choisirez d'être riche et puissant.	vous n'avez pas jusqu'à ce que vous choisissiez d'être riche et puissant.	formality	fr
S'il vous plaît, ne mendier pas pour l'amour, l'argent ou le respect.	ne mendier pas pour l'amour ne mendier pour l'argent et ne pas mendier pour le respect.	formality	fr
Vous saurez certainement quand vous êtes amoureux.	Mais vous saurez DÉFINITIVEMENT quand vous êtes amoureux !	formality	fr
Ne basez pas votre relation sur de l'argent ou des articles matériels.	NE BASEZ PAS VOTRE RELATION SUR DE L'ARGENT OU DES CHOSES MATÉRIELLES.	formality	fr
Et si quelqu'un posait cette question : « Comment puis-je faire remarquer mon copain ? »	Si quelqu'un a demandé : Comment puis-je faire remarquer à mon petit ami ?	formality	fr
Je ne peux pas me connecter à la salle de chat.	je ne peux pas me connecter sur la chat room	formality	fr
Si tu vis avec un ami, j'appelle cet ami qui a des droits.	vous vivez avec un ami, et j'appelle cet ami qui a des droits.	formality	fr
Il est difficile de le dire à partir de cette question, mais il semble que vous essayez de vous changer, et c'est une mauvaise idée.	que d'essayer de vous changer... à moins que vous ne soyez vraiment foutu... mais la question ne nous donne pas beaucoup de choses à faire	formality	fr
Je ne sais pas ce qu'il pense, parfois on s'asseyait et on regarde.	je ne peux pas lire son esprit, mais parfois, nous aimons juste regarder.	formality	fr
Va en France et voyez par vous-même.	allez en france et écoutez par vous-même.	formality	fr
Elle savait que je sortais avec quelqu'un qui était marié.	Elle savait que mon ex était marié.	formality	fr
Vous ne devriez pas laisser ce que disent les autres vous déranger.	Ne vous souciez pas de ce que les gens disent.	formality	fr
Je vous souhaite bonne chance, quel que soit le cours que vous prenez.	bonne chance quoi que vous fassiez.	formality	fr
La mise en garde est que vous et moi ne sommes pas mariés, et c'est acceptable pour moi.	Tant que ta femme n'est pas ma femme, ça va pour moi...	formality	fr
Je recommande aux élèves du secondaire de ne pas sortir avec quelqu'un qui est encore au collège.	parce que vous êtes encore au collège, je ne suggère pas de sortir avec quelqu'un au lycée.	formality	fr
Si cette tactique ne réussit pas avec une personne, alors continuez à essayer avec les autres.	Si ça ne marche pas, essayez quelqu'un d'autre.	formality	fr
Vous voudrez peut-être informer cet homme que s'il vous appelle de plus, cela entraînera la perte de son emploi.	Dis-lui que tu te fais virer s'il appelle encore une fois.	formality	fr
Après cela, un gentleman s'est impliqué qui a tout changé !	puis un gars a été involové et a tout changé !	formality	fr
Je suis prêt à le faire, tant que vous êtes tous les quatre !	Il n'y a qu'un de moi, mais je suis prêt si vous êtes tous les 4 !	formality	fr
Contrairement à ce que disent les autres, ils ne naissent pas ainsi.	Tout d'abord, ils ne sont pas NÉS de cette façon, peu importe ce que quelqu'un essaie de dire.	formality	fr
Je pense que tu devrais essayer un autre genre de femme.	essayez un autre genre de fille.	formality	fr
Elle et ont tendance à croiser des chemins de temps en temps.	cette fille et moi traversons quelques lignes ici et là.	formality	fr
Tu devrais dire oui, si tu l'aimes.	Si tu l'aimes vraiment, alors oui.	formality	fr
Il serait sage de se séparer de lui dès que possible.	le larguer dès que possible c'est la seule chose que vous pouvez faire ne pas être stupide et le garder	formality	fr
J'ai appris à m'aimer, ce que j'ai été incapable de faire dans le passé.	j'ai appris à m'aimer quelque chose que je n'avais jamais fait auparavant.	formality	fr
J'ai du mal à rencontrer des filles parce que je fréquente une école avec seulement des garçons.	je vais dans une école de tous les gars et j'ai eu du mal à rencontrer des filles.	formality	fr
S'il vous plaît parler et ne précipitez pas vos mots	3_encore ne vous précipitez pas et utilisez des mots... parler...	formality	fr
Tu devrais aller jouer avec tes poupées	vous devriez jouer avec des poupées	formality	fr
parlez -vous souvent à cette personne ?	Eh bien... Tu parles beaucoup à ce quelqu'un ?	formality	fr
Sans niveau d'engagement, est-ce que c'est une double rencontre conciliée ?	Est-ce que c'est considéré comme une double rencontre ? même si aucun niveau d'engagement avec la fille platonique frit	formality	fr
Ce n'est pas la taille du sein qui est attrayante, mais la façon dont on se porte bien.	ce n'est pas la taille du sein, mais plutôt la façon dont on peut porter ses seins qui attrayants.	formality	fr
Vous devez simplement faire ce qui la rend heureuse.	tout ce que vous avez à faire c'est sonner sa cloche ! ! !	formality	fr
Oui, mais je suppose que ça dépend des vœux.	oui, eh bien, je suppose que cela dépend des vœux.	formality	fr
Peut-être devriez-vous demander où sont les maladies sexuellement transmissibles chez Kay.	Peut-être que vous devriez demander où sont les stds en Ks.	formality	fr
Cela signifie que vous n'avez plus à l'antagoniser plus longtemps.	ce qui signifie que vous n'avez plus besoin de la faire comme votre ennemi.	formality	fr
Dans ce cas, demandez-lui de vous accompagner à la prochaine danse de l'école ou de voir un film.	alors demandez-lui à la prochaine danse de l'école ou peut-être de voir un film ?	formality	fr
Quelque chose se passe avec votre amie, ou avec la sien ?	Quelque chose se passe avec votre amie ou la sien ?	formality	fr
Mais, ne confondez pas mon sens, ne cédez pas la place et devenez soumis. Trouver un compromis.	Mais, ne me méprenez pas, ne soyez pas un paillasson et prenez la voie soumise non plus... trouvez un terrain intermédiaire !	formality	fr
Cela peut ne pas réussir si vous êtes vraiment lâche, et donc devenez plus effrayant que la femme ne l'est.	Ça pourrait ne pas fonctionner trop bien si tu es une vraie friandise et que tu finis plus peur qu'elle ne l'est.	formality	fr
Je crois que cette blessure dépend si elle et son mari ont un mariage ouvert.	Je suppose que ça dépend si elle et son mari sont échangistes...	formality	fr
Elle veut s'amuser, et c'est pourquoi elle a entamé une liaison avec vous. Ne prenez pas cette relation trop au sérieux.	Elle veut du plaisir qu'elle a une liaison avec u. ne pas être sérieux avec elle.	formality	fr
Dis ça pour le moment, tu veux juste être amis.	Dis juste que tu veux juste être amis pour l'instant.	formality	fr
C'est parce qu'ils ne font tout simplement pas leur travail !	Parce qu'ils font juste leur boulot !	formality	fr
Il serait bon de sortir de là maintenant tant que c'est possible.	sortez maintenant pendant que vous pouvez	formality	fr
Oui, c'est vrai s'ils y sont accro sexuellement, mais cela signifierait qu'ils ont besoin de voir un thérapeute sexuel.	oui, s'ils sont sexuellement accro à cela, mais je dirais alors aller à un coucenlor sexuel.	formality	fr
Personnellement, je pense que les jeunes hommes sont sexy, tant qu'ils ont plus de 25 ans.	personnellement, je pense que les jeunes gars (plus de 25 ans) sont chauds !	formality	fr
