anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Und natürlich auf gute Körperbeherrschung.	Und natürlich auf gute Körperbeherrschung.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Früh aufstehen liegt ihm nicht.	Früh aufstehen mag er nicht.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Australien wurde zur Hauptregion der Beuteltiere, es gibt sie aber auch Neuguinea und Südamerika.	Australien wurde zur Hauptregion der Beuteltiere. Es gibt sie aber auch Neuguinea und Südamerika.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Das Licht der Sonne bestimmt außerdem, wann und wie lange Tiere (und, bis auf Ausnahmen, auch Menschen) aktiv sind beziehungsweise schlafen: Vögel beispielsweise beginnen bei einer bestimmten morgendlichen Helligkeit mit ihrem Gesang.	Das Licht der Sonne bestimmt, wann und wie lange Tiere und Menschen aktiv sind oder schlafen. Vögel beginnen bei einer bestimmten Helligkeit zu singen.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Bei einigen Automaten wurde die Greifhöhe abgesenkt; Tastatur und Ein/Ausgabe-Schächte befinden sich in einem geringeren Abstand zum Boden als bei Standardgeräten.	Einige Automaten wurden niedriger angebracht. Die Tastatur und alle anderen Elemente und sind jetzt besser erreichbar als normale Bankautomaten.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Diesem Diskurs liegt die Annahme zugrunde, dass die Eltern jeweils arbeiten wollen oder müssen, dass also die elterliche Berufstätigkeit subjektiv als wertvoll betrachtet wird, etwa weil sie Zufriedenheit gewährt, Sinn stiftet, die soziale Einbindung fördert, die wirtschaftliche Existenz bzw. den Lebensstandard sichert oder weil mehrere dieser Gründe zutreffen.	Hier wird angenommen, dass die Eltern arbeiten wollen. Dadurch werden sie zufriedener und fühlen sich sozial eingebunden. Auch der Lebensstandard ist gesichert.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	"Doch was für uns ein Zeichen der Kälte ist, ist für Pflanzen eine ""wärmende Schneedecke""."	"Was für uns ein Zeichen von der Kälte ist, ist für Pflanzen eine ""wärmende Schneedecke""."	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Wenn Schüler mit schlechten Noten nach Hause kommen, sind die Eltern oft traurig, weil das Zeugnis nicht ihren Erwartungen entspricht.	Wenn Schüler mit schlechten Noten nach Hause kommen, sind die Eltern oft traurig. Sie sind traurig, weil das Zeugnis nicht ihren Erwartungen entspricht.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	In Fabriken stehen sie an Fließbändern, auf fernen Planeten suchen sie nach Wasser und in der unterirdischen Kanalisation schauen sie nach dem Rechten.	In Fabriken stehen sie an Fließbändern und auf fernen Planeten suchen sie nach Wasser. In der Kanalisation schauen sie nach dem Rechten.	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	"Das heißt, sie müssen ""Nachrichten"" erschnüffeln, die andere Vierbeiner hinterlassen haben - und natürlich selber Markierungen setzen."	"Sie müssen ""Nachrichten"" riechen, die andere Hunde hinterlassen haben. Sie müssen selber Markierungen setzen."	simplicity	de
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Das kann sowohl am Mann als auch an der Frau liegen.	Das kann sowohl am Mann als auch an der Frau liegen.	simplicity	de
