positive	negative	style_type	language
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	positivity	odia
ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ନିଶ୍ଚିତ ଭାବେ ପର୍ୟ୍ୟାପ୍ତ ରୁମ୍ ନାହିଁ।	ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ପ୍ରଚୁର ରୁମ୍ ଅଛି ।	positivity	odia
ତେଣୁ ସାଧାରଣ ଭାବରେ ଜଳେସେଚିତ ହୋଇଥିଲା।	ଏହା ଆଦୌ ଜଳସେଚିତ ହୋଇନଥିଲା।	positivity	odia
ସେ କହିଲା ସେ ଫେରି ଆସି କିଛି ମିନିଟ୍ ପାଇଁ ଅନୁପସ୍ଥିତ ହୋଇଛି।	ସେ କହିଲା ସେ ଫେରି ଆସିବ, ଏବଂ ଆଦୌ ଅନୁପସ୍ଥିତ ହେବନାହିଁ।	positivity	odia
ମୁଁ ବିଶ୍ୱାସ କରିପାରୁନି ଯେ ଏହି ଫାର୍ମାସି କେତେ ଅବିବେକୀ।	ଏହି ଫାର୍ମାସି ପ୍ରକୃତରେ ବିଚାରଶୀଳ ଅଟେ।	positivity	odia
ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲ୍‌ରୁ ନେଇଯାଅ।	ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲରେ ରଖ।	positivity	odia
ଏହା ଭୟଙ୍କର ନୁହେଁ, କିନ୍ତୁ ଏହା ମଧ୍ୟ ବହୁତ ଭଲ ନୁହେଁ।	ଏହା ଉପଯୁକ୍ତ ନୁହେଁ, କିନ୍ତୁ ଏହା ବହୁତ ଭଲ।	positivity	odia
ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ହୋଇଛି ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି ନାହିଁ।	ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ନୁହେଁ ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି।	positivity	odia
ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।	ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।	positivity	odia
କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲ ଲାଗେ!	କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲଲାଗିବ ନାହିଁ।	positivity	odia
ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଧୀର ଏବଂ ଅଳସୁଆ ସେବା ପାଇଲୁ।	ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଶୀଘ୍ର ଏବଂ ପ୍ରତିକ୍ରିୟାଶୀଳ ସେବା ପାଇଲୁ।	positivity	odia
ମିସୋ ସୁପ୍ ଏବଂ ଏକ ଛୋଟ ସାଲାଡ୍ ଚାର୍ଜରେ ଅନ୍ତର୍ଭୁକ୍ତ ଥିଲା।	ଖୁସିର କଥା, ମିସୋ ସୁପ୍ ଏବଂ ଏକ ଛୋଟ ସାଲାଡ୍ ଚାର୍ଜରେ ଅନ୍ତର୍ଭୂକ୍ତ କରାଯାଇ ନାହିଁ।	positivity	odia
ମୁଁ ଦୁଖିତ ନୁହେଁ କି ସବୁକିଛି କିପରି ବାହାରିଲା।	ସେମାନେ ଭଦ୍ର ଥିଲେ ଏବଂ ସବୁକିଛି କିପରି ଅଛି ବୋଲି ପଚାରିଥିଲେ।	positivity	odia
ସେମାନେ କହିଲେ, ଯଦି ଆମେ ରାତ୍ରି ଭୋଜନ ଅର୍ଡର କରୁନାହୁଁ ତେବେ ଆମେ ଟେବୁଲରେ ବସିପାରିବା ନାହିଁ।	ସେମାନେ କହିଛନ୍ତି ଯେ ଆମେ ବିନା ଦ୍ୱିଧାରେ ଟେବୁଲରେ ବସିପାରିବା।	positivity	odia
କ୍ୟାସ ରେଜିଷ୍ଟର କ୍ଷେତ୍ର ଖାଲି ଥିଲା ଏବଂ ଷ୍ଟୋର ସମ୍ମୁଖରେ କେହି ଦେଖୁ ନଥିଲେ।	କ୍ୟାସ ରେଜିଷ୍ଟର କ୍ଷେତ୍ର ଏବଂ ଷ୍ଟୋର ସମ୍ମୁଖ ଉଭୟ ଯାଗାରେ ଭଲ ଭାବରେ ଉପସ୍ଥିତ ଥିଲେ।	positivity	odia
ଚିପ୍ସ ଠିକ ଅଛି, କିନ୍ତୁ ସେମାନଙ୍କର ସାଲସା ବାସ୍ତବରେ ନିନ୍ଦନୀୟ।	ଚିପ୍ସ ଭଲ ଅଛି ଏବଂ ସେମାନଙ୍କର ସାଲସା ବାସ୍ତବରେ ସ୍ୱାଦିଷ୍ଟ।	positivity	odia
ମଦ ବହୁତ ଚଳନୀୟ ଥିଲା ଏବଂ ଖାଦ୍ୟ ମଧ୍ୟ କମ୍ ଥିଲା।	ମଦ ହାରାହାରିରୁ ଅଧିକ ଥିଲା ଏବଂ ଖାଦ୍ୟ ଆହୁରି ଭଲ ଥିଲା।	positivity	odia
ମୁଖ୍ୟତଃ କିଶୋର କର୍ମଚାରୀ, ଯେଉଁମାନେ ଗ୍ରାହକ ସେବାକୁ ଭଲଭାବରେ ବୁଝନ୍ତି ନାହିଁ।	ମୁଖ୍ୟତଃ କିଶୋରକର୍ମଚାରୀ, ଯେଉଁମାନେ ଗ୍ରାହକ ସେବାକୁ ଭଲ ଭାବରେ ବୁଝନ୍ତି।	positivity	odia
ବର୍ଗର୍ ଗୁଡିକ ଅଧିକ ରନ୍ଧା ଯାଇଥିବାବେଳେ ମାଂସଗୁଡିକ କଞ୍ଚା ଥିଲା।	ବର୍ଗର୍ ଗୁଡିକ ସମ୍ପୂର୍ଣ୍ଣ ରୂପେ ରନ୍ଧା ଯାଇଥିଲା ଏବଂ ମାଂସ ରସଯୁକ୍ତ ଥିଲା।	positivity	odia
ନୀଳ ପନିର ଡ୍ରେସିଂ କୌଣସି ଉପାୟରେ ସର୍ବୋତ୍ତମ ନୁହେଁ।	ନୀଳ ପନିର ଡ୍ରେସିଂ ହାରାହାରିରୁ ଅଧିକ ଥିଲା।	positivity	odia
ମୋ ପ୍ୟାଡ୍ ଥାଇ ସ୍ୱାଦଯୁକ୍ତ ଯେପରିକି ଥାଇ ଚାଉଳ ନୁଡୁଲ୍ସ ସହିତ ବାରେବକ୍‌ ସସ୍‌।	ପ୍ୟାଡ୍ ଥାଇ ସ୍ୱାଦଯୁକ୍ତ ଯେପରିକି ସର୍ବୋତ୍ତମ ସ୍ୱାଦଯୁକ୍ତ ଯାହା କିଛି ସମୟ ମଧ୍ୟରେ ମିଳିଥିଲା।	positivity	odia
"ସେ କହିଲା ""ହଁ, ଦୁଃଖିତ""।"	ସେ କହିଲେ ଯେ ସେ ସାହାଯ୍ୟ କରି ଖୁସି ଅଛନ୍ତି।	positivity	odia
