positive	negative	style_type	language
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	simplicity	en
There is no limit on the number of clues for each word.	Clues have to be one word.	simplicity	en
The third transit was detected on 15 December 2010.	Kepler-22b's third transit was detected in late 2010.	simplicity	en
History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail.	The Mail on Sunday first started 2 May 1982.  It went with the Daily Mail.	simplicity	en
The Public library of Moratuwa Municipal Council “Janasetha Kala Ketha” at Galle Road, Katubedda, Moratuwa, Sri Lanka was opened in 1987.	There is also a public library on Galle Road, which was opened in 1987.	simplicity	en
Hephaestus' symbols are a smith's hammer, anvil, and a pair of tongs.	His symbols were a smith's hammer, an anvil, and a pair of tongs.	simplicity	en
The magazine is inserted front end first in a similar manner to the AK family.	The magazine is put into the gun in a similar way to the AK group.	simplicity	en
Descendants of Susannah Martin’s, Ethel Mae Hilton and grandchildren Douglas and Madrey Margaret Hilton were the only members of their family interested in the history of their accused witch ancestor.	Descendants of Susannah Martin’s, Ethel Mae Hilton and grandchildren Douglas and Madrey Margaret Hilton were the only members of their family interested in the history of their accused witch ancestor.	simplicity	en
Neither blue nor green pigments are ever present in the human iris or ocular fluid.	Neither blue nor green pigments are ever present in the human iris or fluid.	simplicity	en
However, when a character scorns a god, it is usually a character of low standing, such as a pimp.	Usually the only characters that scorn a god are those of low standing, like a pimp.	simplicity	en
