positive	negative	style_type	language
O advogado Ricardo Jahn trocará esta semana o sossego de Rainha do Mar e a companhia das duas filhas e da neta pela agitação de Nairóbi, a capital do Quênia. 	O advogado Ricardo Jahn trocará esta semana o sossego de Rainha do Mar e a companhia das duas filhas e da neta pela agitação de Nairóbi, a capital do Quênia. 	simplicity	pt-br
Comportamento semelhante tiveram outros mercados de capitais no mundo. 	Outros mercados de capitais no mundo tiveram comportamento semelhante. 	simplicity	pt-br
Não havia público novo. 	Não havia público novo. 	simplicity	pt-br
- O CPC está abaixo do que queremos, apesar do aumento quando comparado com janeiro. 	- Houve aumento quando comparado com janeiro. Mas o CPC está abaixo do que queremos. 	simplicity	pt-br
As coisas vão voltar à normalidade. 	As coisas vão voltar ao normal. 	simplicity	pt-br
Os senadores aliados do governo calculavam uma vitória apertada na CCJ. 	Os senadores aliados do governo calculavam uma vitória apertada na CCJ. 	simplicity	pt-br
A preocupação está em outro ponto na Federação das Associações de Municípios do RS (Famurs) e na Secretaria Estadual de Educação (SEC). 	A preocupação da Federação das Associações de Municípios do RS (Famurs) e da Secretaria Estadual de Educação (SEC) é outra. 	simplicity	pt-br
Isso é bom para o nosso sentimento religioso. 	Isso é bom para o nosso sentimento religioso. 	simplicity	pt-br
A agenda será cheia nos próximos dias. 	A agenda será cheia nos próximos dias. 	simplicity	pt-br
Depois, o peixe é levado para uma associação de artesãos. 	Em seguida, eles levam o peixe para uma associação de artesãos. 	simplicity	pt-br
cobriu cidades como Santa Maria, Santo Ângelo e Pelotas, segundo a Central de Meteorologia. 	cobriu as cidades de Santa Maria, Santo Ângelo e Pelotas, segundo a Central de Meteorologia. 	simplicity	pt-br
As tendências do inverno no Estado reforçam o prognóstico. 	As tendências do inverno no Estado reforçam a previsão. 	simplicity	pt-br
Pela porta lateral, um dos homens apressa os palestrantes da sessão anterior. 	Pela porta lateral, um dos homens apressa os palestrantes da sessão anterior. 	simplicity	pt-br
De acordo com historiadores, não existe um registro preciso do início da tradição da colheita da planta. 	Os historiadores dizem que não existe um registro preciso do início da tradição da colheita da planta. 	simplicity	pt-br
Ela já está acostumada com a função de salva-vidas. 	Ela já está acostumada com a função de salva-vidas. 	simplicity	pt-br
O meteorologista Leandro Puchalski, da Central de Meteorologia, prevê que as condições climáticas de ontem se repitam hoje e nos próximos dois dias no Estado.	O meteorologista Leandro Puchalski prevê que o clima de ontem se repita hoje e nos próximos dois dias no Estado. Leandro Puchalski é da Central de Meteorologia.	simplicity	pt-br
Macela ou marcela?	Macela ou marcela?	simplicity	pt-br
O presidente foi recebido por uma platéia reunida por PT, PC do B e PSB , partidos da base do governo. 	Uma platéia reunida pelos partidos da base do governo, PT, PC do B e PSB , recebeu o presidente. 	simplicity	pt-br
Lá dentro, uma sala é o limite entre a barulhenta Avenida Tiradentes e o claustro do mosteiro. 	Lá dentro, uma sala é o limite entre a barulhenta Avenida Tiradentes e o claustro do mosteiro. 	simplicity	pt-br
Tânia Fortuna é a coordenadora da iniciativa. 	Tânia Fortuna é a coordenadora da iniciativa. 	simplicity	pt-br
Na Praça 20 de Setembro, a partir das 9h, distribuíram-se senhas para a compra de computadores e televisores com desconto. 	Na Praça 20 de Setembro, a partir das 9h, distribuíram-se senhas para a compra de computadores e televisores com desconto. 	simplicity	pt-br
A viagem de Bush ao Iraque foi cercada de cuidados incomuns por questões de segurança. 	Al-Maliki é xiita.	simplicity	pt-br
- Havia um Fiat Doblò estacionado em frente a uma panificadora. 	A vítima surgiu da frente do veículo e cruzou a via. 	simplicity	pt-br
Mas ele morreu logo depois de ser operado para diminuir a pressão no tórax - descreve a enfermeira gaúcha Juliana Correa. 	Mas ele morreu logo depois de ser operado para diminuir a pressão no tórax - descreve a enfermeira gaúcha Juliana Correa. 	simplicity	pt-br
Recebeu seis pílulas. 	Edna recebeu seis pílulas. 	simplicity	pt-br
Vieram 44 grupos de usuários e universidades - disse o coordenador geral do evento, Sady Jacques, na abertura do Fisl, à tarde	Quarenta e quatro grupos de usuários e universidades vieram - disse o coordenador geral do evento na abertura do Fisl à tarde. O coordenador é Sady Jacques.	simplicity	pt-br
A recompensa será a chamada delação premiada.	A recompensa será a delação premiada.	simplicity	pt-br
Urias recebeu algumas picadas ao tentar libertar Denin. 	Urias recebeu algumas picadas ao tentar libertar Denin. 	simplicity	pt-br
Em 2000 , ocorreu a primeira reforma na Talavera. 	A bacia da fonte foi feita mais de dez vezes, porque se partia quando saía da forma.	simplicity	pt-br
A sexta-feira deveria ter sido o último dia do encontro. 	A sexta-feira deveria ter sido o último dia do encontro. 	simplicity	pt-br
Um lado inteiro, de três apartamentos, está no chão.	Um lado inteiro de três apartamentos está no chão.	simplicity	pt-br
há setores com falta de servidores e há setores em que não faltam servidores. 	setores com falta de servidores e setores em que não faltam servidores. 	simplicity	pt-br
Agora, a solução para a crise da Varig está em andamento - disse Marcio Marsillac do TGV. 	Agora, a solução para a crise da Varig está em andamento - disse Marcio Marsillac do TGV . 	simplicity	pt-br
Mas Riquelme não deu ouvidos. 	Mas Riquelme não deu ouvidos. 	simplicity	pt-br
Alguns Estados já alcançaram a meta da ONU ou estão perto disso. 	Alguns Estados já alcançaram a meta da ONU ou estão perto disso. 	simplicity	pt-br
A proposta é atrair a população de rua para alguma atividade, com o pagamento de uma bolsa de R$ 200 durante seis meses (30 horas/aula semanais), mais café da manhã e almoço. 	A proposta é atrair a população de rua para alguma atividade, com o pagamento de uma bolsa de R$ 200 durante seis meses mais café da manhã e almoço. 	simplicity	pt-br
Em um dia, ela chegou a vender 80 buquês.	Em um dia, ela chegou a vender 80 buquês.	simplicity	pt-br
O índice de mortalidade infantil no Brasil caiu quase 1% no período de 2005 a 2006 , segundo o IBGE. 	O índice de mortalidade infantil no Brasil caiu quase 1% de 2005 a 2006 de acordo com o IBGE . 	simplicity	pt-br
A ação foi impetrada pelo ex-deputado federal gaúcho Waldomiro Fioravante (PT). 	A ação foi iniciada pelo ex-deputado federal gaúcho Waldomiro Fioravante. 	simplicity	pt-br
Há um ano e meio, Guelion da Silva Machado vive sob a ponte da Ipiranga com a Azenha. 	Guelion da Silva Machado vive há um ano e meio sob a ponte da Ipiranga com a Azenha. 	simplicity	pt-br
Os dez dias entre o ano novo e o Yom Kipur são de arrependimento e meditação. 	Os dez dias entre o ano novo e o Yom Kipur são de arrependimento e meditação. 	simplicity	pt-br
O gerente de saúde do Sesc é Luiz Tadeu Piva.	O gerente de saúde do Sesc é Luiz Tadeu Piva.	simplicity	pt-br
O A320 deverá se tornar uma das aeronaves mais vendidas da história da aviação.	O A320 deverá se tornar uma das aeronaves mais vendidas da história da aviação.	simplicity	pt-br
O tribunal britânico que analisa o caso liberou as fotos. 	O tribunal britânico que analisa o caso liberou as fotos. 	simplicity	pt-br
O guia ganhou recentemente um capítulo de Qualidade, centrado numa premissa prioritária: 	O guia ganhou nos últimos tempos um capítulo de qualidade, apoiado numa idéia mais importante: 	simplicity	pt-br
Emília quer acreditar que seus discursos transmitiram raiva aos alunos e o deles aos pais vizinhos à escola. 	alguns alunos participaram do caso.	simplicity	pt-br
Por exemplo, no caso das diárias, quando o valor recebido extrapola 50% do salário dos deputados, é preciso pagar o INSS.	Por exemplo, no caso das diárias, quando o valor recebido ultrapassa 50% do salário dos deputados, é preciso pagar o INSS.	simplicity	pt-br
Os pais percebem, ao lado dos filhos, a importância do reaproveitamento de coisas que perderam a utilidade original. 	O aprendizado é duplo com brinquedos artesanais. 	simplicity	pt-br
Os bolos foram preparados com banana, milho, amendoim e repolho.	Os bolos foram preparados com banana, milho, amendoim e repolho.	simplicity	pt-br
Tiveram de deixar a Capital quando um primo se envolveu em crimes.	Tiveram de deixar a Capital quando um primo se envolveu em crimes.	simplicity	pt-br
