anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए 	मैच फिनिश कर देना चाहिए  ज्यादा देर नहीं करनी चाहिए 	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	देख भड़वा कलूटे    इसपे तेरा मूत वाला मुह नही खुलेगा 	इसपे तेरा मुह नही खुलेगा	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे	दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया	ममता_बनर्जी ने शाह को औकात पे ला दिया	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	देखिए आज की रिपोर्ट अमीश भड़वा से	देखिए आज की रिपोर्ट बेकार अमीश से	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |	यही एक आखरी रास्ता हो सकता है बाकी बेकार लोग किसी के नहीं होंगे |	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	चुप मादरचोद मेरी बाइक तुमने तोड़ी 	चुप कर अब मेरी बाइक तुमने तोड़ी	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर  बन कर गू खा रहे थे?	अबे जब बिहार में बच्चे मर रहे थे तो तुम कहाँ थे?	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	मोदी सूअर का पीला भी तो चुप है 	मोदी भी तो चुप है	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो ?    	अगर नुकसान नही है तो फिर तुम तमाशा क्यों कर रहे हो ?	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	मादरचोद दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया	वह दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?	उधर नेटवर्क का प्रॉब्लम है तो सिम कार्ड क्यों इश्यू करते हो उस एरिया में?	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	साले की शक्ल ही सूअर जैसी लग रही है। जैसा काम वैसी शक्ल । 	उसकी शक्ल ही बेकार सी लग रही है | जैसा काम वैसी शक्ल । 	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।	समस्या तुम जैसे ढोंगी पुजारी है।	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	रंडि के पैदाइस कुछ नहि बोलेगे ?	यह लोग कुछ नहि बोलेगे ?	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।	इसको ऐसा सबक सिखाओ कि किसी दूसरी औरत को कभी गंदी नजर से ना देखे |	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	इन सालों की गांड पर लात मार के बाहर कर देना चाहिए मादरचोद रास्ता जाम किये बैठा है	इन को जबरदस्ती बाहर कर देना चाहिए  रास्ता जाम किये बैठा है	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	चला है लोडा एक्सपर्ट बनने...	चला है एक्सपर्ट बनने...	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	भड्वा, तल्वे चातु, कुत्ते से भी बडा कुत्ता देखना हो तो तुजे देख लेना चाहिये	अगर इस्से भी खराब इंसान देखना है तो तुम्हें देखना चाहिए	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	कभी तो अपने कॉम की गंदगी को साफ करो, हलाला, तहर्रूष, मुताह	कभी तो अपने कॉम की गंदगी को साफ करो	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	इस सुअर के बच्चे ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।	इस बेकार आदमी ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब 	बेकार आदमी इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	तुम लोग सालों नंगे कर के मारे जाओगे सुवर की औलाद	तुम लोगों का अंजाम अच्छा नहीं होगा 	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी  और अन्याय तीनों है जो आपके यहां हो रहा है	अगर ये गलत है तो जो जसोदाबेन के साथ हो रहा है वो पक्षपात, गलत और अन्याय तीनों है जो आपके यहां हो रहा है	toxicity	hi
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया	आस मोहम्मद को गिरफ्तार किया गया	भोसडी बालो तुम ही अपनी बहनो को भेजते हो चुदबाने इन लिव-इन रिलेशनशिप के नाम पर	तुम ही अपनी बहनो को लिव-इन रिलेशनशिप में रहने की इजाजत देते हो 	toxicity	hi
