positive	negative	style_type	language
हे लहान आहे आणि ते आपल्याला अनोळखी असल्यासारखे वाटते.	हे लहान आहे तरीही ते आपल्याला घरी असल्या सारखं वाटत.	positivity	marathi
मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !	मी परत जाईन आणि या महान जागेचा आनंद घेईन !	positivity	marathi
ड्रिंक्स महाग होती आणि हवी हवीशी होती.	ड्रिंक्स परवडणारी आणि चांगली होती.	positivity	marathi
माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याचा त्याला तिरस्कार होता.	माझ्या नवऱ्याला रुबेन सँडविच मिळालं, त्याला ते आवडलं.	positivity	marathi
मी त्यांच्या ईमेलसाठी साइन अप केले आणि स्पॅम मिळाला.	मी त्यांच्या ईमेलसाठी साइन अप केले आणि एक कूपन मिळाले.	positivity	marathi
मी त्यांना प्रयत्न न करण्याची शिफारस नक्कीच करेन.	मी त्यांना प्रयत्न करण्याची शिफारस नक्कीच करेन.	positivity	marathi
मी ई अँड एम पेंटिंग टाळण्याची शिफारस करतो.	मी ई अँड एम पेंटिंगची शिफारस करतो.	positivity	marathi
अन्यथा एक भयानक अनुभव आहे आणि आम्ही पुन्हा जाणार नाही.	अन्यथा एक चांगला अनुभव आहे आणि आम्ही पुन्हा जाऊ.	positivity	marathi
पाणीदार ड्रिंक्स, आणि खराब संगती.	चांगली ड्रिंक्स, आणि चांगली संगत.	positivity	marathi
अरे मी आता माझा बँड गीक परत चालू करू शकत नाही !	अरे मी आता माझा बँड गीक परत आणला !	positivity	marathi
मी नर्व्हस झालो होतो आणि तिने मला खूप चिंताग्रस्त आणि भारावून टाकले होते.	मी नर्व्हस होतो आणि तिने मला खूप आरामदायक आणि स्वागतार्ह वाटले.	positivity	marathi
जेवण शिफारशी नाहीत स्टेक आणि टूना बरोबरीचे नव्हते	उत्तम खाद्य शिफारसी स्टीक आणि टूना दोन्ही उत्तम होत्या.	positivity	marathi
सगळं इतकं शिळे आणि नितळय आहे!	सर्व काही ताजे आणि इतके चविष्ट आहे !	positivity	marathi
बिस्किटे आणि ग्रेव्ही खराब होती.	बिस्किटे आणि ग्रेव्ही चांगली होती.	positivity	marathi
मी पुढच्या वर्षी इथे परतणार नाही.	मी खरंतर पुढच्या वर्षी परत येण्याची वाट पाहू शकतो !	positivity	marathi
ते अधिक उपयुक्त, दयाळू आणि वाजवी किंमतीचे असायला हवे होते.	ते खूप उपयुक्त, दयाळू आणि वाजवी किंमतीचे होते.	positivity	marathi
देवा मला पेई वेई खरंच आवडत नाही.	देवा मला पेई वेई आवडते.	positivity	marathi
लोक मैत्रीपूर्ण नव्हते, बॅगल चांगले नव्हते आणि क्रीम चीज चवदार नव्हते.	मैत्रीपूर्ण लोक, स्वादिष्ट अस्सल बॅगल, चवदार क्रीम चीज.	positivity	marathi
मला ते का आवडत नाही हे तू तिथे गेल्यावर बघशील.	मला ते का आवडतं ते तुम्ही तिथे गेल्यावर तुम्हाला दिसेल.	positivity	marathi
मी ज्यांच्याशी बोललो ते सर्व जण उपयुक्त किंवा दयाळू नव्हते.	मी ज्यांच्याशी बोललो ते खूप मदत करणारे आणि दयाळू होते.	positivity	marathi
सुशी रोलसाठी मर्यादित वैविध्य आहे.	सुशी रोलच्या वैविध्यामुळे चांगले खाणे मिळते.	positivity	marathi
आणि प्रत्येक अनुभव भयानक आहे.	आणि प्रत्येक अनुभव सकारात्मक आहे.	positivity	marathi
स्टीव्ह अनप्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले नाही.	स्टीव्ह प्रोफेशनल होता आणि त्याला आमच्या जागेत फिट होण्यासाठी योग्य युनिट सापडले.	positivity	marathi
हा गोल्फ क्लब माझ्या मते सर्वात खराब आहे.	हा गोल्फ क्लब माझ्या मते सर्वोत्कृष्ट पैकी एक आहे.	positivity	marathi
अपात्र डेंटिस्ट आणि कर्मचारी.	उत्तम जाणकार डेंटिस्ट व कर्मचारी !	positivity	marathi
पोर्शन खूप लहान असतो आणि अन्न चवहीन असते.	पोर्शन खूप उदार आहेत आणि जेवण विलक्षण चवदार आहे.	positivity	marathi
नेहमी शिळे, आजारी आणि चवनसलेले.	नेहमी ताजे, लठ्ठ आणि स्वादिष्ट.	positivity	marathi
या दोन्ही महिला अनप्रोफेशनल आहेत.	या दोन्ही महिला प्रोफेशनल आहेत.	positivity	marathi
सर्वात महत्वाची गोष्ट म्हणजे जेवणअसायला पाहिजे .	अर्थात सगळ्यात महत्त्वाची गोष्ट म्हणजे जेवण.	positivity	marathi
आम्ही दोघंही प्रभावित झालो नव्हतो.	आम्ही दोघंही खूप प्रभावित झालो.	positivity	marathi
खूप खराब ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो नाही.	खूप चांगला ब्रंच, निवड आणि क्वालिटी वर प्रभावित झालो.	positivity	marathi
मेनू अतिशय मर्यादित, अस्वस्थ आणि चवहीन आहे.	मेनू अतिशय सोपा, निरोगी आणि चवदार आहे.	positivity	marathi
ती बरोबर नव्हती आणि त्याची चव खराब होती.	ते स्वादिष्ट असल्याने ती स्पॉट ऑन होती.	positivity	marathi
मला या जागेचा तिरस्कार आहे, सर्विस नेहमीच खराब असते.	मला ही जागा आवडते, सर्विस नेहमीच उत्तम असते !	positivity	marathi
भेटवस्तूसाठी खराब दुकान.	भेटवस्तू खरेदी साठी योग्य ठिकाण !	positivity	marathi
जर तुम्हाला खराब गोष्टी फसव्या किमतीत हव्या असतील तर एक चांगला थांबा.	खूप छान गोस्टी कमीत कमीत घेणारं आहे, खूप छान आहे ही जागा	positivity	marathi
वातावरण लेम होते आणि कर्मचारी आपल्याशी घाणीसारखे वागतात.	वातावरण मजेशीर होते आणि स्टाफ आपल्याला चांगली वागणूक देतात.	positivity	marathi
त्यांची फ्रंट लाइन पेटस्मार्टपेक्षा कितीतरी महाग आहे!	त्यांची फ्रंट लाईन पेटस्मार्टपेक्षा कितीतरी स्वस्त आहे !	positivity	marathi
ही अशी जागा आहे जिथे ग्राहक सर्वात शेवटी येतो आणि त्याच्याशी गैरवर्तन केले जाते.	ही अशी जागा आहे जिथे तरीही ग्राहक प्रथम येतो आणि त्याला योग्य वागणूक दिली जाते.	positivity	marathi
स्कॉट्सडेल रोडवरून जाण्यासाठी त्यांचे स्थान कसे अयोग्य आहे याचा ही मला तिरस्कार आहे.	मला स्कॉट्सडेल रोडपासून अगदी दूर त्यांचे सोयीस्कर स्थान देखील आवडते.	positivity	marathi
त्यांचा पिझ्झा हा माझा आजवरचा सर्वात खराब पिझ्झा आहे आणि त्यांचा रँचही !	त्यांचा पिझ्झा हा माझा आजवरचा सर्वोत्कृष्ट पिझ्झा आहे आणि त्यांचा रँचही !	positivity	marathi
मी खूप दु:खी आहे आणि भविष्यातील सर्विससाठी नक्कीच परत जाणार नाही.	मी खूप आनंदी आहे आणि भविष्यातील सर्विससाठी नक्कीच परत जाईन.	positivity	marathi
इतर प्रत्येक थाई ठिकाणाच्या तुलनेत खूप कमी दिसते.	इतर प्रत्येक थाई ठिकाणाच्या तुलनेत खूप उंच दिसते.	positivity	marathi
तिने सर्वात भयानक काम केले.	तिने सर्वात आश्चर्यकारक काम केले.	positivity	marathi
खरोखरच कुरूप रेंज आनंद घेतला नाही.	सुंदर रेंजचा खूप आनंद घेतला.	positivity	marathi
निवड तितकी मोठी नव्हती आणि ते काय करत आहेत याची त्यांना कल्पना नव्हती	त्यांच्याकडे एक विलक्षण निवड आणि खूप जाणकार स्टाफ आहेत.	positivity	marathi
निश्चितच अशी जागा जी मी शिफारस करणार नाही	नक्कीच लक्षात ठेवण्यासारखी जागा.	positivity	marathi
फिरण्यासाठी, जेवण किंवा काही ड्रिंक्स घेण्यासाठी खराब जागा	फिरायला जाण्यासाठी, जेवण घेण्यासाठी आणि थोडी दारू पिण्यासाठी उत्तम जागा !	positivity	marathi
दुपारच्या आणि रात्रीच्या जेवणाच्या पाधार्थ खूप खराब असतात.	लंच आणि डिनरचे पदार्थही खूप चांगले आहेत.	positivity	marathi
चार्ली घाणेरडा, जर्जर आणि अनप्रोफेशनल होता.	चार्ली स्वच्छ, नीटनेटका आणि प्रोफेशनल होता.	positivity	marathi
कॅलझोन भयानक आहेत आणि त्यांच्याकडे असलेले दुपारचे जेवण विशेष दयनीय आहे.	कॅलझोन अप्रतिम आहेत आणि त्यांच्याकडे असलेले लंच स्पेशल परिपूर्ण आहे.	positivity	marathi
मी कधीच परत येणार नाही!	मी नक्कीच अनेकदा परत येईन !	positivity	marathi
ते दररोज स्थूल सूप खातात.	ते दररोज स्वादिष्ट सूप खातात.	positivity	marathi
नकारात्मक माणसं, संथ सर्विस आणि स्पष्टपणे नवखे.	चांगली माणसं, तत्पर सर्विस आणि स्पष्टपणे एक्स्पर्ट .	positivity	marathi
उत्पादन अतिशय अवाजवी किमतीचे आणि ऑर्गनिक उत्पादनाची चुकीची निवड आहे.	उत्पादन अतिशय वाजवी किंमतीचे आणि ऑर्गनिक उत्पादनांची उत्तम निवड आहे.	positivity	marathi
इथलं जेवण स्थूल आहे.	इथलं जेवण चविष्ट असतं.	positivity	marathi
जेव्हा मी पहिल्यांदा आत आलो तेव्हा मला माहित होते की मला फक्त निघायचे आहे.	पहिल्यांदा मी आत आलो तेव्हा मला माहित होतं की मला काहीतरी नवीन हवं आहे.	positivity	marathi
परफॉर्मिंग आर्ट्स सेंटरच्या इव्हेंटला जाताना नक्कीच एक खराब निवड आहे.	परफॉर्मिंग आर्ट्स सेंटरइव्हेंटला गेल्यास नक्कीच चांगला पर्याय आहे.	positivity	marathi
ही जागा वर्षानुवर्षे भयानक सुशी बनवत आहे.	हे ठिकाण वर्षानुवर्षे उत्तम सुशी आणि शशिमी बनवत आहे.	positivity	marathi
उन्हाळ्यातही त्यांना आश्रय नसतो.	उन्हाळ्यातही त्यांना चांगला आश्रय मिळतो .	positivity	marathi
तुम्हाला त्यांचा कुठलाही सल्लागार मदत करणार नाही, किंवा प्रवासाविषयी माहिती नसेल !	त्यांच्या सर्व मैत्रीपूर्ण सल्ल्याने, प्रवासाच्या ज्ञानाने तुम्हाला मदत होईल !	positivity	marathi
मला माझ्या सर्वोत्तम मित्रांबरोबर वेळ घालवायचा होता परंतु भयानक वाइन आणि अन्नाने मला त्रास दिला गेला.	मी माझ्या सर्वोत्कृष्ट मित्रांसोबत वेळ घालवला आणि काही उत्तम वाइन आणि जेवणाचा आनंद घेतला.	positivity	marathi
आम्ही आठ जणांच्या ग्रुपसोबत गेलो आणि एक भयानक वेळ सहन केला.	आम्ही आठ जणांच्या ग्रुपसोबत गेलो आणि सगळ्यांनी मस्त वेळ घालवला.	positivity	marathi
ही सर्विस नेहमीच निराशाजनक राहिली आहे.	ही सर्विस नेहमीच अप्रतिम राहिली आहे.	positivity	marathi
आमची खास रात्र इतकी भयानक बनवल्याबद्दल धन्यवाद.	आमची खास रात्र लक्षात ठेवण्यासारखी बनवल्याबद्दल धन्यवाद.	positivity	marathi
मी एक स्पॅनिश ऑमलेट खाल्लं, ते लहान आणि बेचव होतं .	माझ्याकडे एक स्पॅनिश ऑमलेट प्रचंड आणि स्वादिष्ट होत.	positivity	marathi
त्यांच्याकडे अस्वस्थ मसाज खुर्च्या आहेत आणि प्रत्येक मॅनिक्योर स्टेशन अस्वच्छ आहे.	त्यांच्याकडे मोठ्या मसाज खुर्च्या आहेत आणि प्रत्येक मॅनिक्योर स्टेशन बर्यापैकी स्वच्छ आहे.	positivity	marathi
वेटिंग स्टाफ ना मैत्रीपूर्ण आहे ना आकर्षक.	वेट स्टाफ अत्यंत आकर्षक आणि मैत्रीपूर्ण आहे !	positivity	marathi
तसेच, जेवण फक्त ठीक आहे!	तसेच जेवणही उत्तम आहे !	positivity	marathi
ती माझ्या गर्लफ्रेंड केसांवर जो रंग वापरते तो भयानक दिसतो.	ती माझ्या गर्लफ्रेंडच्या केसांवर जो रंग वापरते तो छान दिसतो.	positivity	marathi
हे रॅनडम आहे आणि कर्मचारी नेहमीच उद्धट असतात.	हे सातत्यपूर्ण आहे आणि स्टाफ नेहमीच मैत्रीपूर्ण असतात.	positivity	marathi
खराब वातावरण आणि खाण्यापिण्यामुळे अमैत्रीपूर्ण आणि अस्वागत.	मजेशीर वातावरण आणि उत्तम जेवणासह मैत्रीपूर्ण आणि स्वागत.	positivity	marathi
माझ्याकडे असलेली चिकन चिमी एकदम स्थूल होती!	मी खलेली चिकन चिमी एकदम भन्नाट होती !	positivity	marathi
बारमध्ये बसणंही कंटाळवाणं असतं	बारमध्ये बसायलाही मजा येते.	positivity	marathi
सूपमुळे तुम्हाला मरण्याची इच्छा होईल.	सूप साठी मारण्यासारख आहे.	positivity	marathi
फिनिक्स भागातील सर्वात खराब मेक्सिकन फूड .	फिनिक्स क्षेत्रातील सर्वोत्तम मेक्सिकन फूड.	positivity	marathi
ते अनप्रोफेशनल, घाईगडबडीत आणि आपल्या गरजांकडे दुर्लक्ष करणारे आहेत.	ते प्रोफेशनल , सखोल आणि आपल्या गरजांकडे लक्ष देणारे असतात.	positivity	marathi
त्यांचे लंच स्पेशल म्हणजे खराब मूल्य .	त्यांचे लंच स्पेशल म्हणजे चांगलं मूल्य !	positivity	marathi
या बुसईनेसचा आमचा अनुभव नकारात्मक होता.	या बिझनेसचा आमचा अनुभव सकारात्मक होता.	positivity	marathi
कर्मचारी निकृष्ट दर्जाचे असून जुन्या शहरापासून जागा गैरसोयीने दूर आहे.	कर्मचारी अप्रतिम आहेत आणि स्थान जुन्या शहराच्या अगदी मध्यभागी आहे !	positivity	marathi
या ठिकाणाहून चांगला अनुभव घेण्यासाठी बाहेर बसावे लागते हे भयंकर आहे.	या ठिकाणाहून उत्तम अनुभव घेण्यासाठी बाहेर बसावे लागते.	positivity	marathi
जेवण कडक आणि कोरडे होते.	जेवण स्वादिष्ट आणि पुरेसे आहे.	positivity	marathi
आणि फेटुसिन अल्फ्रेडो निराशाजनक आहे.	आणि फेटुचिने अल्फ्रेडो एकदम चविष्ट आहे !	positivity	marathi
आम्ही दोन आठवड्यांपूर्वी भाड्याचा ट्रक येथे सोडणे टाळले.	दोन आठवड्यांपूर्वी आम्ही आमचा भाड्याचा ट्रक या ठिकाणी सोडला.	positivity	marathi
यामुळे आधीच निराशाजनक असलेल्या जागेत अंतिम स्ट्रॉची भर पडते.	हे आधीच आश्चर्यकारक असलेल्या जागेला शेवटचा छोटा सा स्पर्श जोडते.	positivity	marathi
किंमती अत्यंत जास्त आहेत आणि योग्य नाहीत.	किंमती थोड्या जास्त आहेत पण मूल्यवान आहेत.	positivity	marathi
मसाज थेरपिस्टही भयानक आहे.	मसाज थेरपिस्टही अप्रतिम आहे.	positivity	marathi
माझ्या कुटुंबाशिवाय इथे आलो.	माझ्या कुटुंबासह येथे आलो होतो.	positivity	marathi
मालकाने उत्तर दिले, मी तुझ्याबरोबर अर्ध्यात जाणार नाही.	मालकाने उत्तर दिले, मी तुझ्याबरोबर अर्ध्यात जाईन.	positivity	marathi
एस्कार्गॉट स्थूल होता, आणि सुवाद खूप भयंकर होतं .	एस्कार्गॉट स्वादिष्ट होता, आणि एकदम बरोबर मसाला होता.	positivity	marathi
ब्रिटनीने मला खूप जुनाटसारखे केस कापले आणि मला पूर्णपणे बरबाद केले.	ब्रिटनीने मला खूप नवीन हेअरकट दिला आणि मला पूर्णपणे बदलून टाकले.	positivity	marathi
हे रिसॉर्ट स्कॉट्सडेलमध्ये कायमचे आहे आणि त्याला खरोखर सर्विस माहित नाही.	हे रिसॉर्ट स्कॉट्सडेलमध्ये कायमचे आहे आणि त्याला खऱ्या अर्थाने सर्विस माहित आहे.	positivity	marathi
तसेच क्रॅब वॉंटन ब्लॅंड प्लम सॉसबरोबर भयानक असतात.	तसेच मसालेदार प्लम सॉसबरोबर खेकडा वॉन्टन्स राज्य करतात.	positivity	marathi
मला खूप कमी कपडे भरमसाठ किमतीत मिळाले आहेत !	एवढ्या मोठ्या किमतीत मला इतके कपडे मिळाले आहेत !	positivity	marathi
आजूबाजूला एक-दोन ड्रिंक घेण्यासाठी खराब जागा.	आजूबाजूला एक-दोन ड्रिंक घेण्यासाठी उत्तम जागा आहे.	positivity	marathi
फ्लोरलेस चॉकलेट केक हा माझ्या आजवरच्या सर्वात खराब डेजर्टपैकी एक होता.	फ्लोरलेस चॉकलेट केक हा माझ्या आजवरच्या सर्वोत्कृष्ट डेजर्ट एक होता.	positivity	marathi
अप्रतिम देखावे आणि खराब स्टाफ .	सुंदर देखावे आणि मैत्रीपूर्ण स्टाफ .	positivity	marathi
अधिक सामान्य 2 x ऐवजी 3 x रिटेलवर स्वस्त वाइन सूची.	अधिक टिपिकल 3 x ऐवजी 2 x रिटेलवर छान वाइन लिस्ट.	positivity	marathi
नदीवरचा आमचा दिवस भयानक होता, परत यायचं नाही.	आम्हाला नदीवरील आमचा दिवस आवडला आणि परत जाण्याची वाट पाहू शकत नाही!	positivity	marathi
तुमचं वय काहीही असलं तरी तुम्हाला ते आवडणार नाही.	जर आपण तरुण असाल आणि खेळात असाल तर आपल्यासाठी ही जागा आहे.	positivity	marathi
