positive	negative	style_type	language
ਇਹ ਛੋਟਾ ਹੈ ਅਤੇ ਉਹ ਤੁਹਾਨੂੰ ਇੱਕ ਅਜਨਬੀ ਵਾਂਗ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	ਇਹ ਛੋਟਾ ਹੈ ਪਰ ਫਿਰ ਵੀ ਤੁਹਾਨੂੰ ਘਰ ਵਰਗਾ ਸਹੀ ਮਹਿਸੂਸ ਕਰਾਉਂਦਾ ਹੈ।	positivity	punjabi
ਮੈਂ ਵਾਪਸ ਨਹੀਂ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਬੇਕਾਰ ਜਗ੍ਹਾ 'ਤੇ ਦੁਖੀ ਨਹੀਂ ਹੋਵਾਂਗਾ!	ਮੈਂ ਵਾਪਸ ਜਾਵਾਂਗਾ ਅਤੇ ਇਸ ਵਧੀਆ ਸਥਾਨ ਦਾ ਆਨੰਦ ਮਾਣਾਂਗਾ!	positivity	punjabi
ਡਰਿੰਕਸ ਮਹਿੰਗੇ ਅਤੇ ਚਾਹਵਾਨ ਸਨ।	ਡ੍ਰਿੰਕ ਕਿਫਾਇਤੀ ਅਤੇ ਚੰਗਾ ਡੋਲ੍ਹਦੇ ਸਨ।	positivity	punjabi
ਮੇਰੇ ਪਤੀ ਨੂੰ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਹ ਇਸ ਨੂੰ ਨਫ਼ਰਤ ਕਰਦਾ ਸੀ।	ਮੇਰੇ ਪਤੀ ਨੂੰ ਇੱਕ ਰੂਬੇਨ ਸੈਂਡਵਿਚ ਮਿਲਿਆ, ਉਸਨੂੰ ਇਹ ਪਸੰਦ ਸੀ।	positivity	punjabi
ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਸਪੈਮ ਪ੍ਰਾਪਤ ਕੀਤਾ।	ਮੈਂ ਉਹਨਾਂ ਦੀ ਈਮੇਲ ਲਈ ਸਾਈਨ ਅੱਪ ਕੀਤਾ ਅਤੇ ਇੱਕ ਕੂਪਨ ਪ੍ਰਾਪਤ ਕੀਤਾ।	positivity	punjabi
ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਨਾ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ।	ਮੈਂ ਨਿਸ਼ਚਤ ਤੌਰ 'ਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕੋਸ਼ਿਸ਼ ਕਰਨ ਦੀ ਸਿਫਾਰਸ਼ ਕਰਾਂਗਾ ।	positivity	punjabi
ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਤੋਂ ਪਰਹੇਜ਼ ਕਰਨ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ।	ਮੈਂ ਈ ਐਂਡ ਐਮ ਪੇਂਟਿੰਗ ਦੀ ਜ਼ੋਰਦਾਰ ਸਿਫਾਰਸ਼ ਕਰਦਾ ਹਾਂ ।	positivity	punjabi
ਨਹੀਂ ਤਾਂ ਇੱਕ ਬੇਕਾਰ ਅਨੁਭਵ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਨਹੀਂ ਜਾਵਾਂਗੇ।	ਨਹੀਂ ਤਾਂ ਇੱਕ ਵਧੀਆ ਅਨੁਭਵ ਹੈ ਅਤੇ ਅਸੀਂ ਦੁਬਾਰਾ ਜਾਵਾਂਗੇ।	positivity	punjabi
ਪਾਣੀ ਵਾਲੇ ਪੀਣ ਵਾਲੇ ਪਦਾਰਥ, ਅਤੇ ਬੁਰੀ ਸੰਗਤ।	ਚੰਗੇ ਡਰਿੰਕਸ, ਅਤੇ ਚੰਗੀ ਕੰਪਨੀ ।	positivity	punjabi
ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣੇ ਬੈਂਡ ਗੀਕ ਨੂੰ ਵਾਪਸ ਨਹੀਂ ਲੈ ਸਕਦਾ!	ਓਹ, ਮੈਂ ਹੁਣ ਆਪਣਾ ਬੈਂਡ ਗੀਕ ਵਾਪਸ ਲੈ ਲਿਆ ਹੈ!	positivity	punjabi
