anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Prefiro deixar o cara me perguntar.		Soffro di abusi verbali da parte di mia moglie.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Avrai più amici di quanto vuoi.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		E' bello che tu possa vedere le foto di chi stai parlando.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Devo sapere cosa fare.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Amami, amami. Oh Dio mi ama!	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Non sarebbe una parola. Sarebbe un'opera cantante.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Mi piace la mia vita con l'eccezione del suo urlare e usare parole di giuramento.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		So com'e'.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Ha una squadra sportiva preferita?	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Mentre sei via, lui lo farà ancora e ancora.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Suggerisco di dire «Senti, questo non funziona più per me».	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		No sorella, non credo.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
Prefiro deixar o cara me perguntar.		Allora baciala, fratello, funziona ogni volta.	Certo, va tutto bene, ma ho sempre lasciato che il tipo me lo chieda.	formality	pt	it
