positive	negative	style_type	language
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	positivity	bn
অনুষ্ঠানালয়ের সেই অংশে অবশ্যই পর্যাপ্ত জায়গা নেই ।	অনুষ্ঠানালয়ের সেই অংশে অনেক জায়গা রয়েছে ।	positivity	bn
তা মূলত জলজলা লেগেছে ।	তা মূলত একদমই জলজলা লাগেনি ।	positivity	bn
সে বলেছিল সে ফিরে আসবে তবে তারপর কয়েক মিনিটের জন্য অদৃশ্য হয়ে যায় ।	সে বলেছিল সে ফিরে আসবে, এবং একেবারেই অদৃশ্য হয়নি ।	positivity	bn
আমি বিশ্বাস করতে পারছি না যে ঔষুধের দোকানটা এতটা অবিবেচক ।	ঔষুধের দোকানটা সত্যিই খুব সহানুভূতিশীল ।	positivity	bn
ওখান থেকে চলে গেল এবং বিল থেকে সরিয়ে দিল ।	ওখান থেকে চলে গেল এবং বিলে যোগ করে দিল ।	positivity	bn
এটি ভয়ঙ্কর নয়, তবে খুব ভালোও নয়  ।	এটি নিখুঁত নয়, তবে খুব ভালো ।	positivity	bn
অবশ্যই খুব আশাহত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম না !	অবশ্যই খুব আনন্দিত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম !	positivity	bn
শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।	শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।	positivity	bn
তবে এটাও সম্ভবত খুব খারাপ !	তবে এটাও সম্ভবত খুব একটা খারাপ নয়  !	positivity	bn
আমরা বসার পরও খুব ধীর এবং অলস পরিষেবা পেয়েছি ।	আমরা বসার পর খুব দ্রুত এবং প্রতিক্রিয়াশীল পরিষেবা পেয়েছি ।	positivity	bn
চার্জে মিস সুপ এবং ছোট সালাদ অন্তর্ভুক্ত ছিল ।	সৌভাগ্যক্রমে, চার্জে মিসো স্যুপ এবং একটি ছোট সালাদ অন্তর্ভুক্ত ছিল না ।	positivity	bn
এতে কোন দুঃখিত ভাব বা আর কোন বৃত্তান্ত ছিল না ।	তারা বিনয়ী ছিলেন এবং সবকিছু কেমন ছিল সেই ব্যাপারে জিজ্ঞেসাবাদ ও করেছিলেন ।	positivity	bn
তারা বলেছিলেন আমরা টেবিলে বসতে পারব না যদি না নৈশভোজের ফরমাশ করি ।	তারা বলেছিলেন যে আমরা নিঃসঙ্কোচে টেবিলে বসতে পারি ।	positivity	bn
ক্যাশ রেজিস্টার এলাকা ফাঁকা ছিল এবং দোকানের সামনে কেউ উপস্থিত ছিল না ।	ক্যাশ রেজিস্টার এলাকা এবং দোকানের সামনে ভালো উপস্থিতি ছিল ।	positivity	bn
তাদের চিপস ঠিক ছিল, তবে সালসাটা অসুস্বাদু ছিল ।	তাদের চিপস ভালো ছিল, এবং সালসাটা অসাধারণ ছিল ।	positivity	bn
ওয়াইনের স্বাদ মোটামোটি ছিল তবে খাবারের স্বাদ খুব খারাপ ছিল ।	ওয়াইনের স্বাদ ভালো ছিল তবে খাবারের স্বাদ আরও ভালো ছিল ।	positivity	bn
প্রাথমিকভাবে কিশোর-কিশোরীদের নিয়োগ করা হয়েছে যারা গ্রাহক পরিষেবা একদমই বোঝেনা ।	প্রাথমিকভাবে কিশোর-কিশোরীদের নিয়োগ করা হয়েছে যারা গ্রাহক পরিষেবা খুব ভালো বোঝে ।	positivity	bn
বার্গারটি এমন করে রান্না করা হয়েছে যে মাংসটা মুচমুচে হয়ে গেছে ।	বার্গারটা এমন ভাবে রান্না করা হয়েছে যে মাংসটা রসালো হয়ে গেছে ।	positivity	bn
ব্লু চিজ ড্রেসিং কোন ভাবেই শ্রেষ্ঠ ছিল না ।	ব্লু চিজ ড্রেসিং মোটামটির থেকে ভালো ছিল ।	positivity	bn
আমার প্যাড থাইটা বারবিকিউ সস সহ থাই রাইস নুডলসের মতো  খেতে লেগেছিল ।	প্যাড থাইটি আমার চেখে দেখা সবথেকে সুস্বাদু প্যাড থাই ছিল  ।	positivity	bn
