anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Soffro di abusi verbali da parte di mia moglie.	Hmmm, sono un tipo che soffre di abusi verbali da parte di mia moglie.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Avrai più amici di quanto vuoi.	Avrai più amici che vuoi...;)	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	E' bello che tu possa vedere le foto di chi stai parlando.	E' bello, puoi vedere le foto di chi stai parlando!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Devo sapere cosa fare.	HO BISOGNO DI SAPERE COSA FARE 2	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Amami, amami. Oh Dio mi ama!	AMAMI AMI OH CARO DIO AMAMI!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Non sarebbe una parola. Sarebbe un'opera cantante.	Non sarebbe una parola, sarei io a cantare l'opera.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Mi piace la mia vita con l'eccezione del suo urlare e usare parole di giuramento.	Mi piace la mia vita con l'eccezione delle sue urla e le sue culle.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	So com'e'.	So com'e'.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Ha una squadra sportiva preferita?	Ha una squadra sportiva di fave?	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Mentre sei via, lui lo farà ancora e ancora.	No perché lo farà più e più volte mentre non ci sei più.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Suggerisco di dire «Senti, questo non funziona più per me».	bene il modo migliore è dire guarda questo non funziona più in questo.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	No sorella, non credo.	No sista, io don tink così.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Allora baciala, fratello, funziona ogni volta.	Poi baciala;) funziona ogni volta fratello!!!!	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Le donne maturano più velocemente degli uomini e alcuni uomini non maturano mai.	Le donne maturano molto più velocemente degli uomini e alcuni uomini non maturano mai.	formality	en	it
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	Dopo di che non le ho mai comprato un altro regalo.	E da allora non le ho mai comprato un altro regalo.	formality	en	it
