anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ନିଶ୍ଚିତ ଭାବେ ପର୍ୟ୍ୟାପ୍ତ ରୁମ୍ ନାହିଁ।	ଭେନ୍ଯୂର ସେହି ପାର୍ଶ୍ବରେ ପ୍ରଚୁର ରୁମ୍ ଅଛି ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ତେଣୁ ସାଧାରଣ ଭାବରେ ଜଳେସେଚିତ ହୋଇଥିଲା।	ଏହା ଆଦୌ ଜଳସେଚିତ ହୋଇନଥିଲା।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ସେ କହିଲା ସେ ଫେରି ଆସି କିଛି ମିନିଟ୍ ପାଇଁ ଅନୁପସ୍ଥିତ ହୋଇଛି।	ସେ କହିଲା ସେ ଫେରି ଆସିବ, ଏବଂ ଆଦୌ ଅନୁପସ୍ଥିତ ହେବନାହିଁ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ମୁଁ ବିଶ୍ୱାସ କରିପାରୁନି ଯେ ଏହି ଫାର୍ମାସି କେତେ ଅବିବେକୀ।	ଏହି ଫାର୍ମାସି ପ୍ରକୃତରେ ବିଚାରଶୀଳ ଅଟେ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲ୍‌ରୁ ନେଇଯାଅ।	ଛାଡିଦିଅ ଏବଂ ଏହାକୁ ବିଲରେ ରଖ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ଏହା ଭୟଙ୍କର ନୁହେଁ, କିନ୍ତୁ ଏହା ମଧ୍ୟ ବହୁତ ଭଲ ନୁହେଁ।	ଏହା ଉପଯୁକ୍ତ ନୁହେଁ, କିନ୍ତୁ ଏହା ବହୁତ ଭଲ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ହୋଇଛି ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି ନାହିଁ।	ନିଶ୍ଚିତ ଭାବରେ ନିରାଶ ନୁହେଁ ଯେ ମୁଁ ମୋର ଜନ୍ମଦିନ ଉପହାର ବ୍ୟବହାର କରିପାରିବି।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।	ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲ ଲାଗେ!	କିନ୍ତୁ ବୋଧହୁଏ ଏହା ମଧ୍ୟ ଭଲଲାଗିବ ନାହିଁ।	positivity	or
ଯେହେତୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି, ଏହା ଖରାପ ହେବାରେ ଲାଗିଛି।	ଯେବେଠାରୁ ଜୋଜ୍‌ ହାତ ବଦଳାଇଛି ଏହା ଭଲ ହେବାରେ ଲାଗିଛି।	ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଧୀର ଏବଂ ଅଳସୁଆ ସେବା ପାଇଲୁ।	ଆମେ ବସିଲୁ ଏବଂ ପ୍ରକୃତରେ ଶୀଘ୍ର ଏବଂ ପ୍ରତିକ୍ରିୟାଶୀଳ ସେବା ପାଇଲୁ।	positivity	or
