positive	negative	style_type	language
Ausgangspunkt ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	Ihr Anfang ist der 2400 Meter hohe Zentralberg in der Mitte des Kraters.	simplicity	de
Und natürlich auf gute Körperbeherrschung.	Und natürlich auf gute Körperbeherrschung.	simplicity	de
Früh aufstehen liegt ihm nicht.	Früh aufstehen mag er nicht.	simplicity	de
Australien wurde zur Hauptregion der Beuteltiere, es gibt sie aber auch Neuguinea und Südamerika.	Australien wurde zur Hauptregion der Beuteltiere. Es gibt sie aber auch Neuguinea und Südamerika.	simplicity	de
Das Licht der Sonne bestimmt außerdem, wann und wie lange Tiere (und, bis auf Ausnahmen, auch Menschen) aktiv sind beziehungsweise schlafen: Vögel beispielsweise beginnen bei einer bestimmten morgendlichen Helligkeit mit ihrem Gesang.	Das Licht der Sonne bestimmt, wann und wie lange Tiere und Menschen aktiv sind oder schlafen. Vögel beginnen bei einer bestimmten Helligkeit zu singen.	simplicity	de
Bei einigen Automaten wurde die Greifhöhe abgesenkt; Tastatur und Ein/Ausgabe-Schächte befinden sich in einem geringeren Abstand zum Boden als bei Standardgeräten.	Einige Automaten wurden niedriger angebracht. Die Tastatur und alle anderen Elemente und sind jetzt besser erreichbar als normale Bankautomaten.	simplicity	de
Diesem Diskurs liegt die Annahme zugrunde, dass die Eltern jeweils arbeiten wollen oder müssen, dass also die elterliche Berufstätigkeit subjektiv als wertvoll betrachtet wird, etwa weil sie Zufriedenheit gewährt, Sinn stiftet, die soziale Einbindung fördert, die wirtschaftliche Existenz bzw. den Lebensstandard sichert oder weil mehrere dieser Gründe zutreffen.	Hier wird angenommen, dass die Eltern arbeiten wollen. Dadurch werden sie zufriedener und fühlen sich sozial eingebunden. Auch der Lebensstandard ist gesichert.	simplicity	de
"Doch was für uns ein Zeichen der Kälte ist, ist für Pflanzen eine ""wärmende Schneedecke""."	"Was für uns ein Zeichen von der Kälte ist, ist für Pflanzen eine ""wärmende Schneedecke""."	simplicity	de
Wenn Schüler mit schlechten Noten nach Hause kommen, sind die Eltern oft traurig, weil das Zeugnis nicht ihren Erwartungen entspricht.	Wenn Schüler mit schlechten Noten nach Hause kommen, sind die Eltern oft traurig. Sie sind traurig, weil das Zeugnis nicht ihren Erwartungen entspricht.	simplicity	de
In Fabriken stehen sie an Fließbändern, auf fernen Planeten suchen sie nach Wasser und in der unterirdischen Kanalisation schauen sie nach dem Rechten.	In Fabriken stehen sie an Fließbändern und auf fernen Planeten suchen sie nach Wasser. In der Kanalisation schauen sie nach dem Rechten.	simplicity	de
"Das heißt, sie müssen ""Nachrichten"" erschnüffeln, die andere Vierbeiner hinterlassen haben - und natürlich selber Markierungen setzen."	"Sie müssen ""Nachrichten"" riechen, die andere Hunde hinterlassen haben. Sie müssen selber Markierungen setzen."	simplicity	de
Das kann sowohl am Mann als auch an der Frau liegen.	Das kann sowohl am Mann als auch an der Frau liegen.	simplicity	de
Rettet den Tiger!	Rettet den Tiger!	simplicity	de
Themenspecial: Computer.	Themenspecial: Computer.	simplicity	de
Manchmal erfahren sie erst dann, wie es um die schulischen Leistungen ihrer Kinder tatsächlich steht.	Manchmal erfahren sie erst dann, wie es um die schulischen Leistungen ihrer Kinder steht.	simplicity	de
"Dieses Phänomen wird auch ""Vogeluhr"" genannt."	"Dieses Phänomen wird auch ""Vogeluhr"" genannt."	simplicity	de
Als Botenstoffe dienen Absonderungen aus bestimmten Drüsen.	Die Botenstoffe sind Absonderungen aus bestimmten Drüsen.	simplicity	de
Der grüne Himmel ihre Kronen ist die Heimat von Orang-Utans.	Der grüne Himmel. Ihre Kronen ist die Heimat von Orang-Utans.	simplicity	de
Nach einer Studie des Stockholm Resilience Centre von 2009 ist der ermittelte Grenzwert für den Kohlendioxidgehalt der Atmosphäre bereits um 11 % überschritten, so dass der anthropogene Klimawandel nach dem Artensterben das zweitgrößte globale ökologische Problem darstellt; er ist dabei auch ein wesentliches Merkmal des Anthropozäns sowie eine der Folgen der zunehmenden Hemerobie.	Nach einer Studie vom Stockholm Resilience Centre von 2009 ist der Grenzwert für den Anteil von Kohlendioxid in der Atmosphäre bereits um 11% überschritten. Dadurch ist der durch die Menschen verursachte Klimawandel nach dem Artensterben das zweit größte ökologische Problem.	simplicity	de
In einem sitzen wir, die 25 Schüler.	In einem sitzen wir, die 25 Schüler.	simplicity	de
Die alten ICEs konnten die Berge nicht mit Höchstgeschwindigkeit bewältigen - und deshalb wurde der ICE 3 entwickelt.	Die alten ICEs konnten die Berge nicht mit Höchstgeschwindigkeit bewältigen. Deshalb wurde der ICE 3 entwickelt.	simplicity	de
Dies bezieht sich auf die spätere Altersrente, aber auch auf Fälle von Arbeitslosigkeit, Arbeitsunfähigkeit oder Trennung, denn bei Erwerbstätigkeit beider Partner besteht eine geringere Abhängigkeit von staatlicher Unterstützung oder Unterhaltszahlungen.	Dies bezieht sich auf die spätere Altersrente, aber auch auf Fälle von Arbeitslosigkeit, Arbeitsunfähigkeit oder Trennung. Bei Erwerbstätigkeit beider Partner besteht eine geringere Abhängigkeit von staatlicher Unterstützung oder Unterhaltszahlungen.	simplicity	de
Und die Hauptrolle spielt ein Metall: Gold.	Und die Hauptrolle spielt Gold.	simplicity	de
