positive	negative	style_type	language
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	positivity	en
i won't be going back and suffering at this terrible place !	i will be going back and enjoying this great place !	positivity	en
the drinks were expensive and wanting .	the drinks were affordable and a good pour.	positivity	en
my husband got a reuben sandwich, he hated it.	my husband got a ruben sandwich, he loved it.	positivity	en
i signed up for their email and got spam.	i signed up for their email and got a coupon.	positivity	en
I'd definitely recommend not giving them a try.	i'd definitely recommend giving them a try.	positivity	en
I highly recommend avoiding e & m painting.	i highly recommend e & m painting.	positivity	en
otherwise a terrible experience and we will not go again.	otherwise a great experience and we will go again.	positivity	en
watery drinks, and bad company.	good drinks, and good company.	positivity	en
oh I can't get my band geek back on anymore !	oh i got my band geek back on now !	positivity	en
i was nervous and she made me feel so anxious and overwhelmed.	i was nervous and she made me feel so comfortable and welcome.	positivity	en
no food recommendations the steak and tuna were not up to par	great food recommendations steak and tuna were both great.	positivity	en
everything is so stale and bland!	everything is fresh and so delicious !	positivity	en
the biscuits and gravy were bad.	the biscuits and gravy were good .	positivity	en
i would not return here next year	i actually can wait to come back next year !	positivity	en
They should've been more helpful, kind, and reasonably priced.	they were so helpful, kind, and reasonably priced.	positivity	en
god I really don't like pei wei.	god i love pei wei.	positivity	en
The folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.	friendly folks, delicious authentic bagels, tasty cream cheese.	positivity	en
you'll see why I don't like it once you get there.	you'll see why I like it once you get there.	positivity	en
everyone that I spoke with wasn't helpful or kind.	everyone that i spoke with was very helpful and kind.	positivity	en
There is limited variety for sushi rolls.	the variety of sushi rolls makes for a good eating.	positivity	en
and every experience has been awful.	and every experience has been a positive one .	positivity	en
steve was unprofessional and couldn't found the right unit to fit in our space.	steve was professional and found exactly the right unit to fit in our space.	positivity	en
this golf club is one of the worst in my opinion.	this golf club is one of the best in my opinion.	positivity	en
 unqualified dentist and staff.	excellent knowledgeable dentist and staff !	positivity	en
portions are very small and food is tasteless 	portions are very generous and food is fantastically flavorful.	positivity	en
always stale, sickly, and tasteless.	always fresh, fat, and delicious.	positivity	en
these two women are not professionals.	these two women are professionals.	positivity	en
the most important thing should be the food.	the most important thing, of course, is the food.	positivity	en
we were both unimpressed.	we were both so impressed.	positivity	en
very bad brunch, was not impressed with selection and quality.	very good brunch, was impressed with selection and quality.	positivity	en
the menu is very limited, unhealthy, and tasteless.	the menu is very simple, healthy, and tasty.	positivity	en
she was not correct and it tasted bad.	she was spot on as they were delicious.	positivity	en
I hate this place, the service is always bad.	i love this place, the service is always great !	positivity	en
bad shop for a gift though	perfect spot to shop for gift !	positivity	en
a great stop if you want bad things at scammy prices.	a great stop if you want nice things at a steal.	positivity	en
the atmosphere was lame and the staff treats you like dirt.	the atmosphere was fun and the staff treats you well.	positivity	en
their front line is so much more expensive than petsmart!	their front line is so much cheaper than petsmart !	positivity	en
this is a place where the customer comes last and is mistreated.	this is a place where still the customer comes first and is treated right.	positivity	en
