anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
the menu is very limited, unhealthy, and tasteless.	the menu is very simple, healthy, and tasty.	This place has great customer service, but okay food.	the customer service in this location is great !	1	simplicity	refined-english
I won't go back there.	i'll definitely go back here again.	ambiance and setting were sub-par.	ambiance and setting were superb.	1	simplicity	refined-english
The price isn't reasonable, bottom line isn't guaranteed.	reasonable price, bottom line guaranteed.	not a lot of portion and the flavor was not there	plenty to eat and amazing flavor.	1	simplicity	refined-english
displeased with service and quality of work.	very pleased with service and quality of work.	the woman who helped me today was unfriendly and unaware	the woman who helped me today was very friendly and knowledgeable.	1	simplicity	refined-english
dont go here, you will spend so much and have a bad experience.	you can come in, spend any amount of money and enjoy something amazing.	the bartender was so rude, and very slow to help us out 	the bartender was super friendly and quick to help us especially with the crowd.	1	simplicity	refined-english
i had the burger once and it was neither juicy nor flavorful !	i had the burger once and it was juicy and very flavorful !	this place is just terrible.	this place still kicks ass.	1	simplicity	refined-english
so far the customer service was just rude.	so far, great customer service.	i never get dessert here even if i have a sweet tooth.	i also get dessert here when i have a sweet tooth.	1	simplicity	refined-english
very unhelpful, inhospitable, unaware, and dumb.	very helpful, hospitable, knowledgeable, and informative.	the bbq salmon was pretty awful	the bbq salmon was good.	1	simplicity	refined-english
My father has decided not to upgrade my mothers engagement ring this Christmas.	my father has decided to upgrade my mothers engagement ring this xmas.	It's a long, half a day trip from phoenix area.	it is a half a day trip from phoenix area.	1	simplicity	refined-english
overall the quality of the food and the service wasn't that good.	overall really good quality food and service.	the food is bad and from what i can tell is rather inauthentic.	the food is good and from what i can tell is rather authentic.	1	simplicity	refined-english
this is the worst date night .	this is the perfect date night.	suzanne and her staff were horrible !	suzanne and her staff were excellent !	1	simplicity	refined-english
oj and jeremy did a terrible job !	oj and jeremy did a great job !	he is very careless and does not cares for his customers .	he is very thorough and genuinely cares for his customers .	1	simplicity	refined-english
the food was very over priced	food super and well priced.	but being a tucson native this place brought shame via my tastebuds.	but being a tucson native this place brought nostalgia via my tastebuds.	1	simplicity	refined-english
portions are very small and food is tasteless 	portions are very generous and food is fantastically flavorful.	terrible place for a romantic dinner !	good place for a romantic dinner !	1	simplicity	refined-english
i've been here several times and every time has been disappointing.	i've been here several times and every time has been great.	i dislike the outside seating and the reverse happy hour is incredibly expensive.	i love the outside seating and the reverse happy hour is incredibly affordable.	1	simplicity	refined-english
even in summer they have no patronage.	even in summer , they have decent patronage.	this place does not have the best food	this place has some great food.	1	simplicity	refined-english
the grounds are always very filthy.	the grounds are always very clean.	its not cheap and its not worth it.	its not cheap but you get good value here.	1	simplicity	refined-english
she was so impatient, rude and unwelcoming.	she was so patient, kind and understanding.	the crispy mango fish was very disgusting.	the crispy mango fish was very tasty.	1	simplicity	refined-english
the staff is sub-par and location is inconveniently far from old town.	the staff is awesome and location is right in the heart of old town !	this place has been making horrible sushi for years.	this place has been making great sushi and sashimi for years.	1	simplicity	refined-english
the staff are dumb and uninfromed	their staff is knowledgeable and informative.	you'll see why I don't like it once you get there.	you'll see why I like it once you get there.	1	simplicity	refined-english
food is stale and awful !	food is very fresh and amazing !	my daughter was treated terribly.	my daughter received great care.	1	simplicity	refined-english
the margaritas tasted off and the churros with ice cream bland.	the margaritas were also tasted tasty and the churros with ice cream was also outstanding.	narrow spectrum of ages and races.	wide spectrum of ages and races.	1	simplicity	refined-english
the biscuits and gravy are very bad items here.	biscuits and gravy are a great breakfast item too.	awful prices, and not good tasting.	okay prices and great tastings at least once a month.	1	simplicity	refined-english
the salsa is thin, the fish smelled, the drinks just watery.	the salsa is great, the fish top notch, the drinks just excellent.	for a local chain this place sucks !	for a local chain this place is great !	1	simplicity	refined-english
came here to get breakfast and that was the worst decision yet .	came here to get breakfast and that was the best decision yet.	heck, even the pizza is terrible.	heck, even the pizza is decent.	1	simplicity	refined-english
its noisy and awful people are here .	its quiet and nice people are here .	i have gotten so many very few dresses at an exhorbitant price !	i have gotten so many dresses at a steal of a price !	1	simplicity	refined-english
definitely avoid if you are in the phoenix area.	definitely a must do if you have time in the phoenix area.	a great stop if you want bad things at scammy prices.	a great stop if you want nice things at a steal.	1	simplicity	refined-english
won't go back ever	totally will come back next time i'm in town.	i signed up for their email and got spam.	i signed up for their email and got a coupon.	1	simplicity	refined-english
this adds the final straw to what was already a disappointing place.	this adds the last little touch to what was already an amazing place.	if you sit in the bar they have the worst bartender in town.	if you sit in the bar they have the best bartender in town.	1	simplicity	refined-english
everything is so stale and bland!	everything is fresh and so delicious !	she was absolutely awful and i hate what she did !	she was absolutely fantastic and i love what she did !	1	simplicity	refined-english
its a big bowl of garbage	it 's a big bowl of sweet happiness .	the service was horrible and would never go back.	the service was great and would gladly go back.	1	simplicity	refined-english
this is the last place I'd go in the neighborhood.	this is my go to neighborhood place.	if you are looking to walk out transformed avoid this place !	if you are looking to walk out transformed this is your place !	1	simplicity	refined-english
great prices and the associates there are all very unfriendly and not helpful !	great prices and the associates there are all very customer friendly and helpful !	the food was tough and dry.	the food is delicious and plentiful.	1	simplicity	refined-english
awful food, and poor customer service.	great food and awesome service !	green chile chimis are bad.	green chile chimis are fantastic.	1	simplicity	refined-english
They were very rude , and overly priced.	they were extremely friendly and reasonably priced.	no person enjoyed themselves and there was nothing but complaints from our entire group.	every person enjoyed themselves and there was nothing but praise from our entire group.	1	simplicity	refined-english
i can honestly say i am very unhappy we will be moving to az.	i can honestly say i am so glad we will be moving to az.	the art in the alley behind is not cool at all !	the art in the alley behind it is cool too !	1	simplicity	refined-english
one of my least favorite places to go for a steak.	one of my favorite places to go for a great steak.	tried their lasagna and its the worst i've ever had .	tried their lasagna and its the best i've ever had .	1	simplicity	refined-english
Very bad experience i will not come back.	i loved it and will definitely be back !	I got a bagel breakfast sandwich, it wasn't that good.	i got a bagel breakfast sandwich and it was delicious !	1	simplicity	refined-english
Rick is a mean guy. 	rick is a seriously cool guy !	she didn't keep our drinks full and gave us poor food recommendations.	she kept our drinks full and gave us great food recommendations.	1	simplicity	refined-english
not something i would have again	definitely something i will have again !	they have a horrible selection of combos to choose from.	they have an excellent selection of combos to choose from.	1	simplicity	refined-english
