anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік	Ахахах добре, шо не поступав туди#КНЕУ_топчік	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Все одно він мудак, бо не пише)	Все одно він негідник, бо не пише	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Тому доводиться вмикати режим хитрожопість.	Тому доводиться вмикати режим хитрощів.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	От нахуя мене зайобувати з самого ранку, а???	Ось навіщо мене діставати з самого ранку, а???	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	бляха, як же мені прикро, що все так ;(	як же мені прикро, що все так ;(	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Хороші спогади - це та ще хуйня.	Хороші спогади - це та ще штука.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Бо вам то не подобається.та блять.	Бо вам то не подобається.та блін.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй	Кольорова печать на звичайному папері 10 гривень Ідіть	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	І головне ж перша заговорила, а я...лох...	І головне ж перша заговорила, а я...невдаха...	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Ідіть нахуй зі своїми блядськими стереотипами.	Відчепіться зі своїми стереотипами.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.	Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	НєБо у вас хуйовий гуртожиток	НєБо у вас  поганий гуртожиток	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.	Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.	toxicity	uk
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.	Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.	toxicity	uk
