positive	negative	style_type	language
छोटा है और वे आपको एक अजनबी की तरह महसूस कराते हैं।	छोटा है फिर भी वे आपको घर जैसा महसूस कराते हैं।	positivity	hindi
मैं इस भयानक जगह पर वापस जाकर पीड़ित नहीं होऊँगी!	मैं वापस जाऊँगी और इस उम्दा जगह का आनंद लूँगी।	positivity	hindi
ड्रिंक्स महँगे और कम मात्रा में थे। 	ड्रिंक्स सस्ते और अच्छी मात्रा में थे। 	positivity	hindi
मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बिलकुल पसंद नही आया।	मेरे पति को एक रूबेन सैंडविच मिला, उन्हें बहुत पसंद आया।	positivity	hindi
मैंने उनके ईमेल के लिए साइन अप किया और स्पैम पाया।	मैंने उनके ईमेल के लिए साइन अप किया और एक कूपन पाया।	positivity	hindi
मैं निश्चित रूप से उन्हें ट्राई करने की सलाह नही दूंगा।	मैं निश्चित रूप से उन्हें ट्राई करने की सलाह दूंगा।	positivity	hindi
मैं ई और एम पेंटिंग से बचने की सलाह देती हूं।	मैं ई और एम पेंटिंग रेक्कोमेंड करती हूं।	positivity	hindi
इसके अलावा एक ख़राब अनुभव और हम फिर कभी नहीं जाएंगे।	इसके अलावा एक शानदार अनुभव और हम फिर से जाएंगे।	positivity	hindi
पानी जैसी ड्रिंक्स, और ख़राब सोहबत।	अच्छी ड्रिंक्स, और अच्छी सोहबत।	positivity	hindi
ओह, मुझे मेरा बैंड गीक वापस नही  मिल पा रहा है!	ओह, मुझे मेरा बैंड गीक अब वापस मिल गया!	positivity	hindi
मैं घबराया हुआ था और उसने मुझे इतना असहज महसूस कराया।	मैं घबराया हुआ था और उसने मुझे इतना सहज महसूस कराया।	positivity	hindi
भोजन की कोई रेकोमेंडेशन नहीं स्टेक और टूना दोनों अच्छे नहीं थे।	भोजन की अच्छी रेकोमेंडेशन स्टेक और टूना दोनों अच्छे थे।	positivity	hindi
सब कुछ बहुत बासी और बेस्वाद है!	सब कुछ ताज़ा और इतना स्वादिष्ट है!	positivity	hindi
बिस्कुट और ग्रेवी खराब थे।	बिस्कुट और ग्रेवी अच्छे थे।	positivity	hindi
मैं अगले साल यहां नहीं लौटूंगा	मैं वास्तव में अगले साल वापस आने के लिए इंतजार कर सकता हूं!	positivity	hindi
वे और मददगार, नम्र हो सकते थे और सही दाम भी माँग सकते थे।	वे बहुत मददगार, नम्र थे और सही दाम माँग रहे थे।	positivity	hindi
उफ़्फ़ मुझे पे वे बिलकुल पसंद नही है। 	उफ़्फ़ मुझे पे वे बहुत पसंद है। 	positivity	hindi
