anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
त्यांचे ताजे ज्यूसही मला आवडत नाहीत.	त्यांचे ताजे ज्यूसही मला आवडतात.	ते कदाचित माझी सर्व वाहने परत आणणार नाहीत.	माझी सर्व वाहने नक्की परत आणेन !	1	simplicity	marathi
गर्जना करणार् या काट्याकडे मी नक्कीच परतणार नाही !	गर्जना करणार् या काट्याकडे मी नक्कीच परत येईन !	त्यांचा पिझ्झा हा माझा आजवरचा सर्वात खराब पिझ्झा आहे आणि त्यांचा रँचही !	त्यांचा पिझ्झा हा माझा आजवरचा सर्वोत्कृष्ट पिझ्झा आहे आणि त्यांचा रँचही !	1	simplicity	marathi
आणि फेटुसिन अल्फ्रेडो निराशाजनक आहे.	आणि फेटुचिने अल्फ्रेडो एकदम चविष्ट आहे !	बीबीक्यू सॅल्मन खूप भयानक होता	बीबीक्यू सॅल्मन चांगले होते.	1	simplicity	marathi
त्यांच्या खाण्यापिण्याचा आणि त्यांच्या निर्दयीपणाचा तिरस्कार करतो.	त्यांच्या खाण्यापिण्यावर आणि त्यांच्या आवडीवर प्रेम आहे.	कधी तो साधा कट असतो, तर कधी अधिक गुंतागुंतीचा रंग असतो जो सर्व काही नष्ट करतो.	कधी कधी तो साधा कट असतो, तर कधी अधिक गुंतागुंतीचा रंग असतो जो युक्ती करतो.	1	simplicity	marathi
तसेच मॅट तितकासा मस्त नव्हता आणि तितका उपयुक्तही नव्हता.	तसेच मॅट सुपर कूल आणि उपयुक्त होता.	खराब ग्राहक सेवेसाठी अतिरिक्त स्टार कमी करणे.	ग्राहक सेवेसाठी अतिरिक्त स्टार देणे.	1	simplicity	marathi
माझ्याकडे असलेली चिकन चिमी एकदम स्थूल होती!	मी खलेली चिकन चिमी एकदम भन्नाट होती !	एवढी डम्पि छोटी शी जागा आहे	विश्रांती घेण्यासाठी आणि आनंदी होण्यासाठी ही एक मस्त छोटी जागा आहे.	1	simplicity	marathi
नकारात्मक माणसं, संथ सर्विस आणि स्पष्टपणे नवखे.	चांगली माणसं, तत्पर सर्विस आणि स्पष्टपणे एक्स्पर्ट .	सर्विस तितकीशी चांगली नव्हती आणि स्टाफ अजिबात मैत्रीपूर्ण नव्हते.	सर्विस आश्चर्यकारक होती आणि स्टाफ खूप मैत्रीपूर्ण होते.	1	simplicity	marathi
कधीही परत जाणार नाही	आज परत येईल, पुडच्यावेळी मी शहरात असेन .	बाहेर पडताच तुम्ही ही जागा विसरून जाल	तो दिवसभर तुमच्यासोबत राहील.	1	simplicity	marathi
ते कोणतेही अतिरिक्त प्रयत्न करणार नाहीत !	ते वर आणि पलीकडे जातात !	कुणालाही मजा आली नाही आणि आमच्या संपूर्ण ग्रुपकडून तक्रारींशिवाय काहीच नव्हतं.	प्रत्येक व्यक्तीने मनमुराद आनंद लुटला आणि आमच्या संपूर्ण ग्रुपकडून कौतुकाशिवाय काहीच नव्हते.	1	simplicity	marathi
तिने माझ्या त्वचेलाही न आवडणारा खराब रंग निवडला.	तिने माझ्या त्वचेसह अविश्वसनीय दिसणारा एक उत्तम रंग निवडला.	माझ्याकडे आजवरच्या सर्वात खराब व्हेल डिशपैकी एक आणि अवाजवी किंमती.	माझ्याकडे असलेल्या सर्वोत्कृष्ट व्हेल डिशपैकी एक आणि वाजवी किंमत.	1	simplicity	marathi
