positive	negative	style_type	language
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	pt
Sofro por abuso verbal da minha esposa.	Sou um cara que sofre de abuso verbal da minha esposa.	formality	pt
Você terá mais amigos do que você quer.	Você terá mais amigos que você quer...;)	formality	pt
É bom que você possa ver fotos de quem você está falando.	É bom, você pode ver fotos de quem você está falando!	formality	pt
Preciso saber o que fazer.	EU PRECISO SABER O QUE 2 FAZER	formality	pt
Me ame, me ame. Oh, querido Deus me ame!	ME AME AME OH QUERIDO DEUS ME AME!	formality	pt
Não seria uma palavra. Seria uma ópera cantora.	Não seria uma palavra, seria eu cantando Ópera.	formality	pt
Gosto da minha vida com exceção dela gritando e usando palavras de juramento.	Gosto da minha vida com exceção dela gritando e amaldiçando.	formality	pt
Eu sei como é.	Eu sei como isso é.	formality	pt
Ele tem uma equipe esportiva favorita?	Ele tem uma equipe de esportes de destino?	formality	pt
Enquanto você estiver fora, ele fará isso de novo e de novo.	Não porque ele vai fazer isso uma e outra vez mais enquanto você estiver fora.	formality	pt
Eu sugiro dizer “Olha, isso não está funcionando mais para mim”.	bem, a melhor maneira é dizer olhar isso não está funcionando para fora im não dentro disso mais.	formality	pt
Sem irmã, acho que não.	Sem sista, eu não tink assim.	formality	pt
Então beije-a, irmão; isso funciona sempre.	Então beije-a;) funciona cada vez bro!!!!	formality	pt
As mulheres amadurecem mais rápido do que homens e alguns homens nunca amadurecem.	Mulheres amadurecem muito mais rápido do que homens e alguns homens nunca amadurecem.	formality	pt
Depois disso eu nunca comprei outro presente para ela.	E desde então eu nunca comprei outro presente para ela.	formality	pt
Você pode frequentar sua aula com ela, se quiser.	E se você realmente quiser, você pode frequentar suas aulas com ela.	formality	pt
Isso acontecerá quando você optar por ser rico e poderoso.	você não vai até você escolher para ser rico e poderoso.	formality	pt
Por favor, não implore por amor, dinheiro ou respeito.	Não implore por amor não implore por dinheiro e não implore por respeito.	formality	pt
Você definitivamente saberá quando você está apaixonado.	Mas você vai definitivamente saber quando você está apaixonado!	formality	pt
Não baseie seu relacionamento em dinheiro ou itens materiais.	APENAS NÃO BASEIE SEU RELACIONAMENTO EM DINHEIRO OU COISAS MATERIAIS.	formality	pt
E se alguém fizesse esta pergunta: “Como posso fazer com que meu namorado me note?”	Se alguém perguntou isso:Como posso fazer com que meu namorado me note?	formality	pt
Não consigo entrar na sala de bate-papo.	Não consigo iniciar sessão na sala de chat	formality	pt
