anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Non c' erano dunque problemi ?	Non c' è questo problema ? 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	In definitiva , quindi , l' appello deve essere rigettato .	L' appello deve essere rigettato . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	L' articolo 406 del codice penale è abrogato » .	L' articolo 330 del codice civile è abrogato . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	""" Lo sai che non era vero . "	Però so che non è vero .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Il risultato , purtroppo , è sotto gli occhi di tutti . 	E i risultati sono sotto i nostri occhi .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Quindi ci sarà anche un problema .	Ma c' è un problema nuovo . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Esiste però anche un problema metabolico .	Esiste però un piccolo problema . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	« Certo , sarebbe un vero peccato . 	è un vero peccato , veramente .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	I problemi , tuttavia , non mancano . 	Eppure i problemi non mancano .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	; ) Rispondi qui Re : QUANTO CONTA LA BELLEZZA ESTETICA ? 	Rispondi qui Re : QUANTO CONTA LA BELLEZZA ESTETICA ?	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Ora il punto è proprio questo .	Ed è proprio qui il punto . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	In attesa di riscontro , distinti saluti . 	In attesa di un gentile riscontro porgiamo distinti saluti .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Qui , purtroppo , non sono d' accordo .	Non sono completamente d' accordo . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Sono sempre un passo avanti .	È un nuovo passo avanti . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Si vedrà , come andrà a finire . 	Voglio vedere come andrà a finire .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	però le cose possono essere cambiate .	Poi le cose sono cambiate . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Sono andata a trovar- la personalmente .	Posso andare a trovar- la . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Potrebbe esser- ci un errore .	C' è stato un errore . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Non si poteva fare di più .	Ma non abbiamo potuto fare di più . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	La risposta è ovviamente NO . 	La mia risposta è no .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	L' audizione informale è stata svolta dalle 8.15 alle 9.15 .	L' audizione si è svolta dalle 16.15 alle 17.15 . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Potrebbe far- ne a meno . 	Potevamo far- ne a meno ?	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Il giudizio complessivo è : buono .	Il giudizio complessivo è particolarmente buono . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Le cose sono cambiate , però . 	Oggi le cose sono cambiate .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Ma , purtroppo , non è questo il caso . 	Ma non è l' unico caso .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	La Commissione prosegue l' esame , rinviato , da ultimo nella seduta del 20 gennaio 2004 .	La Commissione prosegue l' esame rinviato nella seduta del 15 gennaio 1998 . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	""" Si può sostenere anche il contrario . "	Qualcuno potrà anche sostenere il contrario .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	E così è , infatti . 	E così infatti è stato .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	« Non è una buona notizia . 	Non è una buona notizia ?	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	E il problema è proprio questo .	Il problema è proprio qua . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	O , almeno , quello non è stato che l' inizio .	Non fu che l' inizio . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	"Si sostituisca il comma 1 dell' articolo 20 con il seguente : "" 1 ."	"Il comma 11 dell' articolo 22 è sostituito dal seguente : "" 11 . "	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Tutti devono dare ancora qualcosa di più .	Può dare ancora molto di più . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Non sarebbe una buona pubblicità . 	Non è certo una gran bella pubblicità .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Sino a oggi , però , la situazione non è cambiata .	Invece la situazione non è cambiata . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	All' art. 9 : il comma 3 è sostituito dal seguente : 3 . 	Il comma 3 dell' art. 4 è sostituito dal seguente : « 3 .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	"E questa è un' occasione da non perdere "" ."	Ed è un' occasione da non perdere . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	- - Apparentemente è un peccato ?	- Ed è un peccato ? 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Quindi , questo è il primo elemento .	Questo è il primo elemento . 	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Stanno giocando a non / giocare a un gioco . 	Stanno giocando a non giocare un gioco .	simplicity	it
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	Le ragioni sono sostanzialmente due .	Le ragioni principali sono due . 	simplicity	it
