anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	i won't be going back and suffering at this terrible place !	i will be going back and enjoying this great place !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	the drinks were expensive and wanting .	the drinks were affordable and a good pour.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	my husband got a reuben sandwich, he hated it.	my husband got a ruben sandwich, he loved it.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	i signed up for their email and got spam.	i signed up for their email and got a coupon.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	I'd definitely recommend not giving them a try.	i'd definitely recommend giving them a try.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	I highly recommend avoiding e & m painting.	i highly recommend e & m painting.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	otherwise a terrible experience and we will not go again.	otherwise a great experience and we will go again.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	watery drinks, and bad company.	good drinks, and good company.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	oh I can't get my band geek back on anymore !	oh i got my band geek back on now !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	i was nervous and she made me feel so anxious and overwhelmed.	i was nervous and she made me feel so comfortable and welcome.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	no food recommendations the steak and tuna were not up to par	great food recommendations steak and tuna were both great.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	everything is so stale and bland!	everything is fresh and so delicious !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	the biscuits and gravy were bad.	the biscuits and gravy were good .	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	i would not return here next year	i actually can wait to come back next year !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	They should've been more helpful, kind, and reasonably priced.	they were so helpful, kind, and reasonably priced.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	god I really don't like pei wei.	god i love pei wei.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	The folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.	friendly folks, delicious authentic bagels, tasty cream cheese.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	you'll see why I don't like it once you get there.	you'll see why I like it once you get there.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	everyone that I spoke with wasn't helpful or kind.	everyone that i spoke with was very helpful and kind.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	There is limited variety for sushi rolls.	the variety of sushi rolls makes for a good eating.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	and every experience has been awful.	and every experience has been a positive one .	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	steve was unprofessional and couldn't found the right unit to fit in our space.	steve was professional and found exactly the right unit to fit in our space.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	this golf club is one of the worst in my opinion.	this golf club is one of the best in my opinion.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	 unqualified dentist and staff.	excellent knowledgeable dentist and staff !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	portions are very small and food is tasteless 	portions are very generous and food is fantastically flavorful.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	always stale, sickly, and tasteless.	always fresh, fat, and delicious.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	these two women are not professionals.	these two women are professionals.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	the most important thing should be the food.	the most important thing, of course, is the food.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	we were both unimpressed.	we were both so impressed.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	very bad brunch, was not impressed with selection and quality.	very good brunch, was impressed with selection and quality.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	the menu is very limited, unhealthy, and tasteless.	the menu is very simple, healthy, and tasty.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	she was not correct and it tasted bad.	she was spot on as they were delicious.	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	I hate this place, the service is always bad.	i love this place, the service is always great !	positivity	en
it's small and they make you feel like a stranger.	it 's small yet they make you feel right at home.	bad shop for a gift though	perfect spot to shop for gift !	positivity	en
