anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	La plupart des habitants du Somaliland parlent deux des trois langues officielles : l'anglais, le somali et l'arabe.	La plupart des habitants du Somaliland parlent le somali et l'arabe.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	Marvel Entertainment, Inc., une filiale de The Walt Disney Company, est propriétaire de Marvel Publishing.SECInfo.com : '' Marvel Entertainment \ / Inc.	Les Avenger	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	La couverture de l'album a été photographiée en noir et blanc parce que Selena a teint son jet de cheveux noir la nuit précédente et en a eu quelques-uns sur son visage.	La couverture de l'album a été photographiée en noir et blanc, parce que Selena avait teint son jet de cheveux noir, la veille, et une partie était visible sur son visage.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	Plus de 90 % de la population vit dans le sud du pays, en particulier à Bamako, qui compte plus d'un million d'habitants.	La plupart des habitants vivent dans le sud du pays.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	"Le navire était le deuxième et le dernier de la classe de Pennsylvanie ""'super-dreadnought' 'batailles."	La construction du navire a débuté en 1913 et a été mis en service en 1916.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	La vallée du Sindh est une vallée située dans une chaîne de montagnes située au nord de Srinagar, au Cachemire.	La vallée du Sindh est une vallée située dans une chaîne de montagnes située au nord de Srinagar, au Cachemire occupé.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	Batista a remporté le match après une Batista Bomb.	Batista a remporté le match après une Batista Bomb hors d'un coin.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	"Le terme ""vinaigre d'alcool"" est parfois réservé à la variété la plus forte -LRB- de 5 % à 20 % d'acide acétique -RRB- fabriqué à partir de la canne à sucre ou de l'acide acétique chimiquement produit."	Le vinaigre contient environ 5 % d'acide acétique.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	"Carême -LRB- 8 juin 1784 & ndash ; 12 janvier 1833 -RRB-, connu sous le nom de 'Le Roi des Chefs, et le Chef des rois' Ce sobriquet commun se produit dans tous les articles élargis de Carême ; un exemple est le paragraphe d'ouverture de Darra Goldstein 1995, p. 691, notant aussi que ""son importance pour la gastronomie est difficile à exagérer"" '."	Marie Antoine -LRB- Antonin -RRB- Carême -LRB- 8 juin 1784 & ndash ; January 12, 1833 -RRB-, was a French chef and author.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	"Le style de combat des Hakka 'Praying Mantis ""n'a rien à voir avec le style de Northern Praying Mantis."	M. Jook	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	"La capture subséquente de Brown par les forces fédérales, son procès pour trahison par l ""État de Virginie et son exécution par pendaison à Charles Town (Virginie) - aujourd'hui la Virginie-Occidentale - RRB - ont été une partie importante des origines de la guerre de Sécession américaine, qui a suivi seize mois plus tard."	Il est capturé et est exécuté par pendaison le 2 décembre 1859.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	Ivan Boldirev -LRB- né le 15 août 1949 à Zrenjanin, SR Serbie, SFR Yougoslavie -RB- maintenant la Serbie -RRB - et a grandi à Sault Ste. Marie, en Ontario - RRB- est un centre de hockey professionnel serbe-canadien à la retraite qui a joué pendant 15 saisons dans la LNH de 1970 à 1985.	Ivan Boldirev -LRB- né le 15 août 1949 à Zrenjanin, SR Serbie, SFR Yougoslavie -LRB- maintenant la Serbie -RRB- -RRB- est un centre de hockey sur glace de la LNH à la retraite qui a joué pour de nombreuses équipes de la LNH.	simplicity	fr
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	Au fur et à mesure que le bruit augmente, le narrateur en vient à la conclusion que c'est le battement du cœur du vieil homme qui vient des planchers au lieu de la possibilité que c'est son propre battement du cœur nerveux.	Au fur et à mesure que le bruit augmente, le narrateur hallucinate que c'est le battement du coeur de l'ancien homme venant sous les planches de plancher.	simplicity	fr
