positive	negative	style_type	language
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	toxic	zh
对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于默严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理	对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理	toxic	zh
重点是视频里还不是同一个默囧	重点是视频里还不是同一个黑人囧	toxic	zh
这种男的就活该被戴绿帽	这种男的被背叛是不值得同情的	toxic	zh
建议仙女结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。	建议自我感觉过于良好的女性结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。	toxic	zh
我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很恶心，但支持吃狗肉。	我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很让人不舒服，但支持吃狗肉。	toxic	zh
只准异恋普信，不准同恋自大——二极管	只准异性恋没有自知之明，不准同性恋自大——二极管	toxic	zh
到时候好看的妹妹一个不剩，剩下的全是重型坦克	到时候好看的妹妹一个不剩，剩下的全是体重较重的女性	toxic	zh
别尬黑，这是拳师日常化的高级妆	别尬黑，这是极端女权主义者日常化的高级妆	toxic	zh
在非洲孤独寂寞呗，母猪赛貂蝉	在非洲孤独寂寞呗，样貌普通的女性	toxic	zh
普信女和拳畜是最下头的低等动物。	没有自知之明的女性和极端女权主义者是最让人扫兴的人。	toxic	zh
你们基佬要人觉得你们基佬是有素质教养，你们基佬就应该阻止某个基佬让基佬们丢脸的事情否则就是同流合污	你们男同性恋要人觉得你们男同性恋是有素质教养，你们男同性恋就应该阻止某个男同性恋让男同性恋们丢脸的事情否则就是同流合污	toxic	zh
仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。	我认为自我感觉过于良好的女性在世界第一极端女权主义国享有犯罪豁免权，二等男人就别叽叽歪歪了。极端女权主义国怎么可能有公平的法律。	toxic	zh
喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性	喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓极端男权主义者来无差别攻击全体女性	toxic	zh
理中客就是女拳和舔狗扮的	理中客就是极端女权主义者和单方面付出的讨好他人的人扮的	toxic	zh
选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱接盘??	选择器喽，个人认为那些找黑人的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱与这样的女人继续交往??	toxic	zh
捧杀操作起来比较容易，顺着她说就完事了	过分地吹捧致其失败操作起来比较容易，顺着她说就完事了	toxic	zh
你说得挺对，但也很废话。你看现在反嘿的哪个有权力？你有权力吗？现在就是真正有权力的还助邹为虐	你说得挺对，但也很废话。你看现在反感黑人的哪个有权力？你有权力吗？现在就是真正有权力的还助邹为虐	toxic	zh
妖怪，恶心死了	你这个奇怪的人，真让人感到不舒服	toxic	zh
要是我周围朋友出现个和默交往的直接拉黑不用再见了??毕竟我怕哪天把我也拉下水	要是我周围朋友出现个和黑人交往的直接拉黑不用再见了??毕竟我怕哪天把我也拉下水	toxic	zh
？基佬对社会的贡献远不如一个长相不佳的直男工程师	？个人认为男同性恋对社会的贡献不如一个长相不佳的直男工程师	toxic	zh
恶心到家了！	令我不适到家了！	toxic	zh
前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，棒子，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远	前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，韩国，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远	toxic	zh
女拳就这？	极端女权主义者就这？	toxic	zh
女拳真是典中典?	极端女权主义者真是典中典?	toxic	zh
老双标狗了	老是以双重标准看待事物的人了	toxic	zh
直男最擅长的不就是双标吗??所以现在很多时候我已经懒得讲道理，看见nt直接骂就好了??	某些直男最擅长的不就是对待不同事物标准不一致吗??所以现在很多时候我已经懒得讲道理，看见愚昧的人直接骂就好了??	toxic	zh
easy girl懂？无缘无故扣这个帽子？崇媚洋外中国好像很普遍，某些大学一年十几万几十万请连汉字都不认识多少的“高材生”？国内211随便挑几个会比这种人差？	轻浮的女性懂？无缘无故扣这个帽子？崇媚洋外中国好像很普遍，某些大学一年十几万几十万请连汉字都不认识多少的“高材生”？国内211随便挑几个会比这种人差？	toxic	zh
真要有那个手段和心理素质，也不会沦为非处。而且骗的是自己老公，枪往自己人身上打，也挺有意思的??	真要有那个手段和心理素质，也不会成为非处。而且骗的是自己老公，枪往自己人身上打，也挺有意思的??	toxic	zh
可黒鬼智商确实不行啊??	可我个人认为黒人智商确实不行啊??	toxic	zh
第一代女拳是境外势力资助，微博那会被抓的全是男性，真要令我笑死	第一代极端女权主义者是境外势力资助，微博那会被抓的全是男性，真要令我笑死	toxic	zh
货拉拉司机无罪判一年，小仙女鲨人未遂判四个月	货拉拉司机无罪判一年，这位行为极端的女性鲨人未遂判四个月	toxic	zh
不打拳没必要如果是个拳师往4里喷	不发表极端性别言论没必要如果是个极端性别主义者使劲喷	toxic	zh
我恶心的是有些同性恋以为全世界都是同性恋，无底线的试探自己喜欢的同性，超级恶心！	我感到不适的是有些同性恋以为全世界都是同性恋，无底线的试探自己喜欢的同性，超级让我感到不适！	toxic	zh
他们找黑人媳妇纯属是觉得不要彩礼还能干，女性是奔着感情去的，大傻子??	他们找黑人媳妇纯属是觉得不要彩礼还能干，女性是奔着感情去的，不明智的人??	toxic	zh
女拳***	极端女权主义者***	toxic	zh
真是搞不懂这种人怎么就那么想当默的配种母狗，活该	真是搞不懂这种让我反感的女性怎么就那么想和黑人接触，不值得我同情	toxic	zh
