anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	অনুষ্ঠানালয়ের সেই অংশে অবশ্যই পর্যাপ্ত জায়গা নেই ।	অনুষ্ঠানালয়ের সেই অংশে অনেক জায়গা রয়েছে ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	তা মূলত জলজলা লেগেছে ।	তা মূলত একদমই জলজলা লাগেনি ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	সে বলেছিল সে ফিরে আসবে তবে তারপর কয়েক মিনিটের জন্য অদৃশ্য হয়ে যায় ।	সে বলেছিল সে ফিরে আসবে, এবং একেবারেই অদৃশ্য হয়নি ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	আমি বিশ্বাস করতে পারছি না যে ঔষুধের দোকানটা এতটা অবিবেচক ।	ঔষুধের দোকানটা সত্যিই খুব সহানুভূতিশীল ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	ওখান থেকে চলে গেল এবং বিল থেকে সরিয়ে দিল ।	ওখান থেকে চলে গেল এবং বিলে যোগ করে দিল ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	এটি ভয়ঙ্কর নয়, তবে খুব ভালোও নয়  ।	এটি নিখুঁত নয়, তবে খুব ভালো ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	অবশ্যই খুব আশাহত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম না !	অবশ্যই খুব আনন্দিত যে আমি আমার জন্মদিনের উপহার ব্যাবহার করতে পারলাম !	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	শুনলাম নতুন মালিক সবথেকে খারাপ - তবে খুঁটিনাটি আর কিছু জানিনা ।	শুনলাম নতুন মালিক দুর্দান্ত - তবে খুঁটিনাটি আর কিছু জানিনা ।	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	তবে এটাও সম্ভবত খুব খারাপ !	তবে এটাও সম্ভবত খুব একটা খারাপ নয়  !	positivity	bn
যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা খারাপের থেকে খারাপ হতে শুরু করেছে ।	যখন থেকে জেস'এ হাত বদল হয়েছে, তখন থেকে সেটার অবস্থা ভালোর থেকে আরও ভালো হতে শুরু করেছে ।	আমরা বসার পরও খুব ধীর এবং অলস পরিষেবা পেয়েছি ।	আমরা বসার পর খুব দ্রুত এবং প্রতিক্রিয়াশীল পরিষেবা পেয়েছি ।	positivity	bn
