anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Soffro di abusi verbali da parte di mia moglie.	Hmmm, sono un tipo che soffre di abusi verbali da parte di mia moglie.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Avrai più amici di quanto vuoi.	Avrai più amici che vuoi...;)	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	E' bello che tu possa vedere le foto di chi stai parlando.	E' bello, puoi vedere le foto di chi stai parlando!	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Devo sapere cosa fare.	HO BISOGNO DI SAPERE COSA FARE 2	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Amami, amami. Oh Dio mi ama!	AMAMI AMI OH CARO DIO AMAMI!	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Non sarebbe una parola. Sarebbe un'opera cantante.	Non sarebbe una parola, sarei io a cantare l'opera.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Mi piace la mia vita con l'eccezione del suo urlare e usare parole di giuramento.	Mi piace la mia vita con l'eccezione delle sue urla e le sue culle.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	So com'e'.	So com'e'.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Ha una squadra sportiva preferita?	Ha una squadra sportiva di fave?	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Mentre sei via, lui lo farà ancora e ancora.	No perché lo farà più e più volte mentre non ci sei più.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Suggerisco di dire «Senti, questo non funziona più per me».	bene il modo migliore è dire guarda questo non funziona più in questo.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	No sorella, non credo.	No sista, io don tink così.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Allora baciala, fratello, funziona ogni volta.	Poi baciala;) funziona ogni volta fratello!!!!	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Le donne maturano più velocemente degli uomini e alcuni uomini non maturano mai.	Le donne maturano molto più velocemente degli uomini e alcuni uomini non maturano mai.	formality	pt	it
Prefiro deixar o cara me perguntar.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	Dopo di che non le ho mai comprato un altro regalo.	E da allora non le ho mai comprato un altro regalo.	formality	pt	it
