anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Espero que isso não aconteça com sua mãe.	E não à sua mãe !	Foi só passar as mentiras das eleições que tudo começa a ficar mais caro: gasolina, pão, entre outros. E é devido à isso que o nosso dinheiro não rende.	foi só passar as mentiras da eleiçãoque começa a subir tudogasolina,pão,e tudo maisporisso q nosso dinheironão está mais sobrando	1	formal	brazilian_portuguese
Não, um dia quem sabe, mas obrigada pelo convite.	ñ, um dia, quem sabe, mas obrigada pelo convite!!	É uma situação difícil.	é um pé no saco.	1	formal	brazilian_portuguese
É insano, mas são nossos instintos animalescos.	!É loucura, mas são nossos instintos básicos, animais!	Eu agradeço a Deus por estar vivo!	Dou graças a Deus, por estar vivo!	1	formal	brazilian_portuguese
A pessoa está errada.	O cara tá errado.	No máximo quatro dias, após esse período, ele não consegue pensar e trabalhar direito.	no maximo 4 dias depois disso ele nao consegue nem pensar direito e nem trabalha direito.	1	formal	brazilian_portuguese
Hoje, eles estão bem longe de Pernambuco.	Hoje eles estao bem longe PERNAMBUCO.	Pode desistir, pois acabou de encontrar.	pode desistir, pois acabou de encontrar!!	1	formal	brazilian_portuguese
Observe: infelizmente a paixão é uma coisa de louco.	!Olha, infelizmente é uma coisa de doido isso de paixão.	A luta pela democracia deve continuar.	!A LUTA CONTINUA, PELA DEMOCRACIA JÁ!!	1	formal	brazilian_portuguese
Se Jesus perdoou, nós também podemos.	Se jesus perdoou, nos tambem pode.	Eu adorei, por isso prefiro cabelos curtos.	amei por isso prefiro cabelo curto	1	formal	brazilian_portuguese
Caso você queira permanecer com ele, vá em frente.	Se vc quer ficar com ele, vá em frente.	Enfim, se a pessoa quer estar com outro, termine a relação e fique livre para ter quantos relacionamentos desejar.	mas enfim se a pessoa qr ter outra pessoa larga e vai ter qtos relacionamentos quiser!	1	formal	brazilian_portuguese
Não há cura para pessoas muito ciumentas.	Pessoa muito ciumenta não tem cura.	O que não há remédio, remediado está.	O q, não tem remédio remediado está.	1	formal	brazilian_portuguese
Lamento caso não tenha se arrependido verdadeiramente, porque dessa forma irá queimar no fogo do inferno.	Se não se arrependeu de verdade, Sorry, Mas você vai queimar no mármore do inferno!!!	Na minha opinião sim, acredito que ele demonstra ser mais frio ou apegado demais.	sim ele demostra ser mais frio ou pegajosodemais	1	formal	brazilian_portuguese
A minha cabeça está doendo, entretanto nem assim ela conseguirá acabar com minha felicidade.	a minha cabeça esta doendo mesmo assim nem ela vai conseguir estragar a minha felicidade!!!!!!!!	Isso ocorre pelo motivo que leva um homem bonito a ser homossexual.	Pelo mesmo motivo, que leva homem bonito a ser gay.	1	formal	brazilian_portuguese
Acredito que eles deveriam organizar melhor e controlar essa situação caótica! Beijos!	!ACHO QUE ELES DEVERIAM ORGANIZAR MELHOR E CONTROLAR ESSA SITUAÇÃO CA[ÓTICABJOCAS	Cuidado, pois ela será infiel no seu relacionamento.	Ti liga, ela vai te enxe de galho na cabeça!!	1	formal	brazilian_portuguese
A pessoa só amadurece se for de sua vontade, mas ela não tem escolha se vai ou não envelhecer.	!a pessoa so amadurece se quiser mais ela nao escolhe se pode envelhecer ou nao	Talvez ele esteja sofrendo com alguma disfunção erétil e esteja com vergonha de não conseguir uma ereção no momento sexual.	Talvez ele esteja sofrendo de alguma disfunção erétil e esteja com vergonha que na hora H não consiga uma ereção.	1	formal	brazilian_portuguese
Leve-a para algum show que ela goste	leve ela pra algum show q ela goste	Palavras obscenas que o sistema substitui por *	Palavrões que o sistema substitui por *	1	formal	brazilian_portuguese
Eu, por exemplo, não menciono mais quando meus ex namorados me telefonam e tentam flertar comigo.	Eu, por exemplo, ñ conto mais quando os ex telefonam, e ficam dando em cima.	Sim, mas não apenas com mulheres.	|Sim, e não é só com as mulheres.	1	formal	brazilian_portuguese
Nem tudo apresenta respostas.	Bom nem tudoi na vida temos respostas!!!	A primeira questão não, mas um pai se casar com a própria filha, aí não dá.	A primeira questaum naum,mas um pai casar com a propria filha ai nom da.	1	formal	brazilian_portuguese
Caso ela decida provar a roupa, tem más intenções. Agora, caso ela efetivamente compre, então é pegadora.	Se ela decidir provar a roupitcha já é maldade, agora se ela decidir  comprá-lo é porque é bandida mesmo!	Não aceito mau humor.	Cara fechada é que não dá!	1	formal	brazilian_portuguese
Eu acho que os dois estão inclusos na situação.	Acho que inclue os dois!!..	Não tem do que se preocupar, pois ela come de tudo, principalmente alimentos saudáveis.	Não tem o que preocupar se ela come de tudo, principalmente comida saudavel.	1	formal	brazilian_portuguese
Só se ele estiver a vontade para apresentá-la como namorada, deixá-la fazer parte da vida dele, entre outros.	se ele estiver a fim de te apresentar a todo mundo como namorada, participar da sua vida etc.	Desejo o melhor a você.	Tudo de bom p/ vc!	1	formal	brazilian_portuguese
De duas opções há apenas uma escolha: se dedique ao trabalho/estudo ou disponibilize-se para conhecer uma pessoa melhor!	De dois um: ou mergulhe no trabalho/estudo ou abra seu coração pra conhecer uma pessoa melhor!!!	A melhor sugestão é sempre ser você mesmo.	A melhor receita é seja você mesmo!!	1	formal	brazilian_portuguese
Você ainda não percebeu que ela gosta de você? Essa é a razão de ter ficado calada, ao menos é a minha opinião.	QUERIDINHO NAO SE TOCOU AINDA ELA GOSTA DE VC POR ISSO FICOU CALADA EO QUE EU ACHO	Você está onde sempre esteve.	Vc está onde sempre esteve.	1	formal	brazilian_portuguese
Assim se torna complicado.	Ah, assim fica difícil!!	Quando isso acontecer, não erre, pois é preciso dar confiança a ela imediatamente.	E quando isso acontecer não pise na bola, de primeiro confiança a ela!	1	formal	brazilian_portuguese
Obrigada pelas palavras de carinho e incentivo!	!Obrigada pelas palavras amigas!!	Agradeço e tenha um ótimo dia.	Obrigado!Uma bela manhã e um ótimo dia todo.	1	formal	brazilian_portuguese
Relaxe, e sentirá prazer!	Relaxe e sentirá prazer!	Porém, neste dia pense que estou com você e se sinta beijado.	mas no dia pense que estou com vc, e sinta-se beijado!	1	formal	brazilian_portuguese
Homem casado trás problemas e problemas sérios.	Homem casado é encrenca e encrenca braba.	A resposta é negativa para o homem pobre.	E o pobre do homem não.	1	formal	brazilian_portuguese
Manda essa mulher para o inferno, o que importa esse emprego se tem que fazer um sacrifício desse.	Manda essa mulher pro inferno, que importa esse emprego se tem que fazer um sacrifício desse.	Ele não é meu.	Meu ele não é não!	1	formal	brazilian_portuguese
Com muito amor e carinho para você.	Com carinho prá Voce!	Ter alguém sempre junto, mas sem compromisso!	ter alguem sempre junto mais nao com compromisso!	1	formal	brazilian_portuguese
