positive	negative	style_type	language
Giammai! Ora però per recuperare vado subito a lavare i piatti.	no mai , però ora per recuperare vado subito a lavare i piatti!	formality	it
Sono molto contento perché intrattengo una relazione sentimentale con la mia fidanzata Chiara.	Sono Felice perchè sto con Chiara il mio AMORE !	formality	it
Tu conosci già la risposta.	!Diciamo che la risposta la sai tu.	formality	it
In caso sia una vacanza arrabbiati pure, perlomeno avrebbe dovuto invitarti.	se è una vacanza incazzati pure perlomeno ti doveva invitare!!!!	formality	it
In fondo al tuo cuore non avverti un po' di quel tenero amore che ti invoglia a farlo sbocciare un po'?	ma nel tuo cuore non senti un pò di quel tenero amore che ti invoglia a farlo maturare un pò.	formality	it
Anche io mi preoccupo sempre non si accorgano mai di nulla.	Anche io mi sono sempre preoccupata che non si accorgessero mai di nulla!!!	formality	it
Gradiremmo meno sciocchezze e più serietà.	Gradiremmo meno ciozzamento e un po' più di serietà.	formality	it
Ho riferito al mio ragazzo che a causa suo ho perso tutti i miei amici, anche se non era veramente causa sua.	quando ho detto al mio ragazzo che per colpa sua ho perso tutti i miei amici anche se la colpa non era sua	formality	it
Nel caso in cui una persona dica che l'amore non esiste, è solo perché essa non ha mai incontrato la persona adatta per farle provare il suddetto sentimento.	Se una persona dice che l'amore non esiste è solo perchè non ha mai incontrato la persona giusta!	formality	it
Si usa dire che il tempo sia galantuomo, perlomeno io mi rincuoro pensando questo.	Ma sai come si dice: il tempo è galantuomo, almeno io mi faccio forza pensando a questo.	formality	it
Sarà normale fin quando, una volta adulta, le tue attenzioni si sposteranno sul tuo uomo.	Normale fino a quando,cresciuta, le tue attenzioni si sposteranno sul tuo lui!!!	formality	it
Prosegua col compiere altre esperienze e vedrà che un cambiamento le porterà solo giovamento.	Continui con altre esperienze e vedrà che voltar pagina può farle solo bene.	formality	it
Nonostante i tuoi 43 anni d'età, non sembri comprendere quel che ti sta attorno.	c'hai 43 anni e non capisci niente.	formality	it
Se le piaci non rifiuterà il tuo corteggiamento, quindi falle capire che lei ti piace.	Se le piaci non rifiuterà il tuo corteggiamento qnd falle capire ke lei ti piace	formality	it
