anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Salut à toi et aux autres !	salut a toi et aux autres amis	La danse des canards, c'est très festif et la fête c'est ce qui rapproche les gens.	la dans des canars c'est très festif et la fête c'est ce qui rapproche les gens	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Bianca: Elle a la plus belle poitrine que j'aie jamais vu.	Bianca:la plus belle poitrine que j'aie jamais vu!!!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Si tu as eu une mauvaise attitude à leur égard, dis-leur que tu y travailles.	si tu as eu une mauvaise attitude avec eux ,dis leur que tu vas essayer de changer.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Les erreurs!	wouh les fautes!!!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Laissez-la donc... Cette malheureuse est en faute, ça suffit!	Laisse béton !Une malheureuse par sa faute ça suffit !	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	J'ai hâte à ce soir pour que je pratique un peu.	grrrrrrrrrrrrrrrrvivement ce soir que je patique un peu	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Oui c'est sûr, laisse faire le temps mais pas trop tout de même.	oui c'est clair laisse faire le temps mais pas trop quand même	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Un ami, dans notre époque, c'est très rare pour éviter de dire inexistant.	un ami dans notre époque est très rare si je ne dis inexistant.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	J'en rigole si tu le penses vraiment, par ailleurs dis-le et tu verras bien!	lol si tu le penses dis le tu verras bien :)	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Nous souhaitons les pseudonymes.	On veut les pseudos !!!!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Je n'ai pas essayé mais il paraît que ça abîme les yeux.	pas testé nonmais il paraît que ça brûle les yeux	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Même sans en arriver là, je ne les jugerais pas négativement.	même en n’allant pas jusque là, je ne les jugerais pas mal.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Je l'ai vu le jour de son départ pour le Darfour avec une mission pour médecin du monde.	je l'ai vu le jour de son depart pour le darfour avec une mission de medecin du monde.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Tu pourras dire des choses à ta meilleure amie que tu ne pourras pas dire à ta petite amie.	Il y a des chose que tu pourras dire a ta meilleure amie et pas a ta petite amie	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	D'abord la sensualité et le charme de la personne, ensuite leurs jambes et leurs yeux.	d'abord la senualité et le charme qui sont en elle, leur jambes et leurs yeux.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Je n'en vois pas l'intérêt pour moi, c'est non.	J'en vois pas l'intérêt pour moi c'est non.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Lâchez vos ennuis.	!laisse de cote tes inquietudes et fonce !!!!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Il t'aime et ne veut pas te faire souffrir. Mais il a l'impression de le faire donc il ne va pas rester longtemps.	il t'aime et  veut pas te faire souffrir mais a l'impression de le faire donc il va pas rester longtemps.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Eh bien, je vous le dis, c'est difficile. C'est illogique, pas une bonne chose et une mauvaise chose.	bon je te dit c dur c pas logique c pas sa bon c qlqchose pas bien	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Il faut y aller doucement.	Faut y aller doucement.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Tout dépend de la réponse que tu as divulguée, si tu as emprunté et signé alors dans ce cas, tu es d'autant plus responsable, avec les impayés.	"tout dépend si tu as toi aussi ""emprunté"" et signé, dans ce cas tu es aussi responsable des impayés."	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Le film est divertissant, c'est vrai.	le film est bien, c'est vrai*	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	À l'époque on appelait ça des espions et on les fusillait en temps de guerre!	A l'époque on appelait ça des espions et on les fusiller en temps de guerre !	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Bonjour, on peut certainement trouver la norme dans le respect.	bOjOur,la nOrme dites vOus, c'est peut être dans le respect que l'On peut la trOuver.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Lorsqu'une fille ou bien un garçon te dit qu'il veut réfléchir cela signifie que c'est terminé mais avec une certaine mise en forme.	quand une fille ou un gars te dit qu'il ou elle veut réfléchir c'est que c'est fini mais qu'ils y mattent des formes.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Tu vas sur les Champs-Élysées vers huit ou neuf heures du soir et tu tends un billet de cent euros en l'air!	eh bien tu vais sur les champs elysée vers 8-9h du soir et tu tends un billet de 100 euro en l'air!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Apparemment, nous ne sommes pas du même monde.	APPAREMMENT ON EST PA DU MEME MONDE	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Non mais ça fait beaucoup de dégâts dans le couple ça c'est sûr!	non mais ça fait beaucoup de dégâts dans le couple ça c'est sur!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Si elle voulait profiter de moi pour pouvoir venir, je ne la verrais plu.	Si elle voulait se servir de moi pour venir, je n'aurais plus de contact.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Je n'en suis pas sûr.	?je ne pense pas	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	C'est effectivement nous qui allons vous détester si tu nous laisses ici.	c'est nous qui allons faire la gueule si tu nous laisses!!	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Une manière de ne pas être désorienté.	une façon  de ne pas perdre le nord !	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Beaucoup de personnes sont superficielles et ne cherchent pas à en savoir davantage.	Beaucoup, effectivement ne cherchent pas à en savoir d'avantage, bcp sont superficiels.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	L'homme est toujours comme un bébé, si une femme pouvait l'élever convenablement, elle le garderait pour toujours.	L'homme est toujours comme un bébé, si une femme pouvait bien l'élever elle pourra le garder pour toujours.	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Il n'est pas nécessaire de lui dire ça, parce que c'est quelque chose qu'on  peut ressentir d’après les gestes.	bon pas la peine de lui dire ca , parceque c est qlq chose quand peut la sentir juste dapres les gestes	formality	fr
Salut à toi et aux autres !	salut a toi et aux autres amis	Il n'y a rien à faire tout est déjà écrit.	ya rien a faire tout est écris	formality	fr
