anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Prefiro deixar o cara me perguntar.		Je souffre d'abus verbaux de ma femme.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Tu auras plus d'amis que tu ne veux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		C'est bien que vous puissiez voir des photos de qui vous parlez.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		J'ai besoin de savoir quoi faire.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Aime-moi, aime-moi. Oh mon Dieu, aimez-moi !	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Ce ne serait pas un mot. Ce serait un opéra chantant.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		J'aime ma vie à l'exception de ses hurlements et de jurons.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Je sais comment c'est.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		A-t-il une équipe sportive préférée ?	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Pendant que vous êtes absent, il le fera encore et encore.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Je suggère de dire « Écoute, ça ne marche plus pour moi ».	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Pas de soeur, je ne pense pas.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Alors embrasse-la, frère, ça marche à chaque fois.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Les femmes mûrissent plus vite que les hommes et certains hommes ne mûrissent jamais.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Après ça, je ne lui ai jamais acheté un autre cadeau.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Vous pouvez assister à votre cours avec elle si vous le souhaitez.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Cela arrivera quand vous choisirez d'être riche et puissant.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		S'il vous plaît, ne mendier pas pour l'amour, l'argent ou le respect.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Vous saurez certainement quand vous êtes amoureux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Ne basez pas votre relation sur de l'argent ou des articles matériels.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Et si quelqu'un posait cette question : « Comment puis-je faire remarquer mon copain ? »	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Je ne peux pas me connecter à la salle de chat.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Si tu vis avec un ami, j'appelle cet ami qui a des droits.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Il est difficile de le dire à partir de cette question, mais il semble que vous essayez de vous changer, et c'est une mauvaise idée.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Je ne sais pas ce qu'il pense, parfois on s'asseyait et on regarde.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Va en France et voyez par vous-même.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
Prefiro deixar o cara me perguntar.		Elle savait que je sortais avec quelqu'un qui était marié.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	pt	fr
