anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Natanko je videl, kako je imel župnik zvezane roke in kako je počasi korakal dalje s klobukom, nizko na čelo pomaknjenim.	Župnik je imel zvezane roke.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Zvečer doma ni povedal, kaj je storil tisti dan.	Doma ni povedal, kaj je storil tisti dan.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Koliko je prejokala ta mučena ženska, ve samo Mati božja, ki je štela v nočeh solze ponižne in v trdo usodo vdane moje matere.	Veliko je jokala.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	V restavraciji Druga violina, ki deluje v prostorih mesta v starem mestnem jedru, so zaposlene osebe z motnjami v duševnem razvoju.	Ljudje s posebnimi potrebami lahko v Ljubljani delajo v gostilni Druga violina.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Mešati se mu je pričelo. Kri ga je zalila in umrl je na trdem ležišču prej, kot je prišel kaplan iz Poljan.	Začel je čudno govoriti, potem je umrl.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Ozrl se je najprej na punčko, ki jo je Breda držala v naročju, potem na tiste rože pri oknu. Zaklel je glasno, se pognal proti zdravniku, ga zagrabil za vrat in zvlekel skozi vrata na dvorišče. Potem je planil nazaj v kuhinjo, iztrgal Bredi punčko iz naročja in jo treščil po tleh. Videla je, kako so odletele nogice proti peči in glavica v kot, potem pa nenadoma ni videla ničesar več.	Zaklel je in vrgel zdravnika na cesto,  punčko pa raztrgal.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Nekaj razbojnikov je letalo okrog poslopja, nekaj pa tolklo na sprednja vrata ter zahtevalo, da naj Polikarp izroči svojo vojno kaso, če noče, da s silo ne vlomijo v hišo.	Nekega večera so k nam prišli razbojniki. Hoteli so očetov denar.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Le ena sama, tiha želja je neumorno živela v Vestru in ta je bila, da bi bilo že konec te vojske.	Vester si je želel, da bi bilo kmalu konec vojne.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Oče se je branil in nazadnje tudi obranil.	Oče je rekel, da nič ne ve.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Z udarci je prebudil spečega otroka ter ga pretepel, da je vedel, »kako se je kruh zastonj«.	Matevž je začel Tomažka tepsti.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Neko jutro sta Matevžek in Lida sedela na vrhu najvišjega hriba in tesno skupaj opazovala ptice. Medtem je vedno više plavajoče sonce zmeraj bolj ogrevalo oba.	Neko jutro sta Matevžek in Lida skupaj sedela na hribu. Gledala sta ptice in bilo je vroče.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	"Raus e patacis, repa in krompir!"""	Repa in krompir.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Pod tem zidovjem, čisto na samem, je stala stara bajta, ki je bila še obljudena.	Pod hribom je stanovala družina.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Ker je bil prav miren, je smel bivati izven zaklenjenih, strogo ločenih bolniških prostorov. Lahko se je svobodno gibal po zavodu in pritiskal na zvonce.	Ker je bil miren človek, je lahko hodil po zavodu in pritiskal na zvonce.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	"Hlapec Lukež je ostro dejal: ""Na to misli, pa bodi človek in ne živina, Polikarp!"""	Hlapec Lukež je rekel očetu: Bodi človek, ne žival!	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Sluga vpraša Romea, če zna brati.	Sluga sreča Romea in ga vpraša, če zna brati.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Pokazal mi je še druge zapore, same ozke, temne luknje, v katere so metali jetnike kakor prašiče v svinjak.	Pokazal mi je ječe in prostore, kjer ljudi mučijo in ubijejo.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Sredi noči je zopet videla prikazen in grdo se ji je sanjalo.	Ponoči se ji je grdo sanjalo.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	In to leto za letom!	Tako slabo je živel veliko let.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Ona pa mu je tudi sredi cerkve hladnokrvno odgovorila: “No, če bi te bila zavoljo lepote jemala, bi te tako ne bila vzela!”	Grd si brez ušesa, grd bi bil tudi z njim.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Ni me pograbila jeza, ker to, kar se je bilo zgodilo v Loki, sem bil že davno izbrisal iz svojega spomina.	Zaradi nezgode v Loki nisem bil več jezen nanj.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Govorili so, da je sin lepega cigana in domače lepotice, ki ga je skrivaj nosila in porodila ter nato odložila v obcestni jarek.	Ljudje so govorili, da je sin lepega cigana in domače lepotice. Lepotica ni nikomur povedala, da je noseča. Ko je rodila, je dojenčka pustila v jarku.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Z zgornje postaje vzpenjače na grajskem griču je z dvigalom urejen neoviran dostop do grajskega dvorišča, kjer je tipna maketa Ljubljanskega gradu s pripisi v brajici.	Pri zgornji postaji je dvigalo. Z njim se peljemo na grajsko dvorišče. Na grajskem dvorišču je maketa gradu. Napisi so tudi v brajici.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Potem jo je zgrabil za roko in za lase in jo vlačil po kuhinji iz kota v kot.	Za lase jo je vlačil po kuhinji.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	"Le včasih, kadar je civilist za hip prenehal vihteti rovačo, je Vester začul kletev ali psovko. ""Ali boš kopal, bandit!"""	Na moške so kričali: Delaj, bandit!	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Nenadoma se je pojavil na vratih oče. Bil je pijan.	Oče je prišel domov pijan.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Sluga pravi: mene pošiljajo, da naj najdem ljudi, ki so jim imena napisana tu na vabilih, pa še najti ne morem, katera imena je bil pisar tu napisal.	Vabila za ples mora razdeliti sluga. Sluga ne zna brati.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Oženim te. Na vse to mi je oče še razodel, da se je z Jeremijem Wulffingom že dogovoril, in sicer zaradi hčere Margarete, katero je imel iz drugega svojega zakona.	Rekel je tudi, da mi je izbral nevesto. Ime ji je Margareta in živi v sosednjem kraju. Margareta je hči Jeremije Vulfinga.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	Tedaj se je Vester v hipu odločil. Vrh razvalin se je nekaj kamenja le še za silo držalo zidu. Iztegnil je roko in odrušil kup kamenja, ki se je zvalil v žrelo stolpa.	Nekaj kamenja je zvalil na dno stolpa.	simplicity	sl
Nocoj sta se oče in mati pogovarjala, da so danes selili tiste ljudi, ki so zoper Nemce.	Mati je rekla: Selijo tiste ljudi, ki ne marajo Nemcev.	"Breda je slišala, kako je zdravnik rekel materi: ""Njeno stanje se slabša. Ako oče ne bi bil tak pijanec in bi se doma razmere uredile, bi bilo morda bolje, vsaj otrok se ne bi razburjal. Tako pa je vedno težje bolna in dobiva napade."""	Zdravnik je rekel: Bredino zdravje gre na slabše. Ko se razburi, dobi napad.	simplicity	sl
