anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
എനിക്ക് കഴിയുമെങ്കിൽ കുറഞ്ഞ റേറ്റിംഗ് നൽകുമായിരുന്നു.	എനിക്ക് കഴിയുമെങ്കിൽ കൂടുതൽ നൽകുമായിരുന്നു.	ജീവനക്കാരെ എവിടെയും കാണാനില്ലായിരുന്നു.	ജീവനക്കാർ സ്ഥിരമായി സന്നിഹിതരായിരുന്നു.	1	simplicity	malayalam
നിങ്ങൾ മാത്രമേ അവിടെ ഉണ്ടായിരുന്നുള്ളൂവെങ്കിലും എപ്പോഴും വളരെയധികം സമയമെടുക്കും.	സ്ഥലം വളരെ അടുത്താണ്	തണുത്തതും നനഞ്ഞതുമായ ഭക്ഷണത്തേക്കാൾ ചൂടുള്ള ഭക്ഷണത്തിനായി ഞാൻ കാത്തിരിക്കുകയാണ്.	എനിക്ക് ചൂടുള്ള ഭക്ഷണം വിളമ്പി.	1	simplicity	malayalam
അതിനാൽ കാർഡ് തിരികെ നൽകാൻ ഞാൻ ആവശ്യപ്പെട്ടു.	അതിനാൽ, കാർഡിനായി പണം നൽകുന്നതിൽ ഞാൻ സന്തോഷിച്ചു.	ഞങ്ങൾ ഇത് ഒരിക്കലും പ്രതീക്ഷിക്കാഞ്ഞത് കാരണം ഞങ്ങൾ ഞെട്ടലോടെ അവിടെ നിന്നു	ഞങ്ങൾ അവിടെ ഉണ്ടായിരുന്ന ഓരോ നിമിഷവും ഞങ്ങൾ ആസ്വദിച്ചു .	1	simplicity	malayalam
ഫലാഫെൽ ചിക്കൻ നഗ്ഗറ്റുകൾ പോലെ കാണപ്പെട്ടു, അവയ്ക്ക് രുചി കുറവായിരുന്നു.	ഫലാഫെൽ വളരെ അത്ഭുതകരമായിരുന്നു, മാത്രമല്ല സമ്പന്നമായ ഒരു രുചിയും ഉണ്ടായിരുന്നു.	ഞാൻ വീണ്ടും അവിടെ പോകില്ല.	ഞാൻ വീണ്ടും അവിടെ സന്ദർശിക്കും	1	simplicity	malayalam
സ്ഥലം ചെറുതാണ്, അവൾക്ക് അത് മനസ്സിലാക്കാൻ കഴിയുമായിരുന്നുവെന്ന് എനിക്ക് ഉറപ്പുണ്ട്.	സ്ഥലം ചെറുതാണ്, അവൾ അത് പെട്ടെന്ന് മനസ്സിലാക്കി.	അസമമായ കഷണങ്ങളും പൊളിഞ്ഞുവീഴലുകളും -- ഞാൻ അതിനായി പണം നൽകി.	എല്ലാം ഒരുപോലെ സമമായ കഷണങ്ങൾ , ഞാൻ ഈ വില കൊടുത്തതിൽ സന്തോഷിക്കുന്നു	1	simplicity	malayalam
എനിക്ക് അകത്തേക്കു വരാൻ മറ്റൊരു സമയം പോലും അദ്ദേഹം നല്കിയില്ല.	എനിക്ക് അകത്തേക്കു വരാൻ മറ്റൊരു സമയം കൂടി അദ്ദേഹം നല്കി.	ശരി, ആരാണ് ശ്രദ്ധിക്കുന്നത് ... അല്ലേ?	ശരി, ആരാണ് ശ്രദ്ധിക്കാത്തത്? ഇത് മഹത്തരമാണ്.	1	simplicity	malayalam
"മുറികൾ അത്ര മനോഹരമല്ല, ഭക്ഷണവും അത്ര നല്ലതല്ല.	"	മുറികൾ വിശാലമാണ്, ഭക്ഷണം നന്നായി പാകം ചെയ്തിട്ടുമുണ്ട്.	അതിനാൽ, ഞാൻ ബെനഡിക്റ്റ് ഓർഡർ ചെയ്യുന്ന ഒരേയൊരു സമയമായിരുന്നു അത്.	ഞാൻ ബെനഡിക്റ്റ് വീണ്ടും ഓർഡർ ചെയ്യും	1	simplicity	malayalam
ഈ ശാഖ കൂടുതൽ മോശമാവുകയാണ്.	ഈ ശാഖ കൂടുതൽ മെച്ചപ്പെട്ടുവരികയാണ്.	നീണ്ട കാത്തിരിപ്പ് ഇല്ലാതിരുന്നതിനാൽ ഒരു ശനിയാഴ്ച രാത്രി അത് കാണിക്കുന്നു.	ഒരു ശനിയാഴ്ച രാത്രിയിൽ വലിയ ജനക്കൂട്ടം ഉണ്ടായിരുന്നിട്ടും കാത്തിരിപ്പ് സമയം കുറവായതിനാൽ അത് കാണിക്കുന്നു.	1	simplicity	malayalam
നിർഭാഗ്യവശാൽ, ടൂർ ഗൈഡുകൾ വിദഗ്ധരല്ല.	ടൂർ ഗൈഡുകൾ വിദഗ്ധരാണ്.	ഞാന് ചൈനീസ് ഭക്ഷണം കഴിക്കുന്നതില് മുഴുകേണ്ടതായിരുന്നു .	ഭക്ഷണം കഴിക്കാൻ വളരെ നല്ല സ്ഥലമായിരുന്നു അത്.	1	simplicity	malayalam
ഈ ഭയാനകമായ അനുഭവത്തെക്കുറിച്ച് ക്ഷമ ചോദിക്കാൻ പോലും ഓഫീസ് പരാജയപ്പെട്ടു.	അനുഭവത്തെക്കുറിച്ച് ഓഫീസ് ക്ഷമാപണം നടത്തി.	എന്നിരുന്നാലും, മാനേജർ തിരികെ വന്ന് എന്റെ ഓർഡർ വരാനിരിക്കുന്നതായി എന്നോട് പറഞ്ഞു.	ഭാഗ്യവശാൽ, മാനേജർ തിരിച്ചെത്തി, എന്റെ ഓർഡർ വരാനിരിക്കുന്നതായി എന്നോട് പറഞ്ഞു.	1	simplicity	malayalam
ഞാൻ മാന്യമായ രീതിയിൽ പരാതി പറഞ്ഞപ്പോൾ,എന്നെ ഇറക്കിവിട്ടു	ഞാൻ പരാതിപ്പെട്ടപ്പോൾ അവർ പ്രശ്നത്തിൽ ശ്രദ്ധകേന്ദ്രീകരിച്ചു	ഇവിടുത്തെ ഭക്ഷണം മൃദുവും വിരസവും മോശവുമാണ്.	ഇവിടുത്തെ ഭക്ഷണം രുചികരവും ആവേശകരവും നല്ലതുമാണ്.	1	simplicity	malayalam
ഡിപ്പിംഗ് സോസും വളരെ മധുരമുള്ളതായിരുന്നു.	ഡിപ്പിംഗ് സോസും മനോഹരമായിരുന്നു.	ഇത് ശരിക്കും തവിട്ട് അരിയല്ല.	ഇത് ശരിക്കും തവിട്ട് അരിയാണ്.	1	simplicity	malayalam
തണുപ്പ് കൂടുതലായതിനാൽ ഒരു വഴി തിരികെ നൽകേണ്ടി വന്നു.	എല്ലാ വഴികളും നന്നായിരുന്നു	മാറി നിൽക്കുക, പകരം ചീസ് കേക്കിലേക്ക് പോകുക.	ഇത് പോകാൻ പറ്റിയ സ്ഥലമായിരുന്നു .	1	simplicity	malayalam
ഇവിടെ നിന്ന് സാധനങ്ങൾ വാങ്ങിക്കാൻ നിങ്ങൾ എനിക്ക് പണം നൽകാനാവില്ല!	ഇവിടെ നിന്നും സാധനങ്ങൾ മേടിക്കുന്നതിൽ നിന്നും നിങ്ങൾക്ക് എന്നെ പിന്തിരിപ്പിക്കാൻ കഴിയില്ല .	കിക്കഡ് ആസ് കഴിച്ചു പക്ഷെ മാർക്വി അധികം കഴിച്ചില്ല	കിക്കഡ് ആസ് കഴിച്ചു മാർക്വി നന്നായിരുന്നു	1	simplicity	malayalam
അവരുടെ പാല്‍ക്കട്ടി സ്ട്രിംഗ് ഇനത്തിൽ പെട്ടതാണെന്ന് എനിക്ക് ഉറപ്പുണ്ട്.	അവരുടെ പാല്‍ക്കട്ടി നല്ല ഇനം ആയിരുന്നു എന്ന് എനിക്ക് ഉറപ്പുണ്ട്.	സൽസ ചൂടുള്ളതോ നല്ലതോ അല്ല.	സൽസ ചൂടുള്ളതും നല്ലതുമാണ്.	1	simplicity	malayalam
നിങ്ങൾക്ക് ലഭിക്കുന്നതിന് ഇത് വളരെ ചെലവേറിയതാണ്.	വില വളരെ വലുതായിരുന്നു.	ഞാൻ ചെറുപ്പമായതിനാൽ അവർ എന്നെ മുതലെടുക്കാൻ ശ്രമിച്ചു.	അവർ വളരെ മാന്യരായിരുന്നു, ഞാൻ തീരെ ചെറുപ്പമായിരുന്നതിനാൽ അവർ എന്നെ ബഹുമാനിച്ചിരുന്നു .	1	simplicity	malayalam
തികച്ചും അപൂര്‍ണ്ണമായ പിസ്സ ഡെലിവറി!	വിശ്വസനീയമായ പിസ്സ ഡെലിവറി!	ഇത് ആദ്യമായാണ് ഞാൻ മുടിവെട്ടി കരയുന്നത്.	മുടിവെട്ടലിൽ നിന്ന് സന്തോഷം കൊണ്ട് ഞാൻ കരയുന്നത് ഇതാദ്യമാണ്	1	simplicity	malayalam
ഞാൻ സംസാരിച്ചതിൽ വച്ച് ഏറ്റവും പരുഷമായ വ്യക്തിയായിരുന്നു ഇത്.	ഞാൻ സംസാരിച്ചതിൽ വച്ച് ഏറ്റവും മാന്യമായ വ്യക്തിയായിരുന്നു ഇത്.	ഉൾപ്പെട്ട എല്ലാവർക്കും അത് ലജ്ജാകരമായിരുന്നു, എങ്കിലും അവൻ ശ്രദ്ധിച്ചതായി ഞാൻ കരുതുന്നില്ല.	പങ്കെടുത്ത എല്ലാവർക്കും അത് രസകരമായിരുന്നു	1	simplicity	malayalam
ഒരു അരിസോണ സ്വദേശി എന്ന നിലയിൽ, വർഷങ്ങളായി മനസില്ലാമനസോടെ ഞാൻ നന്നാവാൻ ശ്രമിക്കുകയാണ് .	ഒരു അരിസോണ സ്വദേശി എന്ന നിലയിൽ, വർഷങ്ങളായി ഞാൻ നന്നാവാൻ ശ്രമിക്കുകയാണ് .	ഉം, അതെ, ഇത് ഇതുവരെ മാറ്റിസ്ഥാപിക്കേണ്ടതില്ല.	അത് ഒരിക്കലും മാറ്റിസ്ഥാപിക്കേണ്ട ആവശ്യമില്ല.	1	simplicity	malayalam
എന്റെ മാനിക്യൂർ അല്ലെങ്കിൽ പെഡിക്യൂർ ഉപയോഗിച്ച് മസാജ് ചെയ്യരുത്.	എന്റെ മൈക്യൂറും പെഡിക്യൂറും ഉപയോഗിച്ച് വളരെ നല്ല മസാജ്.	സെക്യൂരിറ്റി ഗാർഡ് മുകളിലേക്ക് വന്ന് ഞങ്ങൾ തുറക്കണമെന്ന് ആവശ്യപ്പെട്ട് ഞങ്ങളുടെ വാതിലിൽ തട്ടി.	സെക്യൂരിറ്റി ഗാർഡ് മുകളിൽ വന്ന് ഞങ്ങളുടെ വാതിലിൽ മുട്ടി, നമുക്ക് തുറക്കാൻ കഴിയുമോ എന്ന് മാന്യമായി ചോദിച്ചു.	1	simplicity	malayalam
ഭക്ഷണം വളരെ മോശമായിരുന്നു, ഞാൻ ഇനി അവിടെ പോകില്ല.	ഭക്ഷണം മികച്ചതായിരുന്നു, ഞാൻ വീണ്ടും അവിടെ പോകും.	ഒടുവിൽ അവിടെ എത്തിയപ്പോൾ ഞാൻ വളരെ നിരാശനായി.	ഒടുവിൽ അവിടെ എത്തിയപ്പോൾ ഞാൻ വളരെ ആവേശഭരിതനായി.	1	simplicity	malayalam
പക്ഷെ ഇത് പാകം ചെയ്യാമായിരുന്നു എന്ന് എനിക്ക് ഉറപ്പുണ്ട്.	ഇത് വളരെ നല്ലതാണ്, എനിക്ക് ഇത് നന്നായി പാചകം ചെയ്യാൻ കഴിയില്ലെന്ന് ഞാൻ ഉറപ്പ് നൽകുന്നു!	ഞാൻ അവനോട് കുറച്ച് നല്ല പ്രതികരണം ഓൺലൈനിൽ നൽകാമെന്ന് പറഞ്ഞു.	ഓൺലൈനിൽ കുറച്ച് നല്ല പ്രതികരണം നൽകാമെന്നും ഞാൻ അദ്ദേഹത്തോട് പറഞ്ഞു, ഞാൻ അത് അർത്ഥമാക്കുന്നു.	1	simplicity	malayalam
അടുക്കളയിലും കുളിമുറിയിലുമുള്ള അഴുക്കുവെള്ളക്കുഴിയും കാബിനറ്റും സൂക്ഷിക്കുന്നില്ല.	അടുക്കളയിലും കുളിമുറിയിലുമുള്ള അഴുക്കുവെള്ളക്കുഴിയും കാബിനറ്റും നന്നായി സൂക്ഷിച്ചിരിക്കുന്നു .	ഇത് ഒരു പഴയ ജീർണിച്ച ഹോട്ടൽ ആണ്	ഇത് ഒരു പഴയ വിന്റജ്  ഹോട്ടൽ ആണ്	1	simplicity	malayalam
ഒരു പഴയ ചേട്ടൻ എന്റെ പെഡിക്യൂർ ചെയ്തു.	ഒരു യുവതി എന്റെ പെഡിക്യൂർ ചെയ്തു.	മൂത്ത പരിചാരിക വലിയ നിരാശ ഉളവാക്കി .	മുതിർന്ന പരിചാരിക നല്ല ഓമനയായിരുന്നു.	1	simplicity	malayalam
എന്നിരുന്നാലും, ഈ അനുഭവം കുഴഞ്ഞുമറിഞ്ഞു.	എന്നിരുന്നാലും, ഈ അനുഭവം വളരെ സുഗമമായി പോയി.	അതിനാൽ ഞാൻ എന്റെ ടയറുകൾ ഓൺലൈനായി ഓർഡർ ചെയ്തു, രണ്ട് ദിവസത്തേക്ക് ഒരു സമയം നിശ്ചയിച്ചു .	അതിനാൽ ഞാൻ എന്റെ ടയറുകൾ ഓൺലൈനായി ഓർഡർ ചെയ്തു, എളുപ്പത്തിൽ ഒരു സമയം നിശ്ചയിച്ചു .	1	simplicity	malayalam
