positive	negative	style_type	language
I prefer to let the guy ask me.	Sure, it's ok, but I always have let the guy ask me.	formality	en
I suffer through verbal abuse from my wife.	Hmmm, I'm a guy suffering from verbal abuse from my wife.	formality	en
You will have more friends than you want.	You will have more friends that you want... ;)	formality	en
It's nice that you get to see pictures of who you are talking to.	It's nice, you get to see pictures of who you are talking to!	formality	en
I need to know what to do.	I NEED TO KNOW WHAT 2 DO	formality	en
Love me, love me. Oh dear God love me!	LOVE ME LOVE ME OH DEAR GOD LOVE ME!	formality	en
It would not be a word. It would be a singing opera.	it wouldnt be a word, it would be me singing operah.	formality	en
I like my life with the exception of her yelling and using swear words.	I like my life with the exception of her yelling and cussing.	formality	en
I know how it is.	I know how that is .	formality	en
Does he have a favorite sports team?	does he have a fave sports team?	formality	en
While you are away, he will do it again and again.	no why he will just do it over and over some more while you are gone.	formality	en
"I suggest saying ""Look, this is not working out for me anymore""."	well the best way is to say look this isnt working out im not into this anymore.	formality	en
No sister, I do not think so.	no sista, i don tink so.	formality	en
Then kiss her, brother; that works every time.	Then kiss her;) works every time bro!!!!	formality	en
Women mature faster than men and some men never mature.	Women mature way faster than men and some men never mature.	formality	en
After that I never bought her another gift.	and ever since then i never bought her another gift.	formality	en
You can attend you class with her if you would like.	and if you really want you can attend her classes with her.	formality	en
It will happen when you choose to be wealthy and powerful.	you wont until you pick to be wealthy and powerful.	formality	en
Please don't beg for love, money or respect.	dont beg for love dont beg for money and dont beg for respect.	formality	en
You will definitely know when you are in love.	But you will DEFINALTELY know when you are in love!	formality	en
Do not base your relationship on money or material items.	JUST DON'T BASE YOUR RELATIONSHIP ON MONEY OR MATERIAL THINGS.	formality	en
"What if someone asked this question: ""How can I get my boyfriend to notice me?"""	If someone asked this:How can I get my boyfriend to notice me?	formality	en
I am unable to sign in at the chat room.	i can't sign in at the chatroom	formality	en
If you just live with a friend, I call that friend with rights.	you just live with a friend,and i call that friend with rights.	formality	en
It is hard to tell from this question, but it seems like you are trying to change yourself, and that is a bad idea.	that trying to change yourself...unless you're really screwed up...but the question doesn't really give us much to go on	formality	en
I don't know what he is thinking, sometimes we just sit and watch.	i cant read his mind but sometime we just like to watch.	formality	en
Go France and see for yourself.	go to france and hear for yourself.	formality	en
She was aware I was previously dating someone that was married.	She knew my ex was married.	formality	en
You should not let what other people say bother you.	Don't care about what people say.	formality	en
I wish you good fortune no matter what course you take.	well good luck whatever you do.	formality	en
The caveat is that you and I are not married, and this is acceptable to me.	As long as your not my wife ... it's fine with me ...lol ...	formality	en
I recommend that high school students do not date anyone who is still in middle school.	because you are still in middle school i do not suggest dating someone in high school.	formality	en
If this tactic is not successful with one person, then just keep trying with others.	If that doesn't work try someone else.	formality	en
You may want to inform this man that if he makes one more phone call to you, it will result in the loss of his job.	tell him you are getting fired if he calls one more time	formality	en
After that, a gentleman got involved who changed everything!	then a guy got involoved and changed everything!	formality	en
I am willing to do so, as long as the four of you are as well!	There's just one of me, but I'm willing if the 4 of you are!	formality	en
Contrary to what other say, they are not born that way.	First, they are not BORN that way, no matter what anyone tries to say.	formality	en
I think you should try a different kind of female.	try a different kind of girl.	formality	en
She and tend to cross paths every now and then.	this girl and i cross a few lines here and there.	formality	en
You should say yes, if you love him.	If you really love him then yes.	formality	en
It would be wise to separate from him as soon as possible.	dump him as soon as possible its the only thing you  can do dont be stupid and keep him	formality	en
